Handle,ObjType,TextString,Layer,TextHeight
BC3DDF,DBText,"1",Z-POINTNUMBER,1.4999999999999956
BC3DE0,DBText,"PLSPK",Z-DESCRIPTION,1.4999999999999956
BC3DE1,DBText,"932.772",Z-ELEVATION,1.4999999999999956
BC3DE4,DBText,"2",Z-POINTNUMBER,1.4999999999999956
BC3DE5,DBText,"FDI_MP",Z-DESCRIPTION,1.4999999999999956
BC3DE6,DBText,"930.868",Z-ELEVATION,1.4999999999999956
BC3DE9,DBText,"3",Z-POINTNUMBER,1.4999999999999956
BC3DEA,DBText,"FDI_MP",Z-DESCRIPTION,1.4999999999999956
BC3DEB,DBText,"932.211",Z-ELEVATION,1.4999999999999956
BC3DEE,DBText,"4",Z-POINTNUMBER,1.4999999999999956
BC3DEF,DBText,"FDI",Z-DESCRIPTION,1.4999999999999956
BC3DF0,DBText,"928.839",Z-ELEVATION,1.4999999999999956
BC3DF3,DBText,"5",Z-POINTNUMBER,1.4999999999999956
BC3DF4,DBText,"FDI_MP",Z-DESCRIPTION,1.4999999999999956
BC3DF5,DBText,"900.979",Z-ELEVATION,1.4999999999999956
BC3DF8,DBText,"20",Z-POINTNUMBER,1.4999999999999956
BC3DF9,DBText,"Cl deflection",Z-DESCRIPTION,1.4999999999999956
BC3DFA,DBText,"935.294",Z-ELEVATION,1.4999999999999956
BC3DFC,DBText,"21",Z-POINTNUMBER,1.4999999999999956
BC3DFD,DBText,"Cl deflection",Z-DESCRIPTION,1.4999999999999956
BC3DFE,DBText,"936.523",Z-ELEVATION,1.4999999999999956
BC3E00,DBText,"22",Z-POINTNUMBER,1.4999999999999956
BC3E01,DBText,"Cl deflection",Z-DESCRIPTION,1.4999999999999956
BC3E02,DBText,"939.145",Z-ELEVATION,1.4999999999999956
BC3E04,DBText,"23",Z-POINTNUMBER,1.4999999999999956
BC3E05,DBText,"Cl deflection",Z-DESCRIPTION,1.4999999999999956
BC3E06,DBText,"939.428",Z-ELEVATION,1.4999999999999956
BC3E08,DBText,"24",Z-POINTNUMBER,1.4999999999999956
BC3E09,DBText,"GRD",Z-DESCRIPTION,1.4999999999999956
BC3E0A,DBText,"932.878",Z-ELEVATION,1.4999999999999956
BC3E0C,DBText,"25",Z-POINTNUMBER,1.4999999999999956
BC3E0D,DBText,"GRD",Z-DESCRIPTION,1.4999999999999956
BC3E0E,DBText,"940.008",Z-ELEVATION,1.4999999999999956
BC3E10,DBText,"26",Z-POINTNUMBER,1.4999999999999956
BC3E11,DBText,"GRD",Z-DESCRIPTION,1.4999999999999956
BC3E12,DBText,"940.438",Z-ELEVATION,1.4999999999999956
BC3E14,DBText,"27",Z-POINTNUMBER,1.4999999999999956
BC3E15,DBText,"GRD",Z-DESCRIPTION,1.4999999999999956
BC3E16,DBText,"937.576",Z-ELEVATION,1.4999999999999956
BC3E18,DBText,"4000",Z-POINTNUMBER,1.4999999999999956
BC3E19,DBText,"cl start",Z-DESCRIPTION,1.4999999999999956
BC3E1A,DBText,"933.584",Z-ELEVATION,1.4999999999999956
BC3E1C,DBText,"4003",Z-POINTNUMBER,1.4999999999999956
BC3E1D,DBText,"E draw start",Z-DESCRIPTION,1.4999999999999956
BC3E1E,DBText,"933.684",Z-ELEVATION,1.4999999999999956
BC3E20,DBText,"4004",Z-POINTNUMBER,1.4999999999999956
BC3E21,DBText,"E draw",Z-DESCRIPTION,1.4999999999999956
BC3E22,DBText,"933.119",Z-ELEVATION,1.4999999999999956
BC3E24,DBText,"4005",Z-POINTNUMBER,1.4999999999999956
BC3E25,DBText,"E draw",Z-DESCRIPTION,1.4999999999999956
BC3E26,DBText,"932.775",Z-ELEVATION,1.4999999999999956
BC3E28,DBText,"4006",Z-POINTNUMBER,1.4999999999999956
BC3E29,DBText,"E draw",Z-DESCRIPTION,1.4999999999999956
BC3E2A,DBText,"931.241",Z-ELEVATION,1.4999999999999956
BC3E2C,DBText,"4007",Z-POINTNUMBER,1.4999999999999956
BC3E2D,DBText,"possible E draw2",Z-DESCRIPTION,1.4999999999999956
BC3E2E,DBText,"934.767",Z-ELEVATION,1.4999999999999956
BC3E30,DBText,"4008",Z-POINTNUMBER,1.4999999999999956
BC3E31,DBText,"possible E draw2",Z-DESCRIPTION,1.4999999999999956
BC3E32,DBText,"934.673",Z-ELEVATION,1.4999999999999956
BC3E34,DBText,"4009",Z-POINTNUMBER,1.4999999999999956
BC3E35,DBText,"possible E draw2",Z-DESCRIPTION,1.4999999999999956
BC3E36,DBText,"934.577",Z-ELEVATION,1.4999999999999956
BC3E38,DBText,"4010",Z-POINTNUMBER,1.4999999999999956
BC3E39,DBText,"possible E draw2",Z-DESCRIPTION,1.4999999999999956
BC3E3A,DBText,"934.423",Z-ELEVATION,1.4999999999999956
BC3E3C,DBText,"4011",Z-POINTNUMBER,1.4999999999999956
BC3E3D,DBText,"possible E draw2",Z-DESCRIPTION,1.4999999999999956
BC3E3E,DBText,"933.570",Z-ELEVATION,1.4999999999999956
BC3E40,DBText,"4012",Z-POINTNUMBER,1.4999999999999956
BC3E41,DBText,"DRAW3 start",Z-DESCRIPTION,1.4999999999999956
BC3E42,DBText,"933.647",Z-ELEVATION,1.4999999999999956
BC3E44,DBText,"4013",Z-POINTNUMBER,1.4999999999999956
BC3E45,DBText,"DRAW3",Z-DESCRIPTION,1.4999999999999956
BC3E46,DBText,"933.212",Z-ELEVATION,1.4999999999999956
BC3E48,DBText,"4014",Z-POINTNUMBER,1.4999999999999956
BC3E49,DBText,"DRAW3",Z-DESCRIPTION,1.4999999999999956
BC3E4A,DBText,"932.852",Z-ELEVATION,1.4999999999999956
BC3E4C,DBText,"4015",Z-POINTNUMBER,1.4999999999999956
BC3E4D,DBText,"DRAW3 CREEK",Z-DESCRIPTION,1.4999999999999956
