Handle,ObjType,TextString,Layer,TextHeight
BC59ED,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999796
BC5A30,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994810499999591
BC62A5,MText,"Theor. S.W.1/4\PSec. 16-64-21-W.5M.",C-SYMBOL,19.99999999999961
BC62A6,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999567
BC6448,MText,"\pxqc;Veren\PGas Processing Plant\PMLL 070071",C-WS-T,9.994810499999584
BC644A,MText,"\pxqc;Veren\PFC716 5-16 (Surface)\PMSL 250117",C-WS-T,9.99478859999962
BC6451,MText,"\pxqc;CNRL\PTreatment Plant\PPlan 802 3164\PMLL 800061",F-WS-T,9.994810499999584
BC684A,MText,"\A1;Veren\P15.00 A/R\PLOC 250173",C-AR-T,10
BCD5E7,MText,"\pxqc;Veren\PGas Processing Plant\PMLL 070071",C-WS-T,9.994810499999586
BCDA38,MText,"{\fArial Narrow|b0|i1|c0|p34;Transformer}",AS-CABLE,10
BCDA3D,MText,"{\fArial Narrow|b0|i1|c0|p34;Transformer}",AS-CABLE,10
BCDA49,MText,"{\fArial Narrow|b0|i1|c0|p34;Gate}",AS-GENERAL,10
BCDA4A,MText,"{\fArial Narrow|b0|i1|c0|p34;Gate}",AS-GENERAL,10
BCDA4B,MText,"{\fArial Narrow|b0|i1|c0|p34;Gate}",AS-GENERAL,10
BCDA4D,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Cathodic Post}",AS-CABLE,10
BCDBC2,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Barricades (Typ.)}",AS-GENERAL,10
BCDBCB,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Barricades (Typ.)}",AS-GENERAL,10
BCDBD6,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Tank Farm & Tanks (7)}",AS-GENERAL,10
BCDBD7,MText,"{\fArial Narrow|b0|i1|c0|p34;Heaters}",AS-GENERAL,10
BCDBE1,MText,"{\fArial Narrow|b0|i1|c0|p34;Tank}",AS-GENERAL,10
BCDBEB,MText,"{\fArial Narrow|b0|i1|c0|p34;Tank}",AS-GENERAL,10
BCDBF5,MText,"{\fArial Narrow|b0|i1|c0|p34;Tank}",AS-GENERAL,10
BCDBFF,MText,"{\fArial Narrow|b0|i1|c0|p34;Tank}",AS-GENERAL,10
BCDC09,MText,"{\fArial Narrow|b0|i1|c0|p34;Tank}",AS-GENERAL,10
BCDC13,MText,"{\fArial Narrow|b0|i1|c0|p34;Tank}",AS-GENERAL,10
BCDC1B,MText,"{\fArial Narrow|b0|i1|c0|p34;Staging}",AS-GENERAL,10
BCDC32,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Barricades (Typ.)}",AS-GENERAL,10
BCDC3B,MText,"{\fArial Narrow|b0|i1|c0|p34;Tank}",AS-GENERAL,10
BCDD2C,MText,"{\fArial Narrow|b0|i1|c0|p34;Tower}",AS-GENERAL,10
BCE74C,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Cable Rack}",AS-PIPE-AG,10
BD15E1,MText,"\pxqc,t9;{\fArial Narrow|b0|i1|c0|p34;Building Structure (Typ.)}",AS-STRUCTURE,10
BD1EBA,MText,"779.80",T-TIE-T,7.5
BD1EBB,MText,"779.86",T-TIE-T,7.5
BD1EBC,MText,"778.97",T-TIE-T,7.5
BD1EBD,MText,"778.60",T-TIE-T,7.5
BD1EBE,MText,"778.41",T-TIE-T,7.5
BD1EBF,MText,"778.51",T-TIE-T,7.5
BD1EC0,MText,"780.17",T-TIE-T,7.5
BD1EC1,MText,"780.11",T-TIE-T,7.5
BD1EC2,MText,"779.35",T-TIE-T,7.5
BD1EC3,MText,"779.12",T-TIE-T,7.5
BD1EC4,MText,"779.02",T-TIE-T,7.5
BD1EC5,MText,"778.63",T-TIE-T,7.5
BD1EC6,MText,"778.47",T-TIE-T,7.5
BD1EC7,MText,"780.59",T-TIE-T,7.5
BD1EC8,MText,"780.42",T-TIE-T,7.5
BD1EC9,MText,"780.03",T-TIE-T,7.5
BD1ECA,MText,"779.53",T-TIE-T,7.5
BD1ECB,MText,"779.00",T-TIE-T,7.5
BD1ECC,MText,"778.86",T-TIE-T,7.5
BD1ECD,MText,"778.44",T-TIE-T,7.5
BD1ECE,MText,"778.43",T-TIE-T,7.5
BD1ECF,MText,"778.24",T-TIE-T,7.5
BD1ED0,MText,"777.93",T-TIE-T,7.5
BD1ED1,MText,"777.88",T-TIE-T,7.5
BD1ED2,MText,"780.58",T-TIE-T,7.5
BD1ED3,MText,"780.49",T-TIE-T,7.5
BD1ED4,MText,"780.43",T-TIE-T,7.5
BD1ED5,MText,"780.18",T-TIE-T,7.5
BD1ED6,MText,"780.11",T-TIE-T,7.5
BD1ED8,MText,"779.42",T-TIE-T,7.5
BD1ED9,MText,"778.81",T-TIE-T,7.5
BD1EDA,MText,"778.50",T-TIE-T,7.5
BD1EDB,MText,"778.12",T-TIE-T,7.5
BD1EDC,MText,"777.97",T-TIE-T,7.5
BD1EDD,MText,"777.76",T-TIE-T,7.5
BD1EDE,MText,"777.75",T-TIE-T,7.5
BD1EDF,MText,"777.50",T-TIE-T,7.5
BD1EE0,MText,"777.86",T-TIE-T,7.5
BD1EE1,MText,"777.83",T-TIE-T,7.5
BD1EE2,MText,"777.50",T-TIE-T,7.5
BD1EE3,MText,"780.91",T-TIE-T,7.5
BD1EE4,MText,"780.83",T-TIE-T,7.5
BD1EE5,MText,"780.71",T-TIE-T,7.5
BD1EE6,MText,"780.48",T-TIE-T,7.5
BD1EE7,MText,"780.25",T-TIE-T,7.5
BD1EE8,MText,"779.89",T-TIE-T,7.5
BD1EE9,MText,"779.45",T-TIE-T,7.5
BD1EEA,MText,"779.11",T-TIE-T,7.5
BD1EEB,MText,"778.54",T-TIE-T,7.5
BD1EEC,MText,"778.06",T-TIE-T,7.5
BD1EED,MText,"777.91",T-TIE-T,7.5
BD1EEE,MText,"777.87",T-TIE-T,7.5
BD1EEF,MText,"777.59",T-TIE-T,7.5
BD1EF0,MText,"779.21",T-TIE-T,7.5
BD1EF1,MText,"780.93",T-TIE-T,7.5
BD1EF2,MText,"781.43",T-TIE-T,7.5
BD1EF3,MText,"778.45",T-TIE-T,7.5
BD1EF4,MText,"781.01",T-TIE-T,7.5
BD1EF5,MText,"780.83",T-TIE-T,7.5
BD1EF6,MText,"780.60",T-TIE-T,7.5
BD1EF7,MText,"780.34",T-TIE-T,7.5
BD1EF8,MText,"779.23",T-TIE-T,7.5
BD1EF9,MText,"778.83",T-TIE-T,7.5
BD1EFA,MText,"778.35",T-TIE-T,7.5
BD1EFB,MText,"778.07",T-TIE-T,7.5
