Handle,ObjType,TextString,Layer,TextHeight
BC9BCC,MText,"Nuvista\P4-7 (Surface)\PMSL 131450",F-WS-T,9.999999999999963
BCBC87,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999964
BCCA92,MText,"\pxql;L.S. 9",L-SECTION-LSD,9.999999999999964
BCCA94,MText,"\pxqr;L.S. 10",L-SECTION-LSD,9.999999999999964
BCCA96,MText,"\pxql;L.S. 16",L-SECTION-LSD,9.999999999999964
BCCA98,MText,"\pxqr;L.S. 15",L-SECTION-LSD,9.999999999999964
BCCA9C,MText,"L.S. 1",L-SECTION-LSD,9.999999999999964
BCCA9D,MText,"\pxqr;L.S. 2",L-SECTION-LSD,9.999999999999964
BCCA9F,MText,"L.S. 8",L-SECTION-LSD,9.999999999999964
BCCAA0,MText,"\pxqr;L.S. 7",L-SECTION-LSD,9.999999999999964
BCCAA2,MText,"\pxql;L.S. 9",L-SECTION-LSD,9.999999999999964
BCCAA4,MText,"\pxqr;L.S. 10",L-SECTION-LSD,9.999999999999964
BCCAA6,MText,"\pxql;L.S. 16",L-SECTION-LSD,9.999999999999964
BCCAA8,MText,"\pxqr;L.S. 15",L-SECTION-LSD,9.999999999999964
BCCAF3,MText,"\pxt0;Fd.I.\PMp.",L-MON,9.999999999999964
BCCCC3,MText,"\pxt0;Fd.I.\PMp.",L-MON,9.999999999999964
BD072F,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;20cm Spruce, Poplar & Birch}",T-BUSH-T,9.996146199999966
BD08A0,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Cutblock}",T-TEXT,9.996146199999966
BD08A1,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Cutblock}",T-TEXT,9.996146199999966
BD08A2,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Cutblock}",T-TEXT,9.996146199999966
BD08A5,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;50cm Spruce, 30cm Scattered Birch}",T-BUSH-T,9.996146199999966
BD08A6,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;50cm Spruce, \P50cm Scattered Poplar\P30cm Scattered Birch}",T-BUSH-T,9.996146199999966
BD08A8,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;50cm Spruce & \PPoplar, 30cm Birch\P& Scattered 80cm Spruce & Poplar}",T-BUSH-T,9.996146199999966
BD08AD,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.996146199999966
BD0A1F,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.996146199999966
BD0A21,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.996146199999966
BD0A23,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.996146199999966
BD0A25,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.996146199999966
BD0A27,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draws (2)}",T-WATER-T,9.996146199999966
BD0A2B,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.996146199999966
BD0BB5,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;6m High Grade Gravel Road}",T-TEXT,9.996146199999966
BD0F71,MText,"Theor. N.E.1/4 \PSec. 12-66-6-W.6M.",C-SYMBOL,19.992292399999933
BD0F72,MText,"Theor. S.E.1/4 \PSec. 12-66-6-W.6M.",C-SYMBOL,19.992292399999933
BD0F73,MText,"Theor. N.E.1/4 \PSec. 1-66-6-W.6M.",C-SYMBOL,19.992292399999933
BD35A8,MText,"\pxt0;Fd.I.",L-MON,9.999999999999964
BD7858,MText,"100m",AUX-BUFFER,9.992013193391932
BD785A,MText,"200m",AUX-BUFFER,9.992013193391934
BD7D8A,DBText,"572.34",L-BD,9.99614619999997
BD7D8B,DBText,"227°49'35"",L-BD,9.99614619999997
BD81E7,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;50cm Spruce, \P50cm Scattered Poplar\P30cm Scattered Birch}",T-BUSH-T,9.996146199999968
BD81E9,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;50cm Spruce & \PPoplar, 30cm Birch\P& Scattered 80cm Spruce & Poplar}",T-BUSH-T,9.996146199999968
BD81ED,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.996146199999968
BD8208,MText,"100m",AUX-BUFFER,9.992013193391934
BD8214,DBText,"119.46",L-BD1,9.99614619999997
BD8215,DBText,"293°",L-BD1,9.99614619999997
BD8216,DBText,"23°56'00"",L-BD1,9.99614619999997
BD8217,DBText,"210.87",L-BD1,9.99614619999997
BD8218,DBText,"113°56'00"",L-BD1,9.99614619999997
BD8219,DBText,"220.00",L-BD1,9.99614619999997
BD821A,DBText,"210.87",L-BD1,9.99614619999997
BD821B,DBText,"203°56'00"",L-BD1,9.99614619999997
BD821C,DBText,"100.54",L-BD1,9.99614619999997
BD821D,DBText,"00''",L-BD1,9.99614619999997
BD83EC,DBText,"56'",L-BD1,9.99614619999997
BD8543,DBText,"45",T-TIE-T,9.99614619999997
BD86A9,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Break Line}",T-SLOPE,9.99614619999997
BD883A,DBText,"181°29'25''",L-BD,9.996146199999972
BD883B,MText,"373.10",L-BD,9.996146199999972
BD887F,DBText,"69",T-TIE-T,9.99614619999997
BD8A63,MText,"{\fArial Narrow|b0|i1|c0|p34;E.-W.1/4 Line}",L-SECQ,9.996146199999972
BD8AA3,DBText,"156",T-TIE-T,9.99614619999997
BD8B1C,DBText,"77.3",L-BD,11.995375439999972
BD8B1D,DBText,"91.7",L-BD,11.995375439999972
BD8E83,DBText,"35.3",P-TEMP-BLUE,9.996146199999972
BD8E85,DBText,"69.4",P-TEMP-BLUE,9.996146199999972
