Handle,ObjType,Content,Layer,Extra
AF4E7B,BlockReference,"502044",Parcel Mapping,1
AF6111,BlockReference,"502045",Parcel Mapping,1
AF978C,MText,"Lot 1  Block 1 Plan 062 7582",L-TITLEDB-T,10.000000000000002
AF978E,DBText,"N.E.1/4 Sec. 31-44-2-W.5M.",C-SYMBOL,20
AF9791,BlockReference,"*U17",AS-OWNER,0.9997440000000076
AFAA67,MText,"Surge 14-32",F-WS-T,10.000000000000002
AFAA69,MText,"Baytex 10-31",C-WS-T,10.000000000000002
AFAA6B,MText,"Bonavista 9-31",F-WS-T,10.000000000000002
AFAA6D,MText,"CNRL 12-32",F-WS-T,10.000000000000002
AFB3D2,MText,"Bonavista 7-5",F-WS-T,10.000000000000002
AFB3D4,MText,"Bonavista 7-5",F-WS-T,10.000000000000002
AFBD3F,BlockReference,"L-SECLBL",L-SECLBL,1
AFBD45,BlockReference,"L-SECLBL",L-SECLBL,1
AFBD4B,BlockReference,"L-SECLBL",L-SECLBL,1
AFBD64,MText,"Twp. 44",D-TXT,14
AFBD65,MText,"Twp. 45",D-TXT,14
AFBD66,DBText,"Paved Road",T-TEXT,10
AFBD67,DBText,"Government Road Allowance",L-ROAD-T,10
AFD039,MText,"Lot 1  Plan 942 2123",L-TITLEDB-T,10.000000000000002
AFEC74,MText,"Approximate Location of  G.L.D.C. Co-op Ltd.",AS-PIPE-UG-T,10.00060251428212
AFEC75,MText,"Approximate Location of  G.L.D.C. Gas Co-op Ltd.",AS-PIPE-UG-T,10.00060251428212
AFF5DD,MText,"EQUS O/H Power Line",AS-POWER-EXISTING-T,9.992720725178364
AFF5DE,MText,"EQUS O/H Power Line",AS-POWER-EXISTING-T,9.992720725178364
AFF5E1,MText,"Baytex 7-5",C-WS-T,10.000000000000002
AFF648,DBText,"N.W.1/4 Sec. 32-44-2-W.5M.",C-SYMBOL,20
AFF676,DBText,"S.E.1/4 Sec. 5-45-2-W.5M.",C-SYMBOL,20
AFF68D,DBText,"S.W.1/4 Sec. 5-45-2-W.5M.",C-SYMBOL,20
