Handle,ObjType,Content,Layer,Extra
AF673F,BlockReference,"L-SECLBL",L-SECLBL,1
AF6FB1,BlockReference,"*U36",AS-OWNER,1
AF8057,AlignedDimension,"Nova  P/L R/W  831 ID",F-RW-T,Compass 5 000
AF90A7,AlignedDimension,"ATCO 5.03 P/L R/W Plan 6777 JK",F-RW-T,Compass 5 000
AFA144,AlignedDimension,"Nova  P/L R/W Plan 7512 JK",F-RW-T,Compass 5 000
B05179,AlignedDimension,"ATCO  P/L R/W Plan 771 1713",F-RW-T,Compass 5 000
B072AD,MText,"Approximate Location of  ATCO Natural Gas Distribution Customer Correspondence",EXISTING PIPE IP-T,9.999999999999977
B07B3C,AlignedDimension,"60.96 Highway  771 1116",L-TITLEDB-T,Compass 5 000
B07B7C,MText,"Hwy. 22",L-SECLBL,9.9981491
B08395,AlignedDimension,"Nova  P/L R/W   801 0344",F-RW-T,Compass 5 000
B08BCD,AlignedDimension,"39.62 Road  921 1676",L-TITLEDB-T,Compass 5 000
B08C13,AlignedDimension,"20.12 Road  657 LK",L-TITLEDB-T,Compass 5 000
B08C2F,MText,"Block 1 Plan 657 LK",L-TITLEDB-T,9.9981491
B08C38,MText,"Block 1 Plan 731 462",L-TITLEDB-T,9.9981491
B09E65,MText,"Road Plan 771 1522",L-TITLEDB-T,9.9981491
B0B989,BlockReference,"FDI",L-MON,4.99907455
B0B98E,BlockReference,"FDI",L-MON,4.99907455
B0B993,BlockReference,"FDI",L-MON,4.99907455
B0BA34,BlockReference,"VALVE",AS-SYMBOL,4.99907455
B0BA39,BlockReference,"VALVE",AS-SYMBOL,4.99907455
B1DD13,MText,"Hwy. 22",L-SECLBL,9.9981491
B1DF62,MText,"Approximate Location of Buried Telus Cable (Not Located at time of Survey)",AS-TELUS-ATCO PIPELINES,9.9981491
B1DF7E,AlignedDimension,"ATCO  P/L R/W Plan 771 1713",F-RW-T,Compass 5 000
B1DF7F,MText,"ATCOMeter Site Plan 771 1713",F-RW-T,9.9981491
B1DFE5,MText,"Fortis 3-Wire O/H Power Line",AS-POWER-T,9.9981491
B1E000,BlockReference,"*U46",0,0.99981491
B1E00B,BlockReference,"*U47",0,0.99981491
B1E016,BlockReference,"*U48",0,0.99981491
B1E021,BlockReference,"*U53",0,0.99981491
B1E02C,BlockReference,"*U54",0,0.99981491
B1E037,BlockReference,"*U55",0,0.99981491
B1E042,BlockReference,"*U56",0,0.99981491
B1E04D,BlockReference,"*U57",0,0.99981491
B1E058,BlockReference,"*U58",0,0.99981491
B1E063,BlockReference,"*U59",0,0.99981491
B1E06E,BlockReference,"*U50",0,0.99981491
B1E079,BlockReference,"*U51",0,0.99981491
B1E084,BlockReference,"*U49",0,0.99981491
B1E0B1,BlockReference,"VALVE",AS-SYMBOL,6.248843187499991
B1E0B2,BlockReference,"VALVE",AS-SYMBOL,6.248843187499991
B1E0B4,BlockReference,"FDI",L-MON,6.248843187499991
B1E0B5,BlockReference,"TEMP",L-MON,4.99907455
B1E0B6,BlockReference,"TEMP",L-MON,4.99907455
B1E0B7,BlockReference,"TEMP",L-MON,4.99907455
B20618,DBText,"87°48'30''",L-BD,9.9981491
B2061A,DBText,"357°48'30''",L-BD,9.9981491
B2061C,DBText,"87°48'30''",L-BD,9.9981491
B20620,DBText,"177°48'30''",L-BD,9.9981491
B217F5,MText,"9.14 267°48'30''",L-BD,9.9981491
B21885,MText,"Guard Rail",T-TEXT,9.9981491
B21886,MText,"Shack",T-TEXT,9.9981491
B22077,MText,"A/G Pipe",T-TEXT,9.9981491
B22090,BlockReference,"riser",AS-SYMBOL,4.99907455
B22091,BlockReference,"riser",AS-SYMBOL,4.99907455
B22093,MText,"Valve",T-TEXT,9.9981491
B22095,MText,"Riser",T-TEXT,9.9981491
B22096,MText,"Bottom of Slope",T-TEXT,9.9981491
B22097,MText,"Top of Slope",T-TEXT,9.9981491
B22887,MText,"Bottom of Slope",T-TEXT,9.9981491
B24875,MText,"Fd.I. c.s.",L-MON,9.9981491
B251B7,BlockReference,"*U61",DETAIL-T,0.99981491
B252C0,BlockReference,"*U61",DETAIL-T,0.99981491
B26DBA,BlockReference,"*U62",CG-NOTES,0.99981491
B26E1A,BlockReference,"*U63",CG-NOTES,0.99981491
B2B139,DBText,"Government Road Allowance",L-ROAD-T,9.9981491
B2B13A,DBText,"(Undeveloped)",T-TEXT,9.9981491
B2EC1F,BlockReference,"*U66",CG-NOTES,0.99981491
B2FCC6,BlockReference,"*U64",CG-NOTES,0.99981491
B30D9F,BlockReference,"*U67",CG-NOTES,0.99981491
B3160F,BlockReference,"*U68",CG-NOTES,0.99981491
B31E9C,BlockReference,"*U69",CG-NOTES,0.99981491
B31EF8,BlockReference,"*U65",CG-NOTES,0.99981491
B328A7,BlockReference,"*U70",CG-NOTES,0.99981491
B32925,BlockReference,"*U64",CG-NOTES,0.99981491
B4E552,DBText,"S.E.1/4 Sec. 31-22-3-W.5M.",C-SYMBOL,19.9962982
B4E55E,BlockReference,"*U72",C-SYMBOL,0.99981491
B4FB92,MText,"Fd.I. Mp. R59 Mkd. LIX",L-MON,9.9981491
B502F1,MText,"SEE DETAIL 'A' & 'B'",DETAIL-T,15.997038559999986
B502FB,MText,"SEE DETAIL 'C'",DETAIL-T,15.997038559999986
B5A076,MText,"Gravel Pad",T-TEXT,9.9981491
B5A07E,MText,"Low Grade Gravel Road",T-TEXT,9.9981491
B5CC11,MText,"60.96 Highway Plan 771 1116",L-TITLEDB-T,9.9981491
B5E9FF,DBText,"20-30cm Poplar, Spruce",T-BUSH-T,9.9981491
B5EA17,DBText,"20-30cm Poplar, Spruce",T-BUSH-T,9.9981491
B5EA1F,DBText,"20-30cm Poplar, Spruce",T-BUSH-T,9.9981491
B6B3AD,MText,"Fd.I. c.s.",L-MON,9.9981491
B6BF97,MText,"Fd. No Mk. Re-est. by  Plan 771 1713",L-MON,9.9981491
B6BF9F,MText,"Fd. No Mk. Re-est. by  Plan 771 1713",L-MON,9.9981491
B6BFA7,MText,"Fd. No Mk. Re-est. by  Plan 771 1713",L-MON,9.9981491
B6FB60,BlockReference,"HRV",CG-NOTES,0.99981491
B6FB64,MText,"(Cowboy Trail)",T-TEXT,9.9981491
B700A1,AlignedDimension,"ATCO  A/R  161 168 555",C-WS-T,Compass 5 000
B700C1,MText,"ATCO 6.0x6.0 Surface Lease  Reg.# 161 168 555",C-WS-T,9.9981491
B70609,AlignedDimension,"Nova  Utility R/W  4493 KU",F-RW-T,Compass 5 000
B70CE6,MText,"ATCO 6.0x6.0 Surface Lease Reg.# 161 168 556",C-WS-T,9.9981491
B70CEF,MText,"ATCO 9.14 A/R Reg.# 161 168 556",C-WS-T,9.9981491
B71C94,MText,"Gate",T-TEXT,9.9981491
B72783,BlockReference,"*U76",AS-OWNER,0.99981491
B72DB1,BlockReference,"*U77",AS-OWNER,0.99981491
B7342F,BlockReference,"Pile",0,4.99907455
B73431,MText,"Cathodic Post",AS-TELEPHONE-T,9.9981491
B7348D,MText,"(Cowboy Trail)",T-TEXT,9.9981491
B75B05,MText,"ATCO Lic./Line# 10343-2",EXISTING PIPE (EXIST OR HP),9.9981491
B75B0E,BlockReference,"SP2",AS-POWER-OH-ATCO PIPELINES,4.99907455
B75B16,MText,"ATCO Lic./Line# 10343-1",EXISTING PIPE (EXIST OR HP),9.9981491
B778AD,MText,"87°48'30'' 479.29",L-BD,9.9981491
B80061,MText,"Fortis O/H Power Line",AS-POWER-OH-ATCO PIPELINES,9.9981491
B80074,MText,"Buried Telus Cable",AS-TELUS-ATCO PIPELINES,9.9981491
B80075,BlockReference,"TEMP",L-MON,4.99907455
B80076,BlockReference,"TEMP",L-MON,4.99907455
B80077,BlockReference,"TEMP",L-MON,4.99907455
B80BFD,DBText,"20-30cm Poplar, Spruce",T-BUSH-T,9.9981491
B89DE6,BlockReference,"*U80",DETAIL-T,1
B89DF4,MText,"DETAIL 'A'",DETAIL-T,20
B89E1A,BlockReference,"Disclaimer_Legal",DISCLAIMER,1
B8A716,DBText,"Government Road Allowance",L-ROAD-T,9.9981491
B8A718,MText,"Blind Line",L-SEC,9.9981491
B8A719,MText,"Hwy. 22",L-SECLBL,9.9981491
B8A755,BlockReference,"SP2",AS-POWER-OH-ATCO PIPELINES,4.99907455
B8A75A,BlockReference,"*U61",DETAIL-T,0.99981491
B8A76C,BlockReference,"*U91",CG-NOTES,0.99981491
B8A777,BlockReference,"*U92",CG-NOTES,0.99981491
B8A782,BlockReference,"*U64",CG-NOTES,0.99981491
B8A78D,BlockReference,"*U92",CG-NOTES,0.99981491
B8A798,BlockReference,"*U65",CG-NOTES,0.99981491
