Handle,ObjType,Content,Layer,Extra
AF282E,BlockReference,"L-SECLBL",L-SECLBL,0.999488
AF2834,BlockReference,"L-SECLBL",L-SECLBL,0.999488
AF283A,BlockReference,"L-SECLBL",L-SECLBL,0.999488
AF28AC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999767
AF2A3B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999767
AF2A3C,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999767
AF2A3D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999767
AF2A3F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999767
AF2A40,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999767
AF2A4A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999767
AF2A4B,AlignedDimension,"Murphy  P/L R/W  195039",C-RW-T,Compass 5 000
AF2EC8,AlignedDimension,"Murphy  A/R  190626",C-AR-T,Compass 5 000
AF2F40,MText,"Athabasca 3-15 (Surface) MSL 231146",F-WS-T,9.994879999999727
AF316D,AlignedDimension,"Canfor  A/R  920343",F-AR-T,Compass 5 000
AF3343,MText,"Murphy 7-15 (Surface) MSL 190497",C-WS-T,9.994879999999727
AF38E0,BlockReference,"GAS",C-WS-S,4.999999999999891
AF38E1,BlockReference,"GAS",C-WS-S,4.999999999999891
AF38F1,BlockReference,"GABD",F-WS-S,4.999999999999891
AF38F9,MText,"11-22 (Abd.)",F-WS-T,9.994879999999727
AF3901,BlockReference,"GAS",C-WS-S,4.999999999999891
AF3902,BlockReference,"GAS",C-WS-S,4.999999999999891
AF3903,BlockReference,"GAS",C-WS-S,4.999999999999891
AF3904,BlockReference,"GAS",C-WS-S,4.999999999999891
AF3905,BlockReference,"GAS",C-WS-S,4.999999999999891
AF3906,BlockReference,"GAS",C-WS-S,4.999999999999891
AF5BEA,MText,"Grizzly Bear Secondary Access Management Zone Boundary",AS-WILDLIFE,9.99487999999974
AF6A79,MText,"40cm Poplar & 20cm Scattered Spruce",T-BUSH-T,9.984537975828314
AF6A7A,MText,"40cm Poplar & 20cm Scattered Spruce",T-BUSH-T,9.984537975828314
AF6A7C,DBText,"Theor. N.E.1/4 Sec. 27-64-17-W.5M.",C-SYMBOL,19.989759999999485
AF6A7D,DBText,"Theor. S.E.1/4 Sec. 27-64-17-W.5M.",C-SYMBOL,19.989759999999485
AF6A7F,DBText,"Theor. S.E.1/4 Sec. 22-64-17-W.5M.",C-SYMBOL,19.989759999999485
AF6A80,DBText,"Theor. N.E.1/4 Sec. 15-64-17-W.5M.",C-SYMBOL,19.989759999999485
AF6A81,DBText,"Theor. S.E.1/4 Sec. 15-64-17-W.5M.",C-SYMBOL,19.989759999999485
AF6C1A,BlockReference,"*U46",C-WS-S,0.999488
AF6C20,BlockReference,"*U46",C-WS-S,0.999488
AF6C26,BlockReference,"*U45",C-WS-S,0.999488
AF6C29,BlockReference,"*U44",C-WS-S,0.999488
AF6F96,BlockReference,"*U47",C-WS-S,0.999488
AF6FD6,BlockReference,"*U48",C-WS-S,0.999488
AF7194,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991807999999592
AF7196,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991807999999592
AF7198,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991807999999592
AF719A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991807999999592
AF719C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991807999999592
AF719E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991807999999592
AF7219,BlockReference,"*U49",AS-WILDLIFE-BLOCK,0.999488
AF7230,MText,"Athabasca 20.00 A/R LOC 231467",F-WS-T,9.994879999999727
AF7B98,MText,"Atikkamek Creek",T-WATER-T,9.99487999999974
AF925A,BlockReference,"L-SECLBL",L-SECLBL,0.999488
AF93EC,DBText,"Theor. S.W.1/4 Sec. 23-64-17-W.5M.",C-SYMBOL,19.989759999999517
AF93ED,BlockReference,"*U46",C-WS-S,0.999488
AF93FB,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991807999999592
AFDA43,BlockReference,"fdspike",L-MON,4.999999999999903
AFDA48,BlockReference,"fdspike",L-MON,4.999999999999903
AFDA4D,BlockReference,"FDI",L-MON,4.999999999999903
AFDA52,BlockReference,"FDI",L-MON,4.999999999999903
AFDA57,BlockReference,"plspike",L-MON,4.997439999999915
AFDA5C,BlockReference,"plspike",L-MON,4.997439999999915
AFDA61,BlockReference,"plspike",L-MON,4.997439999999915
AFDA66,BlockReference,"plspike",L-MON,4.997439999999915
AFDA6B,BlockReference,"plspike",L-MON,4.997439999999915
AFDA75,BlockReference,"plspike",L-MON,4.997439999999915
AFDA7A,BlockReference,"plspike",L-MON,4.997439999999915
AFDA89,BlockReference,"plspike",L-MON,4.997439999999915
AFDA93,BlockReference,"plspike",L-MON,4.997439999999915
AFDA98,BlockReference,"plspike",L-MON,4.997439999999915
AFDA9D,BlockReference,"plspike",L-MON,4.997439999999915
AFDAA7,BlockReference,"plspike",L-MON,4.997439999999915
B0D0D8,MText,"293°53'",L-BD,9.994879999999785
B0D0DA,MText,"302°49'",L-BD,9.994879999999785
B11211,AlignedDimension,"30.00 A/R",P-TXT,Compass 5 000
B1121D,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B11229,AlignedDimension,"30.00A/R",P-TXT,Compass 5 000
B11235,AlignedDimension,"35.00 A/R",P-TXT,Compass 5 000
B11241,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B1124D,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B11273,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B11280,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B17CEA,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B18D0C,BlockReference,"*U60",P-TEMP-BLOCKS,0.999488
B19550,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B1966C,BlockReference,"*U88",P-TEMP-BLOCKS,0.999488
B19F1E,BlockReference,"*U89",P-TEMP-BLOCKS,0.999488
B19F8F,BlockReference,"*U90",P-TEMP-BLOCKS,0.999488
B1A005,BlockReference,"*U62",P-TEMP-BLOCKS,0.999488
B1A8B5,BlockReference,"*U91",P-TEMP-BLOCKS,0.999488
B1A92C,BlockReference,"*U62",P-TEMP-BLOCKS,0.999488
B1A99D,BlockReference,"*U62",P-TEMP-BLOCKS,0.999488
B1AA0E,BlockReference,"*U62",P-TEMP-BLOCKS,0.999488
