Handle,ObjType,Content,Layer,Extra
AF7A1F,BlockReference,"RP",35,1
B05EEB,BlockReference,"*U40",AS-WILDLIFE-BLOCK,1
B06908,BlockReference,"*U42",AS-WILDLIFE-BLOCK,1
B06946,BlockReference,"*U42",AS-WILDLIFE-BLOCK,1
B06955,BlockReference,"L-SECLBL",L-SECLBL,1
B0695B,BlockReference,"L-SECLBL",L-SECLBL,1
B06961,BlockReference,"L-SECLBL",L-SECLBL,1
B06967,BlockReference,"L-SECLBL",L-SECLBL,1
B0696D,BlockReference,"L-SECLBL",L-SECLBL,1
B06973,BlockReference,"L-SECLBL",L-SECLBL,1
B072F7,BlockReference,"L-SECLBL",L-SECLBL,1
B072FD,BlockReference,"L-SECLBL",L-SECLBL,1
B07303,BlockReference,"L-SECLBL",L-SECLBL,1
B07309,BlockReference,"L-SECLBL",L-SECLBL,1
B0730F,BlockReference,"L-SECLBL",L-SECLBL,1
B07315,BlockReference,"L-SECLBL",L-SECLBL,1
B0731B,BlockReference,"L-SECLBL",L-SECLBL,1
B07321,BlockReference,"L-SECLBL",L-SECLBL,1
B07327,BlockReference,"L-SECLBL",L-SECLBL,1
B07CAB,BlockReference,"L-SECLBL",L-SECLBL,1
B07CB1,BlockReference,"L-SECLBL",L-SECLBL,1
B07CB7,BlockReference,"L-SECLBL",L-SECLBL,1
B07CBD,BlockReference,"L-SECLBL",L-SECLBL,1
B07CC3,BlockReference,"L-SECLBL",L-SECLBL,1
B07CC9,BlockReference,"L-SECLBL",L-SECLBL,1
B07CCF,BlockReference,"L-SECLBL",L-SECLBL,1
B07CD5,BlockReference,"L-SECLBL",L-SECLBL,1
B07CDB,BlockReference,"L-SECLBL",L-SECLBL,1
B07CE2,BlockReference,"L-SECLBL",L-SECLBL,1
B08666,BlockReference,"L-SECLBL",L-SECLBL,1
B0866C,BlockReference,"L-SECLBL",L-SECLBL,1
B08FF0,BlockReference,"*U40",AS-WILDLIFE-BLOCK,1
B08FFF,BlockReference,"*U40",AS-WILDLIFE-BLOCK,1
B0902C,BlockReference,"*U52",AS-WILDLIFE-BLOCK,1
B0A916,MText,"Grizzly Bear Zone Boundary",AS-WILDLIFE,10.001740302812921
B0A918,MText,"Grizzly Bear Zone Boundary",AS-WILDLIFE,10.001740302812921
B0B2A8,MText,"Grizzly Bear Zone Boundary",AS-WILDLIFE,10.001740302812921
B0B2AA,MText,"Key Wildlife and  Biodiversity Zone Boundary",AS-WILDLIFE,10.001740302812921
B0B2AC,MText,"Key Wildlife and  Biodiversity Zone Boundary",AS-WILDLIFE,10.001740302812921
B0B2AE,MText,"Key Wildlife and  Biodiversity Zone Boundary",AS-WILDLIFE,10.001740302812921
B0B2B0,MText,"Key Wildlife and  Biodiversity Zone Boundary",AS-WILDLIFE,10.001740302812921
B0BC45,BlockReference,"*U41",AS-WILDLIFE-BLOCK,1
B1242F,BlockReference,"*U43",AS-OWNER,0.999551
B12E01,BlockReference,"*U43",AS-OWNER,0.999551
B137BB,BlockReference,"*U43",AS-OWNER,0.999551
B137CA,BlockReference,"*U43",AS-OWNER,0.999551
B137D9,BlockReference,"*U43",AS-OWNER,0.999551
B141A5,BlockReference,"*U43",AS-OWNER,0.999551
B17FE9,DBText,"Theor. N.E.1/4",C-SYMBOL,19.99102000000034
B17FEA,DBText,"Sec. 36-65-4-W.6M.",C-SYMBOL,19.99102000000034
B17FED,DBText,"Theor. S.E.1/4",C-SYMBOL,19.99102000000034
B17FEE,DBText,"Sec. 36-65-4-W.6M.",C-SYMBOL,19.99102000000034
B17FF5,DBText,"Theor. S.E.1/4",C-SYMBOL,19.99102000000034
B17FF6,DBText,"Sec. 1-66-4-W.6M.",C-SYMBOL,19.99102000000034
B17FF7,DBText,"Theor. N.W.1/4",C-SYMBOL,19.99102000000034
B17FF8,DBText,"Sec. 6-66-3-W.6M.",C-SYMBOL,19.99102000000034
B17FF9,DBText,"Theor. N.E.1/4",C-SYMBOL,19.99102000000034
B17FFA,DBText,"Sec. 6-66-3-W.6M.",C-SYMBOL,19.99102000000034
B17FFB,DBText,"Theor. S.W.1/4",C-SYMBOL,19.99102000000034
B17FFC,DBText,"Sec. 6-66-3-W.6M.",C-SYMBOL,19.99102000000034
B18005,DBText,"Theor. S.E.1/4",C-SYMBOL,19.99102000000034
