Handle,ObjType,Content,Layer,Extra
AB6BBE,BlockReference,"L-SECLBL",L-SECLBL,0.999485
AB6BC7,BlockReference,"L-SECLBL",L-SECLBL,0.999485
AB6BD0,BlockReference,"L-SECLBL",L-SECLBL,0.999485
AB6BD9,BlockReference,"L-SECLBL",L-SECLBL,0.999485
AB6BE2,BlockReference,"L-SECLBL",L-SECLBL,0.999485
AB6BEB,DBText,"Theor. N.W.1/4 Sec. 15-64-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BEC,DBText,"Theor. N.E.1/4 Sec. 15-64-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BEE,DBText,"Theor. N.E.1/4 Sec. 10-64-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BEF,DBText,"Theor. N.W.1/4 Sec. 11-64-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BF0,DBText,"Theor. N.E.1/4 Sec. 11-64-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BF1,DBText,"Theor. S.W.1/4 Sec. 11-64-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BF2,DBText,"Theor. S.E.1/4 Sec. 11-64-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BF4,DBText,"Theor. S.E.1/4 Sec. 2-64-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BF5,DBText,"Theor. N.E.1/4 Sec. 35-63-21-W.5M.",C-SYMBOL,19.989699999999964
AB6BF6,DBText,"Theor. S.E.1/4 Sec. 35-63-21-W.5M.",C-SYMBOL,19.989699999999964
AB8AAC,BlockReference,"*U101",L-SECLBL,1
AB8AE1,BlockReference,"*U100",L-SECLBL,1
AB93B7,AlignedDimension,"Novus  A/R  054530",F-AR-T,Compass 5 000
AB93DF,AlignedDimension,"CPEC  A/R  071563",C-AR-T,Compass 5 000
ABC08C,AlignedDimension,"CPEC  A/R  200520",C-AR-T,Compass 5 000
ABC0C3,AlignedDimension,"Petrochina  A/R  961884",F-AR-T,Compass 5 000
ABCA09,MText,"CPEC 10-35 (Surface) MSL 200425",C-WS-T,9.994849999999985
ABCA1E,AlignedDimension,"Novus  P/L R/W  072 7315  061340",F-RW-T,Compass 5 000
ABCA58,AlignedDimension,"CPEC  P/L R/W  230753",C-RW-T,Compass 5 000
ABDC37,AlignedDimension,"CNRL  P/L R/W  972 3218  950289",F-RW-T,Compass 5 000
ABDC63,AlignedDimension,"CNRL  P/L R/W  002 4406  960272",F-RW-T,Compass 5 000
ABE593,AlignedDimension,"CPEC  A/R  071563",C-AR-T,Compass 5 000
ABE5BA,AlignedDimension,"CPEC  A/R  071566",C-AR-T,Compass 5 000
ABE5EE,MText,"CPEC Water Reservoir LOC 150011",C-AR-T,9.994849999999985
ABE5EF,AlignedDimension,"Paramount  A/R  230177",F-AR-T,Compass 5 000
ABEEEA,AlignedDimension,"Petrochina  A/R  900859",F-AR-T,Compass 5 000
ABF7FA,AlignedDimension,"Petrochina  A/R  961884",F-AR-T,Compass 5 000
ABF81E,MText,"CPEC 2-35 (Surface) MSL 230136",C-WS-T,9.994849999999985
ABF81F,AlignedDimension,"Cenovus  P/L R/W  082 7065  001186",F-AR-T,Compass 5 000
ABF847,AlignedDimension,"CPEC  P/L R/W  230754",C-RW-T,Compass 5 000
ABF863,AlignedDimension,"CNRL  P/L R/W  972 3218  950289",F-RW-T,Compass 5 000
AC0171,AlignedDimension,"CNRL  P/L R/W  002 4406  960272",F-RW-T,Compass 5 000
AC019C,BlockReference,"*U106",L-SECLBL,1
AC0A7B,BlockReference,"*U107",L-SECLBL,1
AC0AA1,AlignedDimension,"Novus  A/R  054530",F-AR-T,Compass 5 000
AC0ADD,AlignedDimension,"CPEC  A/R  770544",C-AR-T,Compass 5 000
AC0B15,AlignedDimension,"Petrochina  A/R  961884",F-AR-T,Compass 5 000
AC1419,MText,"Novus Battery Site MSL 061637",F-WS-T,9.994849999999985
