Handle,ObjType,Content,Layer,Extra
AFA8BA,BlockReference,"L-SECLBL",L-SECLBL,1
AFD99E,BlockReference,"GAS",F-WS-S,4.997325200000118
AFD99F,MText,"Paramount
4-24 (Surface)
MSL 407",F-WS-T,10.005352463353931
AFD9A9,MText,"Trace
Waste Management Site
MLL 190059
(Expired)",F-RW-T,9.994650400000266
AFD9BC,MText,"Trace
8.00 A/R
LOC 190533
(Expired)",F-AR-T,10.005352463353931
AFD9D1,AlignedDimension,"Paramount\P22.86 P/L R/W\PPlan 911 RS\PPLA 3235",F-RW-T,Compass 5 000
AFDA11,AlignedDimension,"ATCO\P7.50 Vegetation Control R/W\PEZE 890416",F-EZE-T,Compass 5 000
AFDA39,AlignedDimension,"Texcal\P30.48 A/R\PMSL 9776",F-AR-T,Compass 5 000
AFE274,AlignedDimension,"Texcal\P7.62 P/L R/W\PPlan 762 2395\PPLA 6098",F-RW-T,Compass 5 000
AFE2EE,AlignedDimension,"Texcal\P20.12 P/L R/W\PPLA 4038",F-RW-T,Compass 5 000
AFE31E,MText,"Northward
Tower Site
DML 000018",F-WS-T,10.005352463353931
AFE320,AlignedDimension,"ATCO\P15.00 Power Line R/W\PEZE 000187",F-EZE-T,Compass 5 000
AFE39E,AlignedDimension,"PGI\P50.48 A/R\PLOC 2439",F-WS-T,Compass 5 000
AFE3E5,AlignedDimension,"Telus\P20.12 Cable R/W\PDLO 3568",F-RW-T,Compass 5 000
AFEC7C,AlignedDimension,"Paramount\P20.12 A/R\PLOC 1035",F-AR-T,Compass 5 000
AFF59B,AlignedDimension,"ATCO\P6.10 Power Line R/W\PEZE 2527",F-EZE-T,Compass 5 000
AFF5CC,AlignedDimension,"Texcal\P30.48 A/R\PMSL 6516\P(Expired)",F-AR-T,Compass 5 000
AFF642,AlignedDimension,"Texcal\P15.00 P/L R/W\PPlan 892 0544\PPLA 880372",F-RW-T,Compass 5 000
AFF66F,AlignedDimension,"Texcal\P10.06 P/L R/W\PPLA 4037",F-RW-T,Compass 5 000
