Handle,ObjType,Content,Layer,Extra
BC87D3,BlockReference,"RP",35,1
BC9337,BlockReference,"L-SECLBL",L-SECLBL,1
BC933D,BlockReference,"L-SECLBL",L-SECLBL,1
BC9359,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991663999999945
BC935B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994789999999973
BC935E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991663999999945
BC936D,MText,"2-Buried Pipes",AS-PIPE-UG-T,9.99999999999999
BC936F,MText,"2-Buried Pipes",AS-PIPE-UG-T,9.99999999999999
BC93A1,AlignedDimension,"Veren  P/L R/W  190564",C-RW-T,Compass 5 000
BC93A2,AlignedDimension,"Veren  P/L R/W  130007",C-RW-T,Compass 5 000
BC93A3,AlignedDimension,"Veren  P/L R/W  130007",C-RW-T,Compass 5 000
BC93A6,AlignedDimension,"Veren  P/L R/W  250024",C-RW-T,Compass 5 000
BC93A7,AlignedDimension,"Veren  P/L R/W  190564",C-RW-T,Compass 5 000
BC93A8,MText,"Veren (FC712) 2-23 (Surface) MSL 241312",C-WS-T,9.999999999999986
BC93AC,AlignedDimension,"HWN  A/R  230584",F-AR-T,Compass 5 000
BC93AD,AlignedDimension,"CanFor  A/R  900624",F-AR-T,Compass 5 000
BC93B0,MText,"CanFor CLR970292",F-WS-T,9.999999999999986
BC93EC,BlockReference,"GAS",C-WS-S,4.997434999999993
BC93ED,BlockReference,"WC",L-MON,4.997349899999982
BC93EE,BlockReference,"WC",L-MON,4.997349899999982
BC93EF,BlockReference,"WC",L-MON,4.997349899999982
BC93F0,BlockReference,"WC",L-MON,4.997349899999982
BC93F1,BlockReference,"WC",L-MON,4.997349899999982
BC9510,MText,"HWN Energy Borrow Pit RSC 160029 (Cancelled)",F-WS-T,9.99471999999999
BC9ED2,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.999885140440758
BC9ED4,MText,"Shrubby Swamp",WETLAND-T,9.999885140440758
BC9EDD,MText,"Wooded  Mixedwood Swamp",WETLAND-T,10.000000000000048
BC9EE3,MText,"Wooded  Mixedwood Swamp",WETLAND-T,10.000000000000048
BC9EEA,MText,"Muskeg Shrubby Swamp",T-TEXT,9.989482666806547
BC9EEC,MText,"20cm Spruce",T-BUSH-T,9.994699799999985
BC9EED,MText,"25cm Pine",T-BUSH-T,9.994699799999985
BC9FA1,AlignedDimension,"CanFor  A/R  900624",F-AR-T,Compass 5 000
BCAA2A,MText,"25cm Pine",T-BUSH-T,9.994699799999989
BCB479,AlignedDimension,"Veren  P/L R/W  250024",C-RW-T,Compass 5 000
BCB4B2,MText,"Ephemeral Draw 1.0 Wide 0.2 Deep",T-WATER-T,9.989460478466784
BCBF1D,MText,"Ephemeral  Draw",T-WATER-T,9.994752700000017
BCC8C5,MText,"Buried Pipe",AS-PIPE-UG-T,9.994699799999994
BCC8CF,MText,"10m High Grade Gravel Road",T-GENERAL,9.994699799999994
BCC8D7,MText,"10m High Grade Gravel Road",T-GENERAL,9.994699799999994
C1D081,MText,"Theor. S.E.1/4  Sec. 23-64-23-W.5M.",C-SYMBOL,19.98957999999995
C1D082,MText,"Theor. S.W.1/4  Sec. 24-64-23-W.5M.",C-SYMBOL,19.98957999999995
C1DA90,BlockReference,"xing2",P-CROSSINGS,0.999471
C1DA97,BlockReference,"xing2",P-CROSSINGS,0.999471
C21C2A,BlockReference,"xing2",P-CROSSINGS,0.999471
C228E6,BlockReference,"*U17",CG-NOTES,0.9980152436945224
C22906,BlockReference,"GAS",C-WS-S,4.997434999999993
C22907,BlockReference,"GAS",C-WS-S,4.997434999999993
C22908,BlockReference,"GAS",C-WS-S,4.997434999999993
C2DEE1,MText,"Small Permanent  Creek",T-WATER-T,9.98946547582166
C317ED,MText,"Cut Block",T-TEXT,9.994747700000042
C317EE,MText,"Stand Burn No Salvage",T-TEXT,9.994747700000042
C388C5,BlockReference,"Disclaimer_Legal",C-AR,0.2
