Handle,ObjType,Content,Layer,Extra
AF4631,BlockReference,"L-SECLBL",L-SECLBL,1
AF4637,BlockReference,"L-SECLBL",L-SECLBL,1
AF463D,BlockReference,"L-SECLBL",L-SECLBL,1
AF464C,BlockReference,"L-SECLBL",L-SECLBL,1
AF4E3A,DBText,"Theor. N.E.1/4 Sec. 28-64-3-W.6M.",C-SYMBOL,20.000000000000004
AF4E3B,DBText,"Theor. S.E.1/4 Sec. 28-64-3-W.6M.",C-SYMBOL,20.000000000000004
AF4E3C,DBText,"Theor. N.W.1/4 Sec. 27-64-3-W.6M.",C-SYMBOL,20.000000000000004
AF4E3E,DBText,"Theor. N.E.1/4 Sec. 21-64-3-W.6M.",C-SYMBOL,20.000000000000004
AF6E99,AlignedDimension,"Crescent Point  A/R  160940",C-AR-T,Compass 5 000
AF6E9A,AlignedDimension,"Crescent Point  P/L R/W  160738",C-RW-T,Compass 5 000
AF6E9B,MText,"Crescent Point 9-28(Surface) MSL 160830",C-WS-T,10.004401236235998
AF6E9D,BlockReference,"GAS",C-WS-S,5.002200618117947
AF6EDD,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000002
AF6EDE,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000002
AF6EDF,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000002
AF6EE2,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
AF6EE3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
AF6EF1,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000004
AF6EF3,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000004
AF6EF5,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000004
AF6EF7,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000004
AF6EF9,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000004
AF6EFB,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.000000000000004
AF773B,AlignedDimension,"CNRL  P/L R/W  000503",F-RW-T,Compass 5 000
AF773D,MText,"CNRL 12-27(Surface) MSL 992356",F-WS-T,10.004401236235998
AF773F,BlockReference,"GAS",F-WS-S,5.002200618117947
AF7740,BlockReference,"GAS",F-WS-S,5.002200618117947
AF77AA,AlignedDimension,"Crescent Point  A/R  160940",C-AR-T,Compass 5 000
AF77E8,AlignedDimension,"Crescent Point  P/L R/W  160738",C-RW-T,Compass 5 000
AF7807,AlignedDimension,"Crescent Point  A/R  991615",C-AR-T,Compass 5 000
AF7845,AlignedDimension,"CNRL  A/R  031066",F-AR-T,Compass 5 000
AF7910,MText,"CNRL Riser Site PIL 000130",F-WS-T,10.004401236235998
AF81D4,AlignedDimension,"CNRL  A/R  031066",F-AR-T,Compass 5 000
AF81F3,AlignedDimension,"CNRL  P/L R/W  000503",F-RW-T,Compass 5 000
AF8212,AlignedDimension,"Crescent Point  P/L R/W  160738",C-RW-T,Compass 5 000
AF823A,AlignedDimension,"Crescent Point  A/R  991615",C-AR-T,Compass 5 000
AF8262,AlignedDimension,"PGI   P/L R/W  151378",F-RW-T,Compass 5 000
AF8281,AlignedDimension,"PGI  P/L R/W  190452",F-RW-T,Compass 5 000
AF82A0,AlignedDimension,"CNRL  P/L R/W  042 1617  991450",F-RW-T,Compass 5 000
AF82BC,AlignedDimension,"Crescent Point  A/R  901296",C-AR-T,Compass 5 000
AF82E0,AlignedDimension,"Crescent Point  Water Line R/W  200508",C-AR-T,Compass 5 000
AF8312,AlignedDimension,"Crescent Point  A/R  170293",C-AR-T,Compass 5 000
AF8BBE,MText,"PGI Riser Site PIL 220107",F-WS-T,10.004401236236019
AF8C92,AlignedDimension,"Crescent Point  A/R  170293",C-AR-T,Compass 5 000
AF8CB1,AlignedDimension,"Crescent Point 20.00 P/L R/W  151382",C-RW-T,Compass 5 000
AF94C3,AlignedDimension,"Crescent Point  A/R  991615",C-AR-T,Compass 5 000
AF94EB,AlignedDimension,"Crescent Point  P/L R/W  160738",C-RW-T,Compass 5 000
AF950A,AlignedDimension,"PGI  P/L R/W  151378",F-RW-T,Compass 5 000
AF953B,AlignedDimension,"Crescent Point  A/R  170293",C-AR-T,Compass 5 000
AF9563,AlignedDimension,"PGI  P/L R/W  151384",F-RW-T,Compass 5 000
AF958B,AlignedDimension,"Crescent Point  A/R  190549",C-AR-T,Compass 5 000
AF9E45,MText,"CNRL 10-21(Surface) MSL 034164",F-WS-T,10.004401236236019
AF9E47,BlockReference,"GAS",F-WS-S,5.002200618117947
AF9EC4,AlignedDimension,"CNRL  P/L R/W  062 2045  050973",F-AR-T,Compass 5 000
AF9EE3,AlignedDimension,"CNRL  A/R  032776",F-AR-T,Compass 5 000
AF9F07,AlignedDimension,"PGI  P/L R/W  151384",F-RW-T,Compass 5 000
AF9F2F,AlignedDimension,"CNRL  P/L R/W  052 0973  991453",F-RW-T,Compass 5 000
AF9F57,AlignedDimension,"PGI  P/L R/W  190452",F-RW-T,Compass 5 000
AF9F76,AlignedDimension,"Crescent Point  A/R  190549",C-AR-T,Compass 5 000
AFA821,MText,"CNRL Riser Site PIL 000133",F-WS-T,10.004401236236019
AFA824,MText,"CNRL 11-22(Surface) MSL 891259 (Expired)",F-WS-T,10.004401236236019
AFA826,BlockReference,"GAS",F-WS-S,5.002200618117947
AFA8F9,AlignedDimension,"Crescent Point  A/R  901296",C-AR-T,Compass 5 000
AFA918,AlignedDimension,"CNRL  P/L R/W  042 1617  991450",F-RW-T,Compass 5 000
AFA937,AlignedDimension,"Crescent Point  Water Line R/W  200508",C-AR-T,Compass 5 000
AFA956,AlignedDimension,"Crescent Point  A/R  170293",C-AR-T,Compass 5 000
AFA97E,AlignedDimension,"PGI  P/L R/W  190452",F-RW-T,Compass 5 000
AFA99D,AlignedDimension,"PGI  P/L R/W  151384",F-RW-T,Compass 5 000
AFA9C5,AlignedDimension,"CNRL  P/L R/W  052 0973  991453",F-RW-T,Compass 5 000
AFB1DA,AlignedDimension,"Crescent Point  A/R  190549",C-AR-T,Compass 5 000
AFB1F9,AlignedDimension,"CNRL  A/R  032778",F-RW-T,Compass 5 000
AFB218,AlignedDimension,"CNRL  P/L R/W  042 1618  991454",F-RW-T,Compass 5 000
AFCBBB,DBText,"Theor. S.W.1/4 Sec. 22-64-3-W.6M.",C-SYMBOL,20.00880247247179
AFCBBC,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.00704197797741
AFCC58,AlignedDimension,"CNRL  A/R  032778",F-RW-T,Compass 5 000
AFCC80,AlignedDimension,"CNRL  P/L R/W  042 1618  991454",F-RW-T,Compass 5 000
AFCC9F,AlignedDimension,"Crescent Point  A/R  170293",C-AR-T,Compass 5 000
AFCCC7,AlignedDimension,"PGI   P/L R/W  151384",F-RW-T,Compass 5 000
AFCCEF,AlignedDimension,"Crescent Point  Water Line R/W  200508",C-AR-T,Compass 5 000
AFCD29,AlignedDimension,"PGI   P/L R/W  190452",F-RW-T,Compass 5 000
