Handle,ObjType,Content,Layer,Extra
C21638,BlockReference,"L-SECLBL",L-SECLBL,0.9995596
C2163E,BlockReference,"L-SECLBL",L-SECLBL,0.9995596
C2164A,MText,"L.S. 3",L-SECTION-LSD,9.995595999999905
C2164C,MText,"L.S. 4",L-SECTION-LSD,9.995595999999905
C2164E,MText,"L.S. 6",L-SECTION-LSD,9.995595999999905
C21650,MText,"L.S. 5",L-SECTION-LSD,9.995595999999905
C21652,MText,"L.S. 11",L-SECTION-LSD,9.995595999999905
C21654,MText,"L.S. 12",L-SECTION-LSD,9.995595999999905
C21656,MText,"L.S. 14",L-SECTION-LSD,9.995595999999905
C21657,MText,"L.S. 13",L-SECTION-LSD,9.995595999999905
C21659,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999901
C2165A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999901
C21664,MText,"Theor. S.W.1/4  Sec. 10-65-3-W.6M.",C-SYMBOL,19.991191999999902
C21665,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.9929535999999
C21667,MText,"Theor. N.W.1/4  Sec. 3-65-3-W.6M.",C-SYMBOL,19.991191999999902
C21668,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.9929535999999
C21672,MText,"Grizzly Bear Support Zone",AS-WILDLIFE,9.995629999999956
C21673,MText,"Grizzly Bear Secondary Access Management Area",AS-WILDLIFE,9.995629999999956
C21697,BlockReference,"L-SECLBL",L-SECLBL,0.9995596
C216A3,MText,"L.S. 9",L-SECTION-LSD,9.995595999999907
C216A5,MText,"L.S. 10",L-SECTION-LSD,9.995595999999907
C216A7,MText,"L.S. 16",L-SECTION-LSD,9.995595999999907
C216A9,MText,"L.S. 15",L-SECTION-LSD,9.995595999999907
C216AB,MText,"L.S. 11",L-SECTION-LSD,9.995595999999907
C216AD,MText,"L.S. 12",L-SECTION-LSD,9.995595999999907
C216AF,MText,"L.S. 14",L-SECTION-LSD,9.995595999999907
C216B0,MText,"L.S. 13",L-SECTION-LSD,9.995595999999907
C216B2,MText,"L.S. 3",L-SECTION-LSD,9.995595999999907
C216B4,MText,"L.S. 4",L-SECTION-LSD,9.995595999999907
C216B6,MText,"L.S. 6",L-SECTION-LSD,9.995595999999907
C216B8,MText,"L.S. 5",L-SECTION-LSD,9.995595999999907
C216BA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999903
C216BB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995595999999903
C216BC,DBText,"Government Road Allowance",L-ROAD-T,9.995595999999903
C216E3,MText,"Theor. S.W.1/4  Sec. 2-65-3-W.6M.",C-SYMBOL,19.991191999999895
C216E4,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99295359999989
C216E6,MText,"Theor. N.E.1/4  Sec. 3-65-3-W.6M.",C-SYMBOL,19.991191999999906
C216E7,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992953599999904
C216E9,MText,"Theor. N.W.1/4  Sec. 2-65-3-W.6M.",C-SYMBOL,19.991191999999906
C216EA,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992953599999904
C216EE,DBText,"(17th Baseline)",L-ROAD-T,9.995595999999903
C216EF,MText,"Twp. 64",D-TXT,13.993834399999956
C216F0,MText,"Twp. 65",D-TXT,13.993834399999956
C216F3,MText,"Grizzly Bear Support Zone",AS-WILDLIFE,9.995629999999956
C216F4,MText,"Grizzly Bear Secondary Access Management Area",AS-WILDLIFE,9.995629999999956
C216FD,MText,"E.-W. 1/4 Line",L-QSEC,9.995629999999952
C216FE,MText,"199°19'25" 7.38(Tie)",L-TIE-T,9.995595999999962
C21717,MText,"Theoretic  Blind Line",L-USEC,9.995629999999956
C21718,MText,"30m FNC Buffer",P-BUFFER-T,9.995629999999956
C21719,MText,"30m FNC Buffer",P-BUFFER-T,9.995629999999956
C2171A,MText,"100m FNC Buffer",P-BUFFER-T,9.995629999999956
C2171B,MText,"100m FNC Buffer",P-BUFFER-T,9.995629999999956
C21736,BlockReference,"*U36",DETAIL-T,1
C21748,BlockReference,"*U36",DETAIL-T,1
C2175A,BlockReference,"*U36",DETAIL-T,1
C2176C,BlockReference,"*U37",DETAIL-T,1
C2177E,MText,"DETAIL 'B' SCALE 1:1000",DETAIL-T,19.99119199999992
C21780,MText,"SEE DETAIL 'B'",DETAIL-T,15.992953599999922
C21782,MText,"SEE DETAIL 'A'",DETAIL-T,15.992953599999922
C21784,MText,"DETAIL 'A' SCALE 1:1000",DETAIL-T,19.99119199999992
C21786,MText,"SEE BP1  DETAIL",DETAIL-T,15.992953599999922
C2178D,BlockReference,"*U89",P-TEMP-BLOCKS,1
C217B7,BlockReference,"*U82",P-TEMP-BLOCKS,1
C217CC,BlockReference,"*U39",P-TEMP-BLOCKS,1
C217E1,BlockReference,"*U38",P-TEMP-BLOCKS,1
C217F6,BlockReference,"*U40",L-BD,1
C21818,DBText,"235°38'05''",L-BD,9.995629999999956
C2181A,DBText,"121.17(Tie)",L-BD,9.995595999999958
C2181B,DBText,"51°21'50''",L-BD,9.995595999999958
C2181E,DBText,"37'",L-BD,9.995629999999958
C21820,DBText,"127°38'55''",L-BD,9.995629999999958
C21822,DBText,"45''",L-BD,9.995629999999958
C21824,DBText,"127°",L-BD,9.995629999999958
C21826,DBText,"241°58'50''",L-BD,9.995629999999958
C21827,BlockReference,"curve",L-BD,4.997814999999977
C2182D,DBText,"127°45'50''",L-BD,9.995629999999954
C2182F,DBText,"127°45'50''",L-BD,9.995629999999954
C21839,DBText,"127°45'50''",L-BD,9.995629999999954
C2183A,MText,"226.91 241°",L-BD,9.995629999999958
C2183B,DBText,"50''",L-BD,9.995595999999953
C2183D,DBText,"58'",L-BD,9.995595999999953
C2183E,DBText,"127°45'50''",L-BD,9.995629999999954
C21841,DBText,"127°45'50''",L-BD,9.995629999999952
C21842,MText,"51°21'50'' 121.17(Tie)",L-BD,9.99559599999996
C21845,DBText,"105°51'05''",L-BD,9.995595999999955
C21847,DBText,"113°16'25"",L-BD,9.99559599999996
C21848,MText,"8.16 351°47'10"",L-BD,9.995595999999962
C2184C,DBText,"233°55'",L-BD,9.995595999999962
C2184D,MText,"127°58'45'' 99.52",L-BD,9.995629999999958
C2184E,AlignedDimension,"CNRL  A/R  042223  Be Amended)",C-AR-T,Compass 5 000
C2184F,AlignedDimension,"CNRL  A/R  003036  Be Amended)",C-AR-T,Compass 5 000
C21850,AlignedDimension,"CNRL  A/R  040719",C-AR-T,Compass 5 000
C21851,AlignedDimension,"CNRL  A/R  003036  Be Amended)",C-AR-T,Compass 5 000
C21852,AlignedDimension,"CNRL  A/R  241493",C-AR-T,Compass 5 000
C21853,AlignedDimension,"CNRL  A/R  930167",C-AR-T,Compass 5 000
C21854,AlignedDimension,"CNRL  A/R  872 1331  870185",C-AR-T,Compass 5 000
C21855,AlignedDimension,"CNRL  P/L R/W  082 1312  043242",C-AR-T,Compass 5 000
C21856,AlignedDimension,"CNRL  A/R  241493",C-AR-T,Compass 5 000
C21857,AlignedDimension,"CNRL  A/R  003036  Be Amended)",C-AR-T,Compass 5 000
C21858,AlignedDimension,"CNRL  A/R  003036  Be Amended)",C-AR-T,Compass 5 000
C2185E,MText,"CNRL 10.00 A/R LOC 040719",C-AR-T,9.999999999999961
C21860,AlignedDimension,"CNRL  A/R  003036  Be Amended)",C-AR-T,Compass 5 000
C21862,AlignedDimension,"CNRL  A/R  ______",C-AR-T,Compass 5 000
C21863,AlignedDimension,"CNRL  A/R  ______",C-AR-T,Compass 5 000
C21864,AlignedDimension,"CNRL  A/R  ______",C-AR-T,Compass 5 000
