Handle,ObjType,Content,Layer,Extra
B0248D,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.983359276219549
B0248F,BlockReference,"*U19",AS-OWNER,0.9986495683087576
B02586,BlockReference,"GAS",AS-SYMBOL,4.999999999999995
B087CB,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999991
B087CC,DBText,"(Undeveloped)",T-TEXT,9.999999999999991
B087D3,DBText,"Government Road Allowance",L-ROAD-T,9.995603899999992
B087D4,DBText,"(Undeveloped)",T-TEXT,9.995603899999992
B087DE,MText,"L.S. 9",L-SECTION-LSD,9.995603899999992
B087E0,MText,"L.S. 10",L-SECTION-LSD,9.995603899999992
B087E2,MText,"L.S. 16",L-SECTION-LSD,9.995603899999992
B087E4,MText,"L.S. 15",L-SECTION-LSD,9.995603899999992
B087E6,BlockReference,"L-SECLBL",L-SECLBL,0.99956039
B087EC,DBText,"Theor. N.E.1/4 Sec. 21-80-12-W.5M.",C-SYMBOL,19.991207799999984
B08FA8,AlignedDimension,"Islander  A/R",C-AR-T,Compass 5 000
B110B4,MText,"Islander 10-21",C-WS-T,9.995603899999992
B11880,BlockReference,"GAS",AS-SYMBOL,4.997801949999996
B118AF,MText,"Islander 10-21",C-WS-T,9.995603899999992
B118EE,MText,"Rat Hole",T-TEXT,9.995603899999992
B118EF,MText,"W/H 10-21",C-WS-T,9.995603899999992
B18C58,AlignedDimension,"Islander  A/R",C-AR-T,Compass 5 000
B1F33D,MText,"Gravel Pad",T-TEXT,9.995603899999995
B1F33E,MText,"10m Low Grade Gravel Road",T-TEXT,9.995603899999995
B29D50,BlockReference,"*U18",DETAIL-T,0.99956039
B29D5E,MText,"DETAIL",DETAIL-T,19.991207799999998
