Handle,ObjType,Content,Layer,Extra
AF2E93,BlockReference,"L-SECLBL",L-SECLBL,0.9995485000000001
AF2E9B,MText,"L.S. 3",L-SECTION-LSD,9.995485000000013
AF2E9D,MText,"L.S. 4",L-SECTION-LSD,9.995485000000013
AF2E9F,MText,"L.S. 6",L-SECTION-LSD,9.995485000000013
AF2EA1,MText,"L.S. 5",L-SECTION-LSD,9.995485000000013
AF2EA3,MText,"L.S. 1",L-SECTION-LSD,9.995485000000013
AF2EA4,MText,"L.S. 2",L-SECTION-LSD,9.995485000000013
AF2EA6,MText,"L.S. 8",L-SECTION-LSD,9.995485000000013
AF2EA7,MText,"L.S. 7",L-SECTION-LSD,9.995485000000013
AF2EA9,MText,"Theor. S.E.1/4 Sec. 10 82-13-W.5M.",C-SYMBOL,19.990970000000026
AF2EAB,MText,"Theor. S.W.1/4 Sec. 10 82-13-W.5M.",C-SYMBOL,19.990970000000026
AF2EB9,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992776000000026
AF2EBB,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992776000000026
AF37B3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995485000000013
AF37B4,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995485000000013
AF3DEB,MText,"Buried Pipe",AS-PIPE-UG-T,9.995440000000011
AF3DF8,MText,"Permanent Shallow Open Water",WETLAND,9.995440000000013
AF3DFC,MText,"4m Seismic Line (Overgrown)",AS-SEISMIC,9.995440000000013
AF3E15,MText,"Semi-permanent  Graminoid Marsh",WETLAND-T,10.000000000000025
AF3E1D,MText,"6m Seismic Line (Overgrown)",AS-SEISMIC,9.995440000000013
AF3F20,AlignedDimension,"Islander  A/R  231805",C-AR-T,Compass 5 000
AF3F21,AlignedDimension,"Islander  A/R  231805",C-AR-T,Compass 5 000
AF3F22,AlignedDimension,"JX Energy  A/R LOC 090886",F-AR-T,Compass 5 000
AF3F23,AlignedDimension,"Blue Sky  P/L R/W  992 4671 PLA 941540",F-RW-T,Compass 5 000
AF3F24,AlignedDimension,"Apex  P/L R/W PLA 002602",F-RW-T,Compass 5 000
AF3F25,AlignedDimension,"Blue Sky  P/L R/W  992 4671 PLA 941540",F-RW-T,Compass 5 000
AF3F26,AlignedDimension,"Apex  P/L R/W PLA 002602",F-RW-T,Compass 5 000
AF3F27,AlignedDimension,"Apex  P/L R/W PLA 002602",F-RW-T,Compass 5 000
AF3F28,MText,"JX Energy 1-10 (Surface) MSL 091007",F-WS-T,9.995440000000011
AF3F2D,MText,"Dam",T-TEXT,9.995440000000013
AF3F30,MText,"Dam",T-TEXT,9.995440000000013
AF3F31,MText,"Dam",T-TEXT,9.995440000000013
AF3F33,MText,"Creek",T-WATER-T,9.995440000000013
AF3F36,MText,"Pond",T-WATER-T,9.995440000000013
AF3F37,MText,"Pond",T-WATER-T,9.995440000000013
AF3F38,MText,"Pond",T-WATER-T,9.995440000000013
AF3F39,MText,"Low Area (Coniferous Swamp)",T-LOW-AREA-T,9.995440000000011
AF3F3E,MText,"20cm Black Spruce, Tamarack",T-BUSH-T,9.995440000000013
AF3F3F,MText,"30cm Aspen, Pine",T-BUSH-T,9.995440000000013
AF3F47,MText,"40cm Aspen",T-BUSH-T,9.995440000000013
AF3F48,BlockReference,"GAS",F-WS-S,4.997720000000006
AF4209,BlockReference,"*U27",L-SECLBL,0.9995485000000001
AF4227,BlockReference,"*U28",L-SECLBL,0.9995485000000001
AF4690,MText,"Existing Borrow Pit",C-WS-T,9.995440000000011
