Handle,ObjType,Content,Layer,Extra
AF2E93,BlockReference,"L-SECLBL",L-SECLBL,0.9995485000000001
AF2EA3,MText,"L.S. 1",L-SECTION-LSD,9.995485000000032
AF2EA4,MText,"L.S. 2",L-SECTION-LSD,9.995485000000032
AF2EA6,MText,"L.S. 8",L-SECTION-LSD,9.995485000000032
AF2EA7,MText,"L.S. 7",L-SECTION-LSD,9.995485000000032
AF2EA9,MText,"Theor. S.E.1/4 Sec. 10 82-13-W.5M.",C-SYMBOL,19.990970000000065
AF2EB9,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992776000000065
AF37B3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995485000000032
AF3DEB,MText,"Buried Pipe",AS-PIPE-UG-T,9.99544000000003
AF3DF8,MText,"Permanent Shallow Open Water",WETLAND,9.995440000000032
AF3DFA,MText,"4m Seismic Line",AS-SEISMIC,9.995440000000032
AF3DFE,MText,"8m Seismic Line",AS-SEISMIC,9.995440000000032
AF3E15,MText,"Semi-permanent  Graminoid Marsh",WETLAND-T,10.000000000000057
AF3E1D,MText,"6m Seismic Line (Overgrown)",AS-SEISMIC,9.995440000000032
AF3F21,AlignedDimension,"Islander  A/R  231805",C-AR-T,Compass 5 000
AF3F22,AlignedDimension,"JX Energy  A/R LOC 090886",F-AR-T,Compass 5 000
AF3F23,AlignedDimension,"Blue Sky  P/L R/W  992 4671 PLA 941540",F-RW-T,Compass 5 000
AF3F26,AlignedDimension,"Apex  P/L R/W PLA 002602",F-RW-T,Compass 5 000
AF3F28,MText,"JX Energy 1-10 (Surface) MSL 091007",F-WS-T,9.99544000000003
AF3F2D,MText,"Dam",T-TEXT,9.995440000000032
AF3F30,MText,"Dam",T-TEXT,9.995440000000032
AF3F31,MText,"Dam",T-TEXT,9.995440000000032
AF3F33,MText,"Creek",T-WATER-T,9.995440000000032
AF3F36,MText,"Pond",T-WATER-T,9.995440000000032
AF3F37,MText,"Pond",T-WATER-T,9.995440000000032
AF3F38,MText,"Pond",T-WATER-T,9.995440000000032
AF3F39,MText,"Low Area (Coniferous Swamp)",T-LOW-AREA-T,9.99544000000003
AF3F3E,MText,"20cm Black Spruce, Tamarack",T-BUSH-T,9.995440000000032
AF3F3F,MText,"30cm Aspen, Pine",T-BUSH-T,9.995440000000032
AF3F40,MText,"20cm Spruce",T-BUSH-T,9.995440000000032
AF3F41,MText,"20cm Spruce",T-BUSH-T,9.995440000000032
AF3F42,MText,"20cm Black Spruce, Tamarack, Bog",T-BUSH-T,9.995440000000032
AF3F43,MText,"20cm Black Spruce, Tamarack, Bog",T-BUSH-T,9.995440000000032
AF3F45,MText,"20cm Pine",T-BUSH-T,9.995440000000032
AF3F46,MText,"20cm Pine",T-BUSH-T,9.995440000000032
AF3F47,MText,"40cm Aspen",T-BUSH-T,9.995440000000032
AF3F48,BlockReference,"GAS",F-WS-S,4.997720000000016
AF4227,BlockReference,"*U23",L-SECLBL,0.9995485000000001
AF72DF,MText,"SEE DETAIL",DETAIL-T,15.99277600000005
B12470,AlignedDimension,"Islander  A/R  231805",C-AR-T,Compass 5 000
B12471,MText,"Rip Rap",T-TEXT,9.995440000000032
B12473,MText,"Rip Rap",T-TEXT,9.995440000000032
B12475,MText,"8m High Grade Gravel Road",T-TEXT,9.995440000000032
B12477,MText,"Creek",T-WATER-T,9.995440000000032
B12479,MText,"Culvert",T-TEXT,9.995440000000032
B1247A,MText,"Culvert",T-TEXT,9.995440000000032
B1247B,MText,"Edge of Water",T-WATER-T,9.995440000000032
B1247D,MText,"Edge of Water",T-WATER-T,9.995440000000032
B13584,BlockReference,"*U17",DETAIL-T,0.9995485000000001
B13592,MText,"DRONE PHOTO DETAIL",DETAIL-T,19.99097000000002
B17A72,MText,"Semi-permanent  Graminoid Marsh",WETLAND-T,10.000000000000057
B18D02,MText,"Culvert (2)",T-TEXT,9.995440000000032
B19916,MText,"Creek",T-WATER-T,9.995440000000032
B1A907,AlignedDimension,"Islander  A/R  231805",C-AR-T,Compass 5 000
B1A908,MText,"Rip Rap",T-TEXT,9.995440000000032
B1A90A,MText,"Rip Rap",T-TEXT,9.995440000000032
B1A90C,MText,"8m High Grade Gravel Road",T-TEXT,9.995440000000032
B1A90E,MText,"Culvert",T-TEXT,9.995440000000032
B1A90F,MText,"Culvert",T-TEXT,9.995440000000032
B1A910,MText,"Creek",T-WATER-T,9.995440000000032
B1A912,MText,"Edge of Water",T-WATER-T,9.995440000000032
B1A914,MText,"Edge of Water",T-WATER-T,9.995440000000032
B1A916,MText,"Semi-permanent  Graminoid Marsh",WETLAND-T,10.000000000000057
B1A91D,MText,"Creek",T-WATER-T,9.995440000000032
B1A93C,BlockReference,"*U17",DETAIL-T,0.9995485000000001
B1A94A,MText,"DETAIL",DETAIL-T,19.99097000000002
B1FCED,BlockReference,"Disclaimer_Legal",0,0.5
