Handle,ObjType,Content,Layer,Extra
AF2704,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99553970000002
AF355F,MText,"Rge. 13",D-TXT,13.993616000000022
AF3560,MText,"Rge. 12",D-TXT,13.993616000000022
AFD82D,BlockReference,"L-SECLBL",L-SECLBL,0.99955397
AFDFBB,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99286352
AFDFBD,MText,"Theor. S.E.1/4 Sec. 12 82-13-W.5M.",C-SYMBOL,19.99107940000002
AFDFBF,MText,"L.S. 1",L-SECTION-LSD,9.99553970000001
AFDFC0,MText,"L.S. 2",L-SECTION-LSD,9.99553970000001
AFDFC2,MText,"L.S. 8",L-SECTION-LSD,9.99553970000001
AFDFC3,MText,"L.S. 7",L-SECTION-LSD,9.99553970000001
AFE80B,BlockReference,"*U18",L-SECLBL,0.99955397
AFE831,AlignedDimension,"Islander  A/R  880110",C-AR-T,Compass 5 000
AFEF05,MText,"Aspen & Spruce",T-BUSH-T,9.995539700000007
B0035B,MText,"Existing Borrow Pit",C-WS-T,9.995440000000022
B007F4,MText,"Top of Slope",T-TEXT,9.995440000000022
B007F6,MText,"Bottom of Slope",T-TEXT,9.995440000000022
B00F0F,MText,"8m High Grade Gravel Road",T-TEXT,9.995440000000022
B015B4,MText,"E-W 1/4 Line",L-QSEC,9.995539700000004
B015B7,MText,"Existing Borrow Pit",C-WS-T,9.995440000000022
B015B9,AlignedDimension,"Islander  A/R  880110",C-AR-T,Compass 5 000
B01759,MText,"Top of Slope",T-TEXT,9.995440000000022
B0175B,MText,"Bottom of Slope",T-TEXT,9.995440000000022
B0175F,MText,"8m High Grade Gravel Road",T-TEXT,9.995440000000022
B01762,MText,"E-W 1/4 Line",L-QSEC,9.995539700000004
B01765,MText,"Existing Borrow Pit",C-WS-T,9.995440000000022
B0177D,BlockReference,"*U16",DETAIL-T,0.99955397
B0178B,MText,"DETAIL",DETAIL-T,19.99107940000002
B0178D,BlockReference,"*U16",DETAIL-T,0.99955397
B0179B,MText,"DRONE PHOTO DETAIL",DETAIL-T,19.99107940000002
B0179D,MText,"SEE DETAIL",DETAIL-T,15.99286352
B032DD,MText,"Side of Slope",T-TEXT,9.995440000000022
B032E0,MText,"Side of Slope",T-TEXT,9.995440000000022
B04737,AlignedDimension,"Islander  A/R  880110",C-AR-T,Compass 5 000
B068DD,MText,"Aspen & Spruce",T-BUSH-T,9.995539700000007
B068F9,MText,"Graminoid Marsh",WETLAND-T,9.995539700000002
B068FB,MText,"Shallow Open Water (Permanent)",WETLAND-T,9.995539700000002
B0AD75,MText,"Vertical Exaggeration: 2.5 (=1:100/1:40)",C-ROAD-PROF-TITL,0.8995985730000001
B0ADC9,MText,"Vertical Exaggeration: 2.5 (=1:100/1:40)",C-ROAD-PROF-TITL,0.8995985730000001
B0AE1C,BlockReference,"M-MATCH",M-DETAILS,0.49977698499999945
B0AE21,BlockReference,"M-MATCH",M-DETAILS,0.4997769850000001
B0AE28,BlockReference,"M-FEATURE",M-DETAILS,0.499776985
B0AE2B,BlockReference,"M-FEATURE",M-DETAILS,0.499776985
B0AE2E,BlockReference,"M-FEATURE",M-DETAILS,0.499776985
B0AE31,BlockReference,"M-FEATURE",M-DETAILS,0.499776985
B0AE36,MText,"0+000",C-ROAD-PROF-TEXT,0.799643176
B0AE37,MText,"0+010",C-ROAD-PROF-TEXT,0.799643176
B0AE38,MText,"0+020",C-ROAD-PROF-TEXT,0.799643176
B0AE3A,MText,"0+030",C-ROAD-PROF-TEXT,0.799643176
B0AE3C,MText,"0+040",C-ROAD-PROF-TEXT,0.799643176
B0AE3F,MText,"0+050",C-ROAD-PROF-TEXT,0.799643176
B0AE42,MText,"0+060",C-ROAD-PROF-TEXT,0.799643176
B0AE45,MText,"0+070",C-ROAD-PROF-TEXT,0.799643176
B0AE48,MText,"0+080",C-ROAD-PROF-TEXT,0.799643176
B0AE4B,MText,"0+090",C-ROAD-PROF-TEXT,0.799643176
B0AE4E,MText,"0+100",C-ROAD-PROF-TEXT,0.799643176
B0AE51,MText,"0+110",C-ROAD-PROF-TEXT,0.799643176
B0AE54,MText,"0+120",C-ROAD-PROF-TEXT,0.799643176
B0AE56,MText,"0+130",C-ROAD-PROF-TEXT,0.799643176
B0AE58,MText,"0+140",C-ROAD-PROF-TEXT,0.799643176
B0AE59,MText,"0+149.28",C-ROAD-PROF-TEXT,0.799643176
B0AE5A,MText,"0+000",C-ROAD-PROF-TEXT,0.799643176
B0AE5B,MText,"0+010",C-ROAD-PROF-TEXT,0.799643176
B0AE5C,MText,"0+020",C-ROAD-PROF-TEXT,0.799643176
B0AE5E,MText,"0+030",C-ROAD-PROF-TEXT,0.799643176
B0AE60,MText,"0+040",C-ROAD-PROF-TEXT,0.799643176
B0AE63,MText,"0+050",C-ROAD-PROF-TEXT,0.799643176
B0AE66,MText,"0+060",C-ROAD-PROF-TEXT,0.799643176
B0AE69,MText,"0+070",C-ROAD-PROF-TEXT,0.799643176
B0AE6C,MText,"0+080",C-ROAD-PROF-TEXT,0.799643176
B0AE6F,MText,"0+090",C-ROAD-PROF-TEXT,0.799643176
B0AE72,MText,"0+100",C-ROAD-PROF-TEXT,0.799643176
B0AE75,MText,"0+110",C-ROAD-PROF-TEXT,0.799643176
B0AE77,MText,"0+120",C-ROAD-PROF-TEXT,0.799643176
B0AE79,MText,"0+128.72",C-ROAD-PROF-TEXT,0.799643176
B0AE7B,MLeader,"UAV Surface",M-DETAILS,
B0AE7D,MLeader,"UAV Surface",M-DETAILS,
B0AECF,BlockReference,"M-MATCH-DIR",M-DETAILS,2.5
B0AED0,BlockReference,"M-MATCH",M-DETAILS,2.5
B0AED5,BlockReference,"M-MATCH-DIR",M-DETAILS,2.5
B0AED6,BlockReference,"M-MATCH",M-DETAILS,2.5
B0F29F,BlockReference,"Disclaimer_Legal",0,0.5
