Handle,ObjType,Content,Layer,Extra
AF1ED6,BlockReference,"L-SECLBL",L-SECLBL,0.99955715
AF206A,DBText,"Theor. S.W.1/4 Sec. 5-82-12-W.5M.",C-SYMBOL,20
AF20B9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
AF2BE7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,10
AF2BE8,AlignedDimension,"Islander  A/R  860047",C-AR-T,Compass 5 000
AF2D9F,AlignedDimension,"Islander  A/R  830187",C-AR-T,Compass 5 000
AF2DD2,MText,"Islander 5-5 (Surface) MSL 053739",C-WS-T,9.9955715
AF2DFC,BlockReference,"GAS",C-WS-S,4.99778575
AF2E05,AlignedDimension,"Islander  A/R  053739",C-WS-S,Compass 5 000
AF69F6,MText,"35cm Poplar & Spruce",T-BUSH-T,9.995575799999994
AF816C,MText,"7m High Grade Gravel Road",T-TEXT,9.991149259256964
AF880B,MText,"Twp. 81",D-TXT,13.993800099999996
AF880C,MText,"Twp. 82",D-TXT,13.993800099999996
AF8816,BlockReference,"*U22",0,0.99955715
AF89D6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.9929144
AF8B7F,MText,"L.S. 3",L-SECTION-LSD,9.9955715
AF8B81,MText,"L.S. 4",L-SECTION-LSD,9.9955715
AF8B83,MText,"L.S. 6",L-SECTION-LSD,9.9955715
AF8B85,MText,"L.S. 5",L-SECTION-LSD,9.9955715
AF9096,MText,"Exsting Borrow Pit",C-WS-T,9.9955715
AF997C,MText,"Alexander I.R. Reserve No. 134A Boundary",AS-IR BOUNDARY-T,9.995571499999725
AF9B40,MText,"SEE DETAIL",DETAIL-T,15.9929144
AFAA89,AlignedDimension,"Islander  A/R  860047",C-AR-T,Compass 5 000
AFAA98,MText,"7m High Grade Gravel Road",T-TEXT,9.9955715
AFAA9A,MText,"Side of Slope",T-TEXT,9.9955715
AFAA9C,MText,"Top of Slope",T-TEXT,9.9955715
AFAA9E,MText,"Top of Slope",T-TEXT,9.9955715
AFAAA0,MText,"Top of Slope",T-TEXT,9.9955715
AFAAA3,MText,"Top of Slope",T-TEXT,9.9955715
AFAAA5,MText,"Side of Slope",T-TEXT,9.9955715
AFAAB1,MText,"Exsting Borrow Pit",C-WS-T,9.9955715
AFAAB2,BlockReference,"*U17",DETAIL-T,0.99955715
AFAAC0,MText,"DETAIL",DETAIL-T,19.991143
AFE178,MText,"Top of Slope",T-TEXT,9.9955715
B0280A,AlignedDimension,"Islander  A/R  033025",C-AR-T,Compass 5 000
B02A3D,AlignedDimension,"Islander  A/R  132 1670  062062",C-AR-T,Compass 5 000
B2583E,MText,"Vertical Exaggeration: 2.5 (=1:100/1:40)",C-ROAD-PROF-TITL,8.996014350000001
B25896,MText,"Vertical Exaggeration: 2.5 (=1:100/1:40)",C-ROAD-PROF-TITL,8.996014350000001
B258EB,BlockReference,"M-MATCH",M-DETAILS,4.997785749999993
