Handle,ObjType,Content,Layer,Extra
AF5DBE,BlockReference,"L-SECLBL",L-SECLBL,0.99975956
AF5DE1,BlockReference,"HRV",CG-NOTES,0.99975956
AF5E1A,BlockReference,"*U32",C-SYMBOL,0.99975956
AF5E29,DBText,"S.E.1/4 Sec. 4-70-9-W.6M.",C-SYMBOL,19.9951912
AF5FBC,MText,"L.S. 1",L-SECTION-LSD,9.9975956
AF5FBD,MText,"L.S. 2",L-SECTION-LSD,9.9975956
AF5FBF,MText,"L.S. 8",L-SECTION-LSD,9.9975956
AF5FC0,MText,"L.S. 7",L-SECTION-LSD,9.9975956
AF5FD6,DBText,"Government Road Allowance",L-ROAD-T,9.9975956
AF5FD7,DBText,"(Undeveloped)",T-TEXT,9.9975956
AF5FE5,MText,"Twp. 69",D-TXT,13.996633839999989
AF5FE6,MText,"Twp. 70",D-TXT,13.996633839999989
AF617B,DBText,"Government Road Allowance",L-ROAD-T,9.9975956
AF617C,DBText,"(Undeveloped)",T-TEXT,9.9975956
AF6A82,AlignedDimension,"Sinopec  A/R  051830",C-AR-T,Compass 5 000
AF6ADC,AlignedDimension,"Sinopec  A/R  091213",C-AR-T,Compass 5 000
AF6B1E,MText,"Sinopec 1-4 (Surface) MSL 052793",C-WS-T,9.99759559999999
AF6B20,MText,"Sinopec 1-4 (Surface) MSL 091469",C-WS-T,9.99759559999999
AF6B4B,AlignedDimension,"Sinopec  P/L R/W  180267",C-RW-T,Compass 5 000
AFACCC,MText,"Wapiti River",T-WATER-T,9.99759559999999
AFACD2,MText,"Redwillow River",T-WATER-T,9.99759559999999
AFB58C,MText,"M.D. of Greenview No. 16",L-33,11.997114719999999
AFB591,MText,"County of Grande Prairie No. 1",L-33,11.997114719999999
B052E9,BlockReference,"FDI",L-MON,4.9987978
B052EE,BlockReference,"fdspike",L-MON,4.9987978
B052F3,BlockReference,"fdspike",L-MON,4.9987978
B052F8,BlockReference,"fdspike",L-MON,4.9987978
B052FD,BlockReference,"fdspike",L-MON,4.9987978
B0530E,BlockReference,"GAS",C-WS-S,5
B05313,BlockReference,"GAS",C-WS-S,5
B05594,BlockReference,"FLARE",AS-SYMBOL,4.9987978
B05CAA,MText,"W/H 102/10-34 (HZ)",C-WS-T,9.99759559999999
B05CB0,MText,"W/H 16-27 (HZ)",C-WS-T,9.99759559999999
B063C4,MText,"Anchors",T-SLOPE,9.997595600000006
B071D6,BlockReference,"FLARE",AS-SYMBOL,4.9987978
B071D7,BlockReference,"GAS",C-WS-S,4.9987978
B071D8,BlockReference,"GAS",C-WS-S,4.9987978
B071D9,BlockReference,"FDI",L-MON,4.9987978
B071DA,BlockReference,"fdspike",L-MON,4.9987978
B071DD,BlockReference,"fdspike",L-MON,4.9987978
B07EF7,AlignedDimension,"Sinopec  A/R  091213",C-AR-T,Compass 5 000
B07F1E,AlignedDimension,"Sinopec  P/L R/W  180267",C-RW-T,Compass 5 000
B07F56,MText,"Flare (21.0m Tall)",T-TEXT,9.99759559999999
B093FB,MText,"Top of Slope",T-TEXT,9.99759559999999
B093FC,MText,"Fd.I Mp.",L-MON-T,9.99759559999999
B094E1,MText,"30m Radius",P-BUFFER-PURPLE-T,9.99759559999999
B094E4,MText,"Gravel Pad",T-TEXT,9.99759559999999
B09BF5,BlockReference,"*U36",DETAIL-T,0.99975956
B09C03,MText,"DETAIL",DETAIL-T,19.9951912
B0D665,DBText,"226°43'10''",L-BD1,9.9975956
B0D66D,DBText,"46°43'10''",L-BD1,9.9975956
B0D678,DBText,"136°44'15''",L-BD1,9.9975956
B0D760,DBText,"15''",L-BD1,9.9975956
B0D781,DBText,"44'",L-BD1,9.9975956
B0DD5D,DBText,"RP",35,9.9975956
B0DE38,MText,"25.00 316°",L-BD1,9.9975956
B0E31E,DBText,"226°43'10''",L-BD1,9.9975956
B0E320,DBText,"46°43'10''",L-BD1,9.9975956
B0E805,MText,"Sinopec 1-4 (Surface) MSL 091469",C-WS-T,9.99759559999999
B13E67,BlockReference,"*U40",AS-WILDLIFE-BLOCK,0.99975956
B16A40,BlockReference,"*U42",AS-POWER-EXISTING-ANC,4.9987978
B16A58,BlockReference,"*U43",AS-POWER-EXISTING-ANC,4.9987978
B18375,DBText,"RP",35,9.9975956
B197A6,BlockReference,"Disclaimer_Legal",0,0.3
