Handle,ObjType,Content,Layer,Extra
BD1B84,BlockReference,"L-SECLBL",L-SECLBL,0.99960113
BD1B9A,BlockReference,"FDI",L-MON,4.998005649999986
BD1B9F,BlockReference,"FDI",L-MON,4.998005649999986
BD1BA8,BlockReference,"GAS",C-WS-S,4.998005649999986
BD1BC1,BlockReference,"fdspike",L-MON,4.998005649999986
BD1BCE,BlockReference,"fdspike",L-MON,4.998005649999986
BD1C13,BlockReference,"fdspike",L-MON,4.998005649999986
BD1CCC,BlockReference,"RISER",AS-SYMBOL,4.998005649999986
BD1FF4,BlockReference,"plspike",L-MON,4.998005649999986
BD2009,BlockReference,"plspike",L-MON,4.998005649999986
BD200E,BlockReference,"plspike",L-MON,4.998005649999986
BD2013,BlockReference,"plspike",L-MON,4.998005649999986
BD2018,BlockReference,"plspike",L-MON,4.998005649999986
BD201D,BlockReference,"plspike",L-MON,4.998005649999986
BD2022,BlockReference,"plspike",L-MON,4.998005649999986
BD2148,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998005649999986
BD214D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998005649999986
BD2152,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998005649999986
BD60E3,MText,"InPlay 16-33 (Surface) MSL 1717 (To Be Amended)",C-AR-T,9.99601129999992
BD60EC,MText,"L.S. 9",L-SECTION-LSD,9.996011299999951
BD60EE,MText,"L.S. 10",L-SECTION-LSD,9.996011299999951
BD60F0,MText,"L.S. 16",L-SECTION-LSD,9.996011299999951
BD60F2,MText,"L.S. 15",L-SECTION-LSD,9.996011299999951
BD6980,AlignedDimension,"InPlay  Flow Line R/W  2568",C-FLOWLINE-T,Compass 5 000
BD69AA,AlignedDimension,"Keyera  P/L R/W  1205 RS  3298",F-RW-T,Compass 5 000
BD71F9,AlignedDimension,"Baytex  P/L R/W  043805",F-RW-T,Compass 5 000
BD722A,AlignedDimension,"Pembina  P/L R/W  2857 KS  3446",F-RW-T,Compass 5 000
BD7ACB,AlignedDimension,"Fortis  Vegetation Control R/W  880083",F-EZE-T,Compass 5 000
BD7B49,BlockReference,"*U47",AS-OWNER,1.0000041316650568
BD7B73,AlignedDimension,"Gran Tierra  A/R  002253",F-AR-T,Compass 5 000
BDCFA6,DBText,"Government Road Allowance",L-ROAD-T,9.996011299999962
BDCFA7,DBText,"(Undeveloped)",T-TEXT,9.996011299999962
BDD009,BlockReference,"FDI",L-MON,4.998005649999986
BDD00A,BlockReference,"GAS",C-WS-S,4.998005649999972
BDD00B,BlockReference,"fdspike",L-MON,4.998005649999986
BDD00C,BlockReference,"fdspike",L-MON,4.998005649999986
BDD00D,BlockReference,"fdspike",L-MON,4.998005649999986
BDD00E,BlockReference,"RISER",AS-SYMBOL,4.998005649999972
BDD013,BlockReference,"plspike",L-MON,4.998005649999986
BDD014,BlockReference,"plspike",L-MON,4.998005649999986
BDD015,BlockReference,"plspike",L-MON,4.998005649999986
BDD016,BlockReference,"plspike",L-MON,4.998005649999986
BDD017,BlockReference,"plspike",L-MON,4.998005649999986
BDD018,BlockReference,"plspike",L-MON,4.998005649999986
BDD019,BlockReference,"plspike",L-MON,4.998005649999986
BDD01B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998005649999986
BDD01C,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998005649999986
BDD01D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998005649999986
BDEF0A,AlignedDimension,"20.12 A/R",P-TXT,Compass 5 000
BDEF35,DBText,"10''",L-BD,9.996011299999962
BDEF37,DBText,"268°",L-BD,9.996011299999962
BDF790,DBText,"126°39'30''",L-BD,9.996011299999962
BDFFBD,DBText,"149°29'55''",L-BD,9.996011299999962
BDFFBF,DBText,"131°46'45''",L-BD,9.996011299999962
BDFFC3,DBText,"113°38'50''",L-BD,9.996011299999962
BDFFC5,DBText,"120°29'05''",L-BD,9.996011299999962
BDFFC7,DBText,"10''",L-BD,9.996011299999962
BE07F7,DBText,"44'",L-BD,9.996011299999962
BE07F9,MText,"268°",L-BD,9.996011299999962
BE0804,DBText,"7m Medium Grade Grave Road",T-TEXT,9.99601129999994
BE0805,DBText,"Government Road Allowance",L-ROAD-T,9.99601129999994
BE1954,MText,"DETAIL SCALE 1:2000",DETAIL-T,19.986246904670736
BE19D8,DBText,"88°44'10''",L-BD,9.996011299999962
BE19E5,DBText,"178°44'10''",L-BD,9.996011299999962
BE2225,DBText,"10''",L-BD,9.996011299999962
BE43C1,MText,"Top of Slope",T-TEXT,9.99601129999994
BE43C2,MText,"Ephemeral Draw",T-WATER-T,9.995588899999882
BE4BF9,MText,"Ephemeral Draw",T-WATER-T,9.99558889999988
BE4BFA,MText,"Top of Slope",T-TEXT,9.99601129999994
BE5DD4,DBText,"Government Road Allowance",L-ROAD-T,9.996011299999962
BE5DD5,DBText,"(Undeveloped)",T-TEXT,9.996011299999962
BE6650,DBText,"Low Area",T-TEXT,9.996011299999962
BE6651,MText,"Creek",T-WATER-T,9.995588899999882
BE6656,MText,"Pumpjack",T-TEXT,9.994604961170081
BE910B,BlockReference,"FDI",L-MON,4.998005649999986
BE981B,DBText,"358°41'50''",L-BD,9.996011299999967
BE9E2F,DBText,"358°41'50''",L-BD,9.996011299999967
BEBFD2,MText,"Creek",T-WATER-T,9.995588899999897
BEBFD5,BlockReference,"tdraw",T-DRAW,1
BEBFD6,MText,"Ephemeral Draw",T-WATER-T,9.995588899999893
BEBFD8,MText,"Top of Slope",T-TEXT,9.996011299999951
BEBFD9,MText,"Top of Slope",T-TEXT,9.99601129999995
BEC63D,MText,"Creek",T-WATER-T,9.995588899999897
BEC645,MText,"Top of Slope",T-TEXT,9.996011299999951
BEC646,MText,"Top of Slope",T-TEXT,9.996011299999951
BEC647,BlockReference,"tdraw",T-DRAW,1
BEC648,MText,"Ephemeral Draw",T-WATER-T,9.995588899999891
BEC64A,MText,"Ephemeral Draw",T-WATER-T,9.995588899999893
BECCF1,MText,"Fd.I. c.s. N.1/4 33",L-MON-T,9.990243833881154
BECCFE,BlockReference,"*U53",0,0.99960113
BECD40,BlockReference,"*U54",0,0.99960113
BECD61,BlockReference,"*U52",DETAIL-T,0.99960113
BECD73,MText,"Fd.I. Pit M. N.E. 33",L-MON-T,9.990243833881154
BED41B,MText,"Fd.P. Mp. Pit. E.1/4 33",L-MON-T,9.990243833881154
BED41D,BlockReference,"*U52",DETAIL-T,0.99960113
BEE294,AlignedDimension,"Pembina  P/L R/W  2857 KS  3446",F-RW-T,Compass 5 000
BEE2DD,AlignedDimension,"20.12 A/R",P-TXT,Compass 5 000
BEE33F,AlignedDimension,"InPlay  Flow Line R/W  2568",C-FLOWLINE-T,Compass 5 000
BEE9E3,AlignedDimension,"Fortis  Vegetation Control R/W  880083",F-EZE-T,Compass 5 000
BEEA0A,MText,"Fortis 3-Wire O/H Power Line",AS-POWER,9.992632439116083
BEEA0C,MText,"Fortis 3-Wire O/H Power Line",AS-POWER,9.992632439116083
BEEA11,MText,"Twp. 48",D-TXT,13.9944158199999
BEEA12,MText,"Twp. 47",D-TXT,13.9944158199999
BEEA13,MText,"Twp. 48",D-TXT,13.9944158199999
BEEA14,MText,"Twp. 47",D-TXT,13.9944158199999
BEEA15,DBText,"44'",L-BD,9.996011299999962
BEEA2D,DBText,"7m Medium Grade Grave Road",T-TEXT,9.99601129999994
BEEA2E,DBText,"Government Road Allowance",L-ROAD-T,9.99601129999994
BEF1E6,MText,"5cm Re-growth Pine & Poplar Old Burn Area",T-BUSH-T,9.99601129999994
BEF1E7,MText,"5cm Re-growth Pine & Poplar Old Burn Area",T-BUSH-T,9.99601129999994
BEF1E8,MText,"5cm Re-growth Pine & Poplar Old Burn Area",T-BUSH-T,9.99601129999994
BEF1E9,MText,"5cm Re-growth Pine & Poplar Old Burn Area",T-BUSH-T,9.99601129999994
BEF1EA,MText,"5cm Re-growth Pine & Poplar Old Burn Area",T-BUSH-T,9.99601129999994
BEF84A,MText,"5m Low Grade Gravel Road",T-TEXT,9.99601129999994
BEF857,DBText,"N.E.1/4 Sec. 33-47-10-W.5M.",C-SYMBOL,19.992022599999956
BEF858,DBText,"Pad Site = 1.486 ha  3.67 Ac.",L-AREAREQUIRED,10.995612429999978
BF6AC7,MText,"Buried Cable",AS-CABLE,9.99601129999994
BF6AC9,MText,"Electrical Panel",AS-CABLE,9.99601129999994
BF6ACC,MText,"Fd. No. Mk. Re-est. Position by MSL 1717",L-MON-T,9.990243833881154
BF71A7,DBText,"Access Road = 0.500 ha  1.24 Ac.",L-AREAREQUIRED,10.995612429999978
C01D87,AlignedDimension,"Gran Tierra  A/R  002253",F-AR-T,Compass 5 000
C094C7,BlockReference,"xing2",P-CROSSINGS,0.99960113
C094CE,BlockReference,"xing2",P-CROSSINGS,0.99960113
C20358,DBText,"268°44'10''",L-BD,9.9960113
C209BD,MText,"InPlay 16-33 (Surface) MSL 1717 (To Be Amended)",C-AR-T,9.99601129999992
C209BF,DBText,"44'",L-BD,9.996011299999962
C209C1,DBText,"358°",L-BD,9.996011299999962
C209C2,DBText,"W/H",C-WS-T,9.99601129999993
C209C6,MText,"164°12'05''  560.92 (Tie)",L-BD,9.996011299999967
C236C0,AlignedDimension,"Pembina  P/L R/W  3488",F-RW-T,Compass 5 000
C236F0,MText,"164°12'05''  560.92 (Tie)",L-BD,9.996011299999967
C24AF4,MText,"Buried Pipe",AS-PIPE-UG,9.99601129999994
C2640A,AlignedDimension,"InPlay  A/R  1717  Be Amended)",C-AR-T,Compass 5 000
C2644C,AlignedDimension,"InPlay  A/R  1717  Be Amended)",C-AR-T,Compass 5 000
C289DE,MText,"Ephemeral Draw",T-WATER-T,9.99558889999988
C2BE1E,BlockReference,"Disclaimer_Legal",C-AR,0.2
