Handle,ObjType,Content,Layer,Extra
AF3434,BlockReference,"L-SECLBL",L-SECLBL,0.9998699999999974
AF3449,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.99791999999992
AF344B,MText,"L.S. 9",L-SECTION-LSD,9.998699999999944
AF344D,MText,"L.S. 10",L-SECTION-LSD,9.998699999999944
AF344F,MText,"L.S. 16",L-SECTION-LSD,9.998699999999944
AF3451,MText,"L.S. 15",L-SECTION-LSD,9.998699999999944
AF3D00,MText,"Theoretic Government Road Allowance (Correction Line)",L-ROAD-T,9.998540000000093
AF4EFB,AlignedDimension,"Nova  P/L R/W  1336 RS  3342",F-RW,Compass 5 000
AF4F35,AlignedDimension,"Nova  P/L R/W  952 1683  941264",F-RW,Compass 5 000
AF4F81,AlignedDimension,"Sequoia  A/R  1336 RS  3199",F-AR-T,Compass 5 000
AF5152,AlignedDimension,"Spur  A/R  180798",F-AR-T,Compass 5 000
AF5BC3,AlignedDimension,"Kingston  A/R  190582",F-AR-T,Compass 5 000
AF5C45,AlignedDimension,"Tamarack  A/R  200256",C-AR-T,Compass 5 000
AF5C71,MText,"Tamarack 16-33 (Surface) MSL 190325",C-WS-T,9.998699999999948
AF5CA3,AlignedDimension,"Kingston  P/L R/W  190498",F-RW-T,Compass 5 000
AF5E62,AlignedDimension,"Tamarack  P/L R/W  200182",C-RW-T,Compass 5 000
AF5EB7,AlignedDimension,"Spur  P/L R/W  210068",F-RW-T,Compass 5 000
AF6226,MText,"Spur 4-2 (Surface) MSL 180728",F-WS-T,9.998699999999948
AF62B3,BlockReference,"*U26",AS-OWNER,1
AF9CC4,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.998699999999946
AFB825,BlockReference,"GAS",C-WS-S,4.999373249999984
AFB826,BlockReference,"GAS",C-WS-S,4.999373249999984
AFB827,BlockReference,"GAS",C-WS-S,4.999373249999984
AFB828,BlockReference,"GAS",C-WS-S,4.999373249999984
AFC3A6,MText,"Top of Bank",AS-GENERAL,9.998739999999973
AFC3B3,MText,"30cm Poplar, Spruce & Pine",T-BUSH-T,9.998830000000096
AFC64F,MText,"20-30cm  Poplar  & Spruce",T-BUSH-T,9.998830000000021
AFFF9D,MText,"Fawcett River",T-WATER-T,10.000000000000037
B02BF5,BlockReference,"FLARE",AS-SYMBOL,4.997883386777744
B03716,MText,"Twp. 74",D-TXT,13.998245099999982
B03717,MText,"Twp. 75",D-TXT,13.998245099999982
B04174,BlockReference,"GAS",C-WS-S,4.999373249999991
B04175,BlockReference,"GAS",C-WS-S,4.999373249999991
B04176,BlockReference,"GAS",C-WS-S,4.999373249999991
B04177,BlockReference,"GAS",C-WS-S,4.999373249999991
B0474F,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04750,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04751,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04752,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04753,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04754,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04755,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04756,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04757,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04758,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B04759,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B0475A,BlockReference,"riser",AS-SYMBOL,4.999373249999991
B0475B,BlockReference,"PIG",AS-SYMBOL,4.999373249999991
