Handle,ObjType,Content,Layer,Extra
AFCC34,MText,"Veren 6-3(Surface) MSL 930256",C-WS-T,9.995595999999951
AFCC4E,AlignedDimension,"Veren  P/L R/W  151381",C-RW-T,Compass 5 000
AFF6B0,MText,"Twp. 64",D-TXT,13.999999999999956
AFF6B1,MText,"Twp. 65",D-TXT,13.999999999999956
AFF6C2,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999956
AFF6D4,DBText,"(Undeveloped)",T-TEXT,9.999999999999956
B01816,MText,"L.S. 3",L-SECTION-LSD,9.995595999999956
B01818,MText,"L.S. 4",L-SECTION-LSD,9.995595999999956
B0181A,MText,"L.S. 6",L-SECTION-LSD,9.995595999999956
B0181C,MText,"L.S. 5",L-SECTION-LSD,9.995595999999956
B01824,MText,"L.S. 11",L-SECTION-LSD,9.995595999999956
B01826,MText,"L.S. 12",L-SECTION-LSD,9.995595999999956
B01828,MText,"L.S. 14",L-SECTION-LSD,9.995595999999956
B01829,MText,"L.S. 13",L-SECTION-LSD,9.995595999999956
B0185E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992953599999915
B01891,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992953599999915
B020DE,DBText,"17th BASELINE",L-ROAD-T,9.999999999999956
B03DEE,AlignedDimension,"CNRL  A/R  042223",F-AR-T,Compass 5 000
B03E16,AlignedDimension,"CNRL  P/L R/W  082 1312  043242",F-RW-T,Compass 5 000
B03E3E,AlignedDimension,"CNRL  A/R  003036",F-AR-T,Compass 5 000
B03E66,AlignedDimension,"CNRL  A/R  040719",F-AR-T,Compass 5 000
B05F98,MText,"SEE DRONE PHOTO DETAIL",L-DETAIL-T,15.992953599999918
B0D294,MText,"15cm Birch 20cm Spruce & 30cm Scattered Poplar",T-BUSH-T,9.995595999999958
B369E4,BlockReference,"HRV_Box",CG-NOTES,0.9995596
B369EB,MText,"Theor. N.W.1/4 Sec. 3-65-3-W.6M.",C-SYMBOL,19.991191999999913
B369EC,MText,"Grizzly Bear Zone Boundary",AS-WILDLIFE,9.995595999999965
B369ED,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999956
B42964,MText,"Theor. S.W.1/4 Sec. 3-65-3-W.6M.",C-SYMBOL,19.991191999999913
B43469,MText,"Government Road Allowance",L-ROAD-T,9.999999999999956
B4D3BD,AlignedDimension,"Veren  A/R  241743",C-AR-T,Compass 5 000
B5CBE8,MText,"15cm Birch 20cm Spruce & 30cm Scattered Poplar",T-BUSH-T,9.995595999999958
B5CBEA,MText,"15cm Birch 20cm Spruce & 30cm Scattered Poplar",T-BUSH-T,9.995595999999958
B818B6,AlignedDimension,"PGI  P/L R/W  190496",F-RW-T,Compass 5 000
B81EC5,AlignedDimension,"Veren  P/L R/W  241089",C-RW-T,Compass 5 000
B81F70,BlockReference,"L-SECLBL",L-SECLBL,1
C3605F,MText,"Veren 2-35 (Surface) MSL 241301",C-WS-T,9.999999999999995
C36D15,AlignedDimension,"Veren  A/R  241738",C-AR-T,Compass 5 000
C58D77,MText,"Existing Borrow Pit",T-EXISTING TFA-T,9.995595999999997
C61DD6,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.5
