Handle,ObjType,Content,Layer,Extra
BD8003,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.922876956806158
BD8005,MText,"Theor. S.W.1/4  Sec. 22-62-20-W.5M.",C-SYMBOL,19.903596196007676
BD8006,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.951798098003849
BDA68E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA68F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA690,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA691,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA692,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA693,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA694,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA695,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA696,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA697,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA698,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999885
BDA6E4,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999956
BDA6ED,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999956
BDA6F2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999956
BDA6FF,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999956
BDB07B,MText,"Buried Cable",AS-CABLE,9.994646999999915
BDB080,MText,"Buried Pipe",AS-PIPE-UG-T,9.994646999999915
BDB083,MText,"N.-S. 1/4 Line",L-SECQ,9.994646999999915
BDB08B,BlockReference,"FLARE",AS-GENERAL,4.999999999999956
BDB09C,BlockReference,"FLARE",AS-GENERAL,4.997323499999958
BDB0C6,MText,"SEE DETAIL",DETAIL-T,15.991435199999861
BDB1B9,AlignedDimension,"Whitecap  A/R  231095",C-AR-T,Compass 5 000
BDB1BA,AlignedDimension,"Whitecap  A/R  232224",C-AR-T,Compass 5 000
BDB1BB,AlignedDimension,"Whitecap  P/L R/W  240167",C-RW-T,Compass 5 000
BDB1BF,MText,"Whitecap 6-22 (Surface) MSL 231776",C-WS-T,9.951798098003838
BDB1C1,MText,"Whitecap FC 662 6-22 (Surface) MSL 231737",C-WS-T,9.951798098003838
BDB1C3,MText,"Whitecap 6-22 (Surface) MSL 231776",C-WS-T,9.95179809800384
BDB1C5,MText,"Whitecap 2-15(HZ)",C-WS-T,9.95179809800384
BDB1C7,MText,"Whitecap 103/4-15(HZ)",C-WS-T,9.95179809800384
BDB1C9,MText,"Whitecap 1-15(HZ)",C-WS-T,9.95179809800384
BDB1CB,MText,"Whitecap 102/4-15(HZ)",C-WS-T,9.95179809800384
BDB1CD,MText,"Whitecap 102/1-15(HZ)",C-WS-T,9.95179809800384
