Handle,ObjType,Content,Layer,Extra
AF4E73,BlockReference,"L-SECLBL",L-SECLBL,0.99974479
AF4E86,DBText,"Government Road Allowance",L-ROAD-T,9.997447900000022
AF4E87,DBText,"(Undeveloped)",T-TEXT,9.997447900000022
AF4E8E,DBText,"Government Road Allowance",L-ROAD-T,9.997447900000022
AF4E8F,DBText,"(Undeveloped)",T-TEXT,9.997447900000022
AF725D,DBText,"S.W.1/4 Sec. 16-26-5-W.5M.",C-SYMBOL,19.994895800000037
AF725E,AlignedDimension,"Altalink  Power Line R/W  393 ER  1504",F-EZE-T,Compass 5 000
AF7B8F,AlignedDimension,"Fortis  Power Line R/W  950062",F-EZE-T,Compass 5 000
AF7BC9,AlignedDimension,"Fortis  Anchor  150307",F-EZE-T,Compass 5 000
AF7C32,MText,"Wildcat Recreational Campsites REC 940006 (expired)",F-EZE-T,9.997447900000019
AF7C33,AlignedDimension,"Telus  Cable R/W  791144",F-EZE-T,Compass 5 000
AF7C64,AlignedDimension,"Inter  P/L R/W  941255",F-EZE-T,Compass 5 000
AF7C83,AlignedDimension,"Inter  P/L R/W  940760",F-EZE-T,Compass 5 000
AFBC26,BlockReference,"*U23",AS-WILDLIFE-BLOCK,1
AFBC43,MText,"Key Wildlife and Biodiversity Zone Boundary",AS-WILDLIFE,10.000000000000016
AFBCE2,BlockReference,"*U24",AS-WILDLIFE-BLOCK,0.99974479
AFBD4F,BlockReference,"*U25",AS-WILDLIFE-BLOCK,0.99974479
AFC67F,BlockReference,"HRV",CG-NOTES,0.99974479
AFC683,BlockReference,"HRV",CG-NOTES,0.99974479
AFE196,AlignedDimension,"Canlin  P/L R/W  991 3351",C-RW-T,Compass 5 000
AFEB28,AlignedDimension,"Nova  P/L R/W  JK",F-RW-T,Compass 5 000
AFF47F,MText,"Persist Compressor Site Plan 051 3653",F-RW-T,9.997447900000015
AFFD83,MText,"Bow River",T-WATER-T,9.997447900000015
B016A1,AlignedDimension,"Canlin  P/L R/W  751 0523",C-RW,Compass 5 000
B01FF1,AlignedDimension,"Inter  P/L R/W  961 1999",F-RW-T,Compass 5 000
B02833,AlignedDimension,"Plains  P/L R/W  021 3417",F-RW-T,Compass 5 000
B05692,BlockReference,"*U32",AS-OWNER,0.99974479
B08079,AlignedDimension,"Plains  P/L R/W  1136 JK",F-RW-T,Compass 5 000
B1008B,MText,"Parcel A Plan 131 JK",L-TITLEDB,9.997447900000015
B10093,MText,"Parcel B Plan 131 JK",L-TITLEDB,9.997447900000015
B109AE,MText,"Fortis O/H Power Line",AS-POWER,9.997447900000015
B109AF,MText,"Buried Telus Cable",AS-TELUS,9.997447900000015
B11CD0,DBText,"N.W.1/4 Sec. 16-26-5-W.5M.",C-SYMBOL,19.994895800000023
B11CD1,BlockReference,"*U24",AS-WILDLIFE-BLOCK,0.99974479
B11CE0,BlockReference,"*U25",AS-WILDLIFE-BLOCK,0.99974479
B145EB,AlignedDimension,"Canlin  P/L R/W  001 2549",C-RW,Compass 5 000
B1461D,AlignedDimension,"Canlin  P/L R/W  901 0576",C-RW,Compass 5 000
