Handle,ObjType,Content,Layer,Extra
D858B0,BlockReference,"asbuilt",AS-SYMBOL,1.999080940010826
D858B1,BlockReference,"RISER",AS-SYMBOL,6.663603133369418
D858B2,BlockReference,"RISER",AS-SYMBOL,6.663603133369418
D858B3,BlockReference,"RISER",AS-SYMBOL,6.663603133369418
D858B4,BlockReference,"RISER",AS-SYMBOL,6.663603133369418
D858B5,BlockReference,"FLARE",AS-SYMBOL,6.663603133369418
D858B6,MText,"(2) Buried Pipes",AS-PIPE-UG-T,9.995404699999995
D858B7,MText,"(2) Buried Pipes",AS-PIPE-UG-T,9.995404699999995
D858B8,MText,"Drainage Ditch",AS-GENERAL,9.995404699999995
D858BA,MText,"Bottom of Slope",AS-GENERAL,9.995404699999995
D858BC,MText,"Edge of Berm",AS-GENERAL,9.995404699999995
D858BE,MText,"Culvert",T-TEXT,9.995404699999995
D858BF,MText,"Risers (Typ.)",T-TEXT,9.995404699999995
D858C0,MText,"50m Buffer",P-BUFFER-PURPLE-T,9.995404699999995
D858C2,MText,"Soil Pile",AS-GENERAL,9.995404699999995
D858C4,MText,"Flare Line",AS-PIPE-AG,9.995404699999995
D858C6,MText,"Knock Out Building",T-TEXT,9.995404699999995
D858C8,MText,"Flare Meter Building",T-TEXT,9.995404699999995
D858CA,MText,"Air Compressor Building",T-TEXT,9.995404699999995
D858CC,MText,"Steel Containment with (4) Tanks",T-TEXT,9.995404699999995
D858CE,MText,"A/G Pipe (Typ.)",AS-PIPE-AG,9.995404699999995
D858D0,MText,"(5) Tanks",T-TEXT,13.32720626673877
D858D2,MText,"Flare (Typ.)",T-TEXT,9.995404699999995
D858DB,MText,"Buildings",T-TEXT,9.995404699999995
D858E0,MText,"Building",T-TEXT,9.995404699999995
D858E4,MText,"Building",T-TEXT,9.995404699999995
D858E7,BlockReference,"GAS",C-WS-S,6.663603133369418
D858E8,BlockReference,"GAS",C-WS-S,6.663603133369418
D858E9,BlockReference,"GAS",C-WS-S,6.663603133369418
D858EA,BlockReference,"GAS",C-WS-S,6.663603133369418
D858EC,MText,"Generator Buildings",T-TEXT,9.995404699999995
D858F1,MText,"W/H 102/14-16 (HZ)",C-WS-T,9.995404699999995
D858F3,MText,"W/H 16-17 (HZ)",C-WS-T,9.995404699999995
D858F5,MText,"W/H 8-17 (HZ)",C-WS-T,9.995404699999995
D858F7,MText,"W/H 3-21 (HZ)",C-WS-T,9.995404699999995
D858F9,BlockReference,"GAS",C-WS-S,6.663603133369418
D858FA,MText,"W/H 9-17 (HZ)",C-WS-T,9.995404699999995
D858FC,MText,"Pipe Rack and Cable Tray",AS-PIPE-AG,9.995404699999995
D85A05,MText,"E.-W.1/4 Line",L-QSEC,9.995404699999995
D85A0B,BlockReference,"FLARE",AS-SYMBOL,6.663603133369418
D85A0C,BlockReference,"facilities",T-TIE,0.99954047
D85A0D,BlockReference,"FLARE",AS-SYMBOL,6.663603133369418
D85A0E,AlignedDimension,"Whitecap  P/L R/W  200666",F-RW-T,Compass 5 000
D85A0F,AlignedDimension,"PGI  P/L R/W  190334",F-RW-T,Compass 5 000
D85A10,AlignedDimension,"PGI  P/L R/W  240422",F-RW-T,Compass 5 000
D85A11,MText,"CNRL 6-10 (Surface) MSL 810887",F-WS-T,9.995404699999915
D85A13,MText,"Veren 5-10 (Surface) MSL 160988",C-WS-T,9.995404699999915
D85A15,AlignedDimension,"CNRL  A/R  781305",F-AR-T,Compass 5 000
D85A18,MText,"OPTION 'A' SITE PLAN DETAIL SCALE 1:1000",DETAIL-T,19.99080939999999
D85A1B,MText,"50m Buffer",P-BUFFER-PURPLE-T,9.995404699999995
D85A1D,MText,"30m Buffer",P-BUFFER-PURPLE-T,9.995404699999995
D85A21,AlignedDimension,"Veren  Water Line R/W  ______",C-WS-T,Compass 5 000
D85A22,AlignedDimension,"Veren  Water Line R/W  ______",C-WS-T,Compass 5 000
D85A24,MText,"Comp",T-TIE-T,9.995404699999995
D85AFA,BlockReference,"asbuilt",AS-SYMBOL,1.999080940010826
D85AFB,BlockReference,"RISER",AS-SYMBOL,6.663603133369418
D85AFC,BlockReference,"RISER",AS-SYMBOL,6.663603133369418
D85AFD,BlockReference,"RISER",AS-SYMBOL,6.663603133369418
D85AFE,BlockReference,"RISER",AS-SYMBOL,6.663603133369418
D85AFF,BlockReference,"FLARE",AS-SYMBOL,6.663603133369418
D85B00,MText,"(2) Buried Pipes",AS-PIPE-UG-T,9.995404699999995
D85B01,MText,"(2) Buried Pipes",AS-PIPE-UG-T,9.995404699999995
D85B02,MText,"Drainage Ditch",AS-GENERAL,9.995404699999995
D85B04,MText,"Bottom of Slope",AS-GENERAL,9.995404699999995
D85B06,MText,"Edge of Berm",AS-GENERAL,9.995404699999995
D85B08,MText,"Culvert",T-TEXT,9.995404699999995
D85B09,MText,"Risers (Typ.)",T-TEXT,9.995404699999995
D85B0A,MText,"50m Buffer",P-BUFFER-PURPLE-T,9.995404699999995
D85B0C,MText,"Soil Pile",AS-GENERAL,9.995404699999995
D85B0E,MText,"Flare Line",AS-PIPE-AG,9.995404699999995
D85B10,MText,"Knock Out Building",T-TEXT,9.995404699999995
D85B12,MText,"Flare Meter Building",T-TEXT,9.995404699999995
D85B14,MText,"Air Compressor Building",T-TEXT,9.995404699999995
D85B16,MText,"Steel Containment with (4) Tanks",T-TEXT,9.995404699999995
D85B18,MText,"A/G Pipe (Typ.)",AS-PIPE-AG,9.995404699999995
D85B1A,MText,"(5) Tanks",T-TEXT,13.32720626673877
D85B1C,MText,"Flare (Typ.)",T-TEXT,9.995404699999995
D85B25,MText,"Buildings",T-TEXT,9.995404699999995
D85B2A,MText,"Building",T-TEXT,9.995404699999995
D85B2E,MText,"Building",T-TEXT,9.995404699999995
D85B31,BlockReference,"GAS",C-WS-S,6.663603133369418
D85B32,BlockReference,"GAS",C-WS-S,6.663603133369418
D85B33,BlockReference,"GAS",C-WS-S,6.663603133369418
D85B34,BlockReference,"GAS",C-WS-S,6.663603133369418
D85B36,MText,"Generator Buildings",T-TEXT,9.995404699999995
D85B3B,MText,"W/H 102/14-16 (HZ)",C-WS-T,9.995404699999995
D85B3D,MText,"W/H 16-17 (HZ)",C-WS-T,9.995404699999995
D85B3F,MText,"W/H 8-17 (HZ)",C-WS-T,9.995404699999995
D85B41,MText,"W/H 3-21 (HZ)",C-WS-T,9.995404699999995
D85B43,BlockReference,"GAS",C-WS-S,6.663603133369418
D85B44,MText,"W/H 9-17 (HZ)",C-WS-T,9.995404699999995
D85B46,MText,"Pipe Rack and Cable Tray",AS-PIPE-AG,9.995404699999995
D85C4F,MText,"E.-W.1/4 Line",L-QSEC,9.995404699999995
D85C55,BlockReference,"FLARE",AS-SYMBOL,6.663603133369418
D85C56,BlockReference,"FLARE",AS-SYMBOL,6.663603133369418
D85C57,AlignedDimension,"Whitecap  P/L R/W  200666",F-RW-T,Compass 5 000
D85C58,AlignedDimension,"PGI  P/L R/W  190334",F-RW-T,Compass 5 000
D85C59,AlignedDimension,"PGI  P/L R/W  240422",F-RW-T,Compass 5 000
D85C5A,MText,"CNRL 6-10 (Surface) MSL 810887",F-WS-T,9.995404699999915
D85C5C,MText,"Veren 5-10 (Surface) MSL 160988",C-WS-T,9.995404699999915
D85C5E,AlignedDimension,"CNRL  A/R  781305",F-AR-T,Compass 5 000
D85C61,MText,"OPTION 'B' SITE PLAN DETAIL SCALE 1:1000",DETAIL-T,19.99080939999999
D85C64,MText,"50m Buffer",P-BUFFER-PURPLE-T,9.995404699999995
D85C66,MText,"30m Buffer",P-BUFFER-PURPLE-T,9.995404699999995
D85C6B,AlignedDimension,"Veren  Water Line R/W  ______",C-WS-T,Compass 5 000
D85C6C,AlignedDimension,"Veren  Water Line R/W  ______",C-WS-T,Compass 5 000
D85C6E,MText,"Comp",T-TIE-T,9.995404699999995
D85C70,BlockReference,"neew2",C-WS-T,0.99954047
D85C71,BlockReference,"P-RIG-877",T-TIE,4.999999999955019
D85C72,BlockReference,"P-RIG-877",T-TIE,4.999999999955019
D85C73,BlockReference,"WC",L-MON,6.663603133369418
D85C74,BlockReference,"WC",L-MON,6.663603133369418
D85C75,MText,"W/C 102/5-10",C-WS-T,9.995404699999995
D85C78,MText,"W/C Future",C-WS-T,9.995404699999995
D85C7B,MText,"W/C 102/5-10",C-WS-T,9.995404699999995
D85C7D,MText,"W/C Future",C-WS-T,9.995404699999995
D85C81,BlockReference,"WC",L-MON,6.663603133369418
D85C82,BlockReference,"WC",L-MON,6.663603133369418
D85D8B,BlockReference,"Disclaimer_Legal",0,0.5
