Handle,ObjType,Content,Layer,Extra
AE546D,BlockReference,"L-SECLBL",L-SECLBL,0.999866
AE5C8C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.997855999999887
AE5C90,AlignedDimension,"Tamarack  P/L R/W  992 2328  972421",C-RW-T,Compass 5 000
AE5CB2,AlignedDimension,"Spur  P/L R/W  210079",F-RW-T,Compass 5 000
AE6814,MText,"L.S. 9",L-SECTION-LSD,9.998659999999948
AE6816,MText,"L.S. 10",L-SECTION-LSD,9.998659999999948
AE6818,MText,"L.S. 16",L-SECTION-LSD,9.998659999999948
AE681A,MText,"L.S. 15",L-SECTION-LSD,9.998659999999948
AE71A7,BlockReference,"MUSK",T-GENERAL,4.999269999999996
AE71A9,BlockReference,"MUSK",T-GENERAL,4.999269999999996
AE71B1,MText,"Existing Borrow Pit",T-EXISTING TFA-T,9.998660000000001
AE71EF,MText,"Low Area (Wet)",T-TEXT,9.998660000000001
AE7205,MText,"10cm Black Spruce Muskeg",T-BUSH-T,9.998660000000001
AE7207,MText,"25cm Pine,  Aspen & Spruce",T-BUSH-T,9.998660000000001
AE7A6F,AlignedDimension,"Tamarack  A/R  170043",C-AR-T,Compass 5 000
AE8DE3,MText,"Theor. N.E.1/4  Sec. 11-75-25-W.4M.",C-SYMBOL,19.99731999999989
AEF422,MText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.998660000000001
AF1138,MText,"SEE DETAIL",L-DETAIL-T,15.997855999999901
AF113C,MText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.998660000000001
AF3D46,BlockReference,"*U23",AS-SURFACE IMPACT,0.999866
AF46D5,AlignedDimension,"Tamarack  P/L R/W  200139",C-RW-T,Compass 5 000
AF6A27,BlockReference,"MUSK",T-GENERAL,4.999269999999996
AF6A28,BlockReference,"MUSK",T-GENERAL,4.999269999999996
AF739F,MText,"25cm Pine, Aspen & Spruce",T-BUSH-T,9.998660000000001
B10F19,BlockReference,"NEZD Point",F-WS-S,0.999866
B10F28,BlockReference,"NEZD Point",F-WS-S,0.999866
B10F37,BlockReference,"NEZD Point",F-WS-S,0.999866
B60906,AlignedDimension,"Tamarack  P/L R/W  190347",C-RW-T,Compass 5 000
B60EEA,AlignedDimension,"Tamarack  P/L R/W  195019",C-RW-T,Compass 5 000
B62BF5,MText,"Tamarack 16-11 (Surface) MSL 170041",C-WS-T,9.998660000000001
B671AE,BlockReference,"GAS",C-WS-S,4.999999999999997
B671BF,BlockReference,"GAS",C-WS-S,4.999999999999997
B67936,BlockReference,"GAS",C-WS-S,4.999999999999997
B67953,BlockReference,"GAS",C-WS-S,4.999999999999997
B6A4A1,MText,"Old Log Deck",T-EXISTING TFA-T,9.998660000000001
B6A4AA,MText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.998660000000001
B6A4FD,AlignedDimension,"Tamarack  P/L R/W  200139",C-RW-T,Compass 5 000
B6A4FE,MText,"Tamarack 16-11 (Surface) MSL 170041",C-WS-T,9.998660000000001
B6A509,MText,"Low Area",T-TEXT,9.998660000000001
B6A511,MText,"25cm Pine, Aspen & Spruce",T-BUSH-T,9.998660000000001
B6A513,MText,"25cm Pine, Aspen & Spruce",T-BUSH-T,9.998660000000001
B6A515,MText,"25cm Pine, Aspen & Spruce",T-BUSH-T,9.998660000000001
B6A517,MText,"10cm Black Spruce Muskeg",T-BUSH-T,9.998660000000001
B6A537,BlockReference,"PIG",AS-SYMBOL,4.9993300000000005
B6A538,BlockReference,"RISER",AS-SYMBOL,4.9993300000000005
B6A539,BlockReference,"RISER",AS-SYMBOL,4.9993300000000005
B6A53A,BlockReference,"RISER",AS-SYMBOL,4.9993300000000005
B6A53B,BlockReference,"RISER",AS-SYMBOL,4.9993300000000005
B6A53C,BlockReference,"RISER",AS-SYMBOL,4.9993300000000005
B6A53D,BlockReference,"RISER",AS-SYMBOL,4.9993300000000005
B6A53E,BlockReference,"PIG",AS-SYMBOL,4.9993300000000005
B6A53F,BlockReference,"PIG",AS-SYMBOL,4.9993300000000005
B6A540,BlockReference,"PIG",AS-SYMBOL,4.9993300000000005
B6A541,BlockReference,"RISER",AS-SYMBOL,4.9993300000000005
B6A542,BlockReference,"*U29",AS-SYMBOL,4.99932999999999
B6A54B,BlockReference,"*U30",AS-SYMBOL,4.99932999999999
B6A554,BlockReference,"*U31",AS-SYMBOL,4.99932999999999
B6A55D,BlockReference,"*U32",AS-SYMBOL,4.99932999999999
B6A566,BlockReference,"GAS",C-WS-S,4.9993300000000005
B6A567,BlockReference,"GAS",C-WS-S,4.9993300000000005
B6A568,BlockReference,"GAS",C-WS-S,4.9993300000000005
B6A569,BlockReference,"GAS",C-WS-S,4.9993300000000005
B6B652,AlignedDimension,"Tamarack  A/R  170043",C-AR-T,Compass 5 000
B6C1CA,MText,"Spur Buried Pipe",AS-PIPE-UG-T,9.998659999999973
B6CE85,MText,"5m High Grade Gravel Road",T-TEXT,9.998659999999973
B6CED6,MText,"Gravel Pad",T-TEXT,9.998659999999973
B6CED8,MText,"A/G Pipe (Typ.)",AS-PIPE-UG-T,9.998659999999973
B6CEDB,MText,"Tank",T-TEXT,9.998659999999973
B6CEDC,MText,"Riser (Typ.)",T-TEXT,9.998659999999973
B6CEDF,MText,"Pig Trap (Typ.)",T-TEXT,9.998659999999973
B6CEE2,MText,"Building (Typ.)",T-TEXT,9.998659999999973
B6CEE4,MText,"Propane Tank (Typ.)",T-TEXT,9.998659999999973
B6CEE7,MText,"Pipe Rack",T-TEXT,9.998659999999973
B6CEE9,MText,"Tanks",T-TEXT,9.998659999999973
B6CEEC,MText,"Containment Ring",T-TEXT,9.998659999999973
