Handle,ObjType,Content,Layer,Extra
AF268F,MText,"Twp. 64",D-TXT,14.000000000000009
AF2690,MText,"Twp. 65",D-TXT,14.000000000000009
AF2691,DBText,"Undeveloped Government Road Allowance",L-ROAD-T,9.999989994857351
AF2692,DBText,"(17th Baseline)",L-ROAD-T,9.999989994857351
AF2693,DBText,"Undeveloped Government Road Allowance",L-ROAD-T,9.999989994857351
AF2694,DBText,"(17th Baseline)",L-ROAD-T,9.999989994857351
AF2695,MText,"Twp. 64",D-TXT,14.000000000000009
AF2696,MText,"Twp. 65",D-TXT,14.000000000000009
AF26B1,BlockReference,"L-SECLBL",L-SECLBL,0.9994850000000071
AF26B7,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994850000000035
AF26B8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994850000000035
AF26B9,MText,"Rge. 18",D-TXT,14.000000000000007
AF26BA,MText,"Rge. 17",D-TXT,14.000000000000007
AF26BC,MText,"Theor. S.W.1/4  Sec. 6-65-17-W.5M.",C-SYMBOL,19.98964000000004
AF26BD,MText,"Theor. S.E.1/4 Sec. 6-65-17-W.5M.",C-SYMBOL,19.989640000000097
AF26CC,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991711999999893
AF26DD,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991711999999893
AF26F0,AlignedDimension,"Murphy  A/R  221557",C-AR-T,Compass 5 000
AF26F3,AlignedDimension,"Murphy  P/L R/W  120550",C-RW-T,Compass 5 000
AF26F4,MText,"Murphy 6-6 (Surface) MSL 181122",C-RW-T,10.00000000000002
AF26F8,AlignedDimension,"Murphy  P/L R/W  195185",C-RW-T,Compass 5 000
AF26F9,AlignedDimension,"Murphy  Access R/W  862 1718  851574",C-AR-T,Compass 5 000
AF26FA,AlignedDimension,"Murphy  Access R/W  862 1718  851574",C-RW-T,Compass 5 000
AF26FB,AlignedDimension,"Murphy  P/L R/W  210461",C-RW-T,Compass 5 000
AF26FC,AlignedDimension,"Murphy  P/L R/W  230664",C-RW-T,Compass 5 000
AF26FD,MText,"Murphy Riser Site PIL 130483",C-WS-T,9.994850000000056
AF2700,AlignedDimension,"APL  A/R  982309",F-AR-T,Compass 5 000
AF2701,AlignedDimension,"APL  A/R  982309",F-AR-T,Compass 5 000
