Handle,ObjType,Content,Layer,Extra
AF2F51,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996149999999968
AF2F54,MText,"Twp. 74",D-TXT,13.994609999999946
AF2F55,MText,"Twp. 75",D-TXT,13.994609999999946
AF2F5D,DBText,"(Correction Line)",L-ROAD-T,9.996149999999968
AF3011,MText,"Shrubby Swamp",WETLAND-T,9.996149999999968
AF3031,MText,"IPC RTF 236215",T-EXISTING TFA-T,9.996149999999968
AF309D,MText,"Culvert  0.3 dia. 14.1 Length",T-TEXT,9.996149999999968
AF30A2,MText,"30cm Poplar & Spruce",T-BUSH-T,9.996149999999968
AF30A4,MText,"10cm Poplar",T-BUSH-T,9.996149999999968
AF30A6,MText,"10cm Poplar",T-BUSH-T,9.996149999999968
AF4CF5,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996149999999968
AF4D0F,MText,"Lac La Biche County",L-33,11.995379999999969
AF4D11,MText,"Athabasca County",L-33,11.995379999999969
AF556D,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993839999999947
AF557A,BlockReference,"*U18",AS-SURFACE IMPACT,0.999615
AF68AB,BlockReference,"*U19",AS-WILDLIFE-BLOCK,0.999615
AF709C,BlockReference,"L-SECLBL",L-SECLBL,0.999615
AF804D,MText,"L.S. 9",L-SECTION-LSD,9.996149999999979
AF804F,MText,"L.S. 10",L-SECTION-LSD,9.996149999999979
AF8051,MText,"L.S. 16",L-SECTION-LSD,9.996149999999979
AF8052,MText,"L.S. 15",L-SECTION-LSD,9.996149999999979
AF99D1,BlockReference,"TEMP",L-MON,4.998074999999989
AF99D2,BlockReference,"TEMP",L-MON,4.998075
AF99D3,BlockReference,"TEMP",L-MON,4.998074999999989
AF99D5,BlockReference,"TEMP",L-MON,4.998074999999989
AF99D6,BlockReference,"TEMP",L-MON,4.998074999999989
AF99D7,BlockReference,"TEMP",L-MON,4.998074999999989
AF99D8,BlockReference,"TEMP",L-MON,4.998074999999989
AF99DB,BlockReference,"TEMP",L-MON,4.998074999999989
AF99DC,BlockReference,"TEMP",L-MON,4.998074999999989
AFAB7E,DBText,"398.8 (Tie)",L-TIE-T,9.996149999999979
