Handle,ObjType,Content,Layer,Extra
AF2759,BlockReference,"L-SECLBL",L-SECLBL,0.9996159999999922
AF275F,BlockReference,"L-SECLBL",L-SECLBL,0.9996159999999922
AF2765,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996159999999925
AF2766,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993855999999871
AF278F,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.996159999999923
AF2790,MText,"Theor. N.E.1/4  Sec. 10-75-17-W.4M.",C-SYMBOL,19.992319999999847
AF2791,MText,"Theor. S.E.1/4  Sec. 15-75-17-W.4M.",C-SYMBOL,19.992319999999847
AF2792,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993855999999871
AF284A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996159999999925
AF284D,BlockReference,"*U19",R- CONC,1
AF2871,MText,"L.S. 9",L-SECTION-LSD,9.996159999999923
AF2873,MText,"L.S. 16",L-SECTION-LSD,9.996159999999923
AF2877,MText,"L.S. 1",L-SECTION-LSD,9.996159999999923
AF2878,MText,"L.S. 2",L-SECTION-LSD,9.996159999999923
AF287A,MText,"L.S. 8",L-SECTION-LSD,9.996159999999923
AF287B,MText,"L.S. 7",L-SECTION-LSD,9.996159999999923
AF287E,MText,"L.S. 10",L-SECTION-LSD,9.996159999999923
AF2880,MText,"L.S. 15",L-SECTION-LSD,9.996159999999923
AF29CF,MText,"Alberta-Pacific CLR970006",F-WS-T,9.999999999999924
AF29D1,MText,"2-Culverts",T-TEXT,9.996159999999923
AF29D4,MText,"Ephemeral Draw",T-WATER-T,9.996159999999923
AF29D7,MText,"Duncan Creek",T-WATER-T,9.996159999999923
AF29D9,MText,"30cm Poplar & Spruce",T-BUSH-T,9.996159999999923
AF29DB,MText,"30cm Poplar & Spruce",T-BUSH-T,9.996159999999923
AF4109,BlockReference,"*U20",0,0.999617
AF4192,BlockReference,"*U21",AS-WILDLIFE-BLOCK,0.999617
AF41BD,BlockReference,"*U20",0,0.999617
AF41CC,BlockReference,"*U21",AS-WILDLIFE-BLOCK,0.999617
AF7E7E,MText,"IPC",T-EXISTING TFA-T,9.996169999999939
AF7E7F,MText,"RTF 236530",T-EXISTING TFA-T,9.996169999999939
AF8A12,MText,"IPC",T-EXISTING TFA-T,9.996169999999939
AF8A13,MText,"RTF 236519",T-EXISTING TFA-T,9.996169999999939
AFD5C7,BlockReference,"TEMP",L-MON,4.998084999999976
AFD5C8,BlockReference,"TEMP",L-MON,4.998084999999976
AFD5C9,BlockReference,"TEMP",L-MON,4.998084999999976
AFD5CB,BlockReference,"TEMP",L-MON,4.998084999999976
AFD5CC,BlockReference,"TEMP",L-MON,4.998084999999976
AFD5CD,BlockReference,"TEMP",L-MON,4.998084999999976
AFE129,MText,"45'",L-BD,9.99616999999995
AFEC79,BlockReference,"TEMP",L-MON,4.998084999999976
AFEC7D,BlockReference,"TEMP",L-MON,4.998084999999976
AFF7C3,BlockReference,"TEMP",L-MON,4.998084999999976
B00ED4,MText,"10.00 A/R  (LOC 'B')",L-BD,9.99233147071994
B00ED6,MText,"10.00 A/R  (LOC 'A')",L-BD,9.99233147071994
B09D7A,MText,"Mixedwood Swamp",WETLAND-T,9.999999999999948
B09D7E,MText,"Mixedwood Swamp",WETLAND-T,9.999999999999948
B09D84,MText,"Mixedwood Swamp",WETLAND-T,9.999999999999948
B09DC2,MText,"270°00'",L-BD,9.99616999999995
B0F39E,MText,"69°35'",L-BD,9.99616999999995
B0F3A1,MText,"157°",L-BD,9.99616999999995
B0F3A3,MText,"165°56'",L-BD,9.99616999999995
B0FB12,MText,"165°56'",L-BD,9.99616999999995
B1A71D,AlignedDimension,"IPC  A/R  819",C-AR-T,Compass 5 000
B1A7BA,AlignedDimension,"IPC  A/R  819",C-AR-T,Compass 5 000
B1ACDD,AlignedDimension,"IPC  A/R  819  be Cancelled)",C-AR-T,Compass 5 000
B1B6D4,MText,"IPC Borrow Pit RSC ______ (by Compass)",C-AR-T,9.996169999999978
B1B710,MText,"IPC 10.00 A/R  LOC ______ (by Compass)",C-AR-T,9.996169999999962
B1C174,MText,"76°09'",L-BD,9.996169999999951
B1C1C6,AlignedDimension,"IPC  A/R  819  be Cancelled)",C-AR-T,Compass 5 000
B23864,BlockReference,"TEMP",L-MON,4.998084999999994
B23865,BlockReference,"TEMP",L-MON,4.998084999999994
B25CD2,MText,"310°27'",L-BD,9.996169999999994
B25CD5,MText,"281°29'",L-BD,9.996169999999994
B25CDC,MText,"203.6 (Tie)",L-BD,9.996169999999994
B25CDD,MText,"251°24'",L-BD,9.996169999999994
B25CDE,MText,"281°37'",L-BD,9.996169999999994
B25CDF,MText,"418.7 (Tie)",L-BD,9.996169999999994
B25CE1,MText,"359°38'",L-BD,9.996169999999951
B25D08,MText,"89°39'",L-BD,9.996169999999994
B3076F,BlockReference,"Disclaimer_Legal",0,0.4
