Handle,ObjType,Content,Layer,Extra
AF3E2F,MText,"Parcel DS Plan 67174 CLSR",L-TITLEDB-T,10.000000000000027
AF3E30,MText,"Parcel DR Plan 67174 CLSR",L-TITLEDB-T,10.000000000000027
AF3E31,MText,"Parcel DQ Plan 67174 CLSR",L-TITLEDB-T,10.000000000000027
AF3E32,MText,"Parcel FH Plan 75319 CLSR",L-TITLEDB-T,10.000000000000027
AF3E34,MText,"ATCO Gas Regulator Station Site Parcel EL Plan 73288 CLSR",C-RW-T,10.000000000000027
AF3E63,AlignedDimension,"12.19 Access R/W  75319 CLSR",F-RW-T,Compass 5 000
AF3E91,AlignedDimension,"ATCO  P/L R/W  41153 CLSR",C-RW-T,Compass 5 000
AF46C1,DBText,"Road Allowance",L-ROAD-T,10.000000000000023
AF46C2,DBText,"(Undeveloped)",T-TEXT,10.000000000000023
AF46C3,BlockReference,"L-SECLBL",L-SECLBL,1
AF46CD,MText,"L.S. 1",L-SECTION-LSD,10.000000000000027
AF46CE,MText,"L.S. 2",L-SECTION-LSD,10.000000000000027
AF46D0,MText,"L.S. 8",L-SECTION-LSD,10.000000000000027
AF46D1,MText,"L.S. 7",L-SECTION-LSD,10.000000000000027
AF46DC,AlignedDimension,"10.00 Sewer P/L R/W  67701 CLSR",F-RW-T,Compass 5 000
AF5A2C,DBText,"S.E.1/4 Sec. 31-25-11-W.5M.",C-SYMBOL,20.000000000000053
AF5A38,MText,"Banff National Park Plan 14440 CLSR",L-TITLEDB-T,11.994201622441972
AF963C,BlockReference,"FDI",L-MON,5.000000000000013
AF9646,BlockReference,"FDI",L-MON,5.000000000000013
AF972C,BlockReference,"PILE",0,5.000000000000013
AF9731,BlockReference,"PILE",0,5.000000000000013
AF9736,BlockReference,"PILE",0,5.000000000000013
AFDCFC,MText,"SEE DETAIL",DETAIL-T,15.992342400000028
B08580,BlockReference,"*U46",0,1
B13032,BlockReference,"*U71",P-TEMP-BLOCKS,0.1
B13044,BlockReference,"*U78",P-TEMP-BLOCKS,0.10000000000000017
B13074,MText,"ATCO Buried Pipe (Line/Lic.# 1950-130)",EXISTING PIPE (EXIST OR HP),0.9995214000000022
B13112,BlockReference,"*U45",DETAIL-T,0.09995214000000009
B13124,BlockReference,"*U36",DETAIL-T,0.09995214000000009
B13132,MText,"DETAIL",DETAIL-T,1.9990428000000044
B13134,BlockReference,"*U45",DETAIL-T,0.09995214000000009
B13146,BlockReference,"*U27",CG-NOTES,0.09995214000000009
B13151,BlockReference,"*U33",CG-NOTES,0.09995214000000009
B1315C,BlockReference,"*U34",CG-NOTES,0.09995214000000009
B13167,BlockReference,"*U35",CG-NOTES,0.09995214000000009
B13172,AlignedDimension,"ATCO  P/L R/W  41153 CLSR",C-RW-T,Compass 500
B13173,AlignedDimension,"10.00 Sewer P/L R/W  67701 CLSR",F-RW-T,Compass 500
B13174,MText,"Parcel DQ Plan 67174 CLSR",L-TITLEDB-T,1.0000000000000024
B13176,MText,"Manhole",T-TEXT,0.9995214000000022
B1317F,BlockReference,"*U48",0,0.10000000000000009
B1318D,BlockReference,"*U37",0,0.10000000000000009
B1319B,BlockReference,"*U49",0,0.10000000000000009
B131A9,BlockReference,"*U38",0,0.10000000000000009
B131B7,BlockReference,"*U44",0,0.10000000000000009
B131C5,BlockReference,"*U51",0,0.10000000000000009
B131D3,BlockReference,"*U52",0,0.10000000000000009
B131E1,BlockReference,"*U50",0,0.10000000000000009
B131EF,BlockReference,"*U62",0,0.10000000000000009
B13210,BlockReference,"*U44",0,0.10000000000000009
B1321E,BlockReference,"*U44",0,0.10000000000000009
B1322C,BlockReference,"*U44",0,0.10000000000000009
B1323A,BlockReference,"*U44",0,0.10000000000000009
B13248,BlockReference,"*U44",0,0.10000000000000009
B13256,BlockReference,"*U53",0,0.10000000000000009
B13264,BlockReference,"*U53",0,0.10000000000000009
B13272,BlockReference,"*U51",0,0.10000000000000009
B13280,BlockReference,"*U51",0,0.10000000000000009
B1328E,BlockReference,"*U63",0,0.10000000000000009
B1329C,BlockReference,"*U59",0,0.10000000000000009
B132AA,BlockReference,"*U60",0,0.10000000000000009
B132B8,BlockReference,"*U64",0,0.10000000000000009
B132C6,BlockReference,"*U39",0,0.10000000000000009
B132D4,BlockReference,"*U41",0,0.10000000000000009
B132E2,BlockReference,"*U42",0,0.10000000000000009
B132F0,BlockReference,"*U43",0,0.10000000000000009
B132FE,BlockReference,"*U54",0,0.10000000000000009
B1330C,BlockReference,"*U55",0,0.10000000000000009
B1331A,BlockReference,"*U56",0,0.10000000000000009
B13328,BlockReference,"*U58",0,0.10000000000000009
B13336,BlockReference,"*U51",0,0.10000000000000009
B13344,BlockReference,"*U65",0,0.10000000000000009
B13352,BlockReference,"*U40",0,0.10000000000000009
B13360,BlockReference,"*U61",0,0.10000000000000009
B1336E,BlockReference,"*U57",0,0.10000000000000009
B1337C,BlockReference,"PILE",0,0.4997607000000011
B1337D,BlockReference,"*U47",0,0.10000000000000009
B13395,MText,"Fd.I. c.s.(0.1) SR-2",L-MON,0.9995214000000022
B13396,BlockReference,"FDI",L-MON,0.49976070000000056
B13397,BlockReference,"FDI",L-MON,0.5000000000000012
B13398,MText,"Fd.I. DQ-52",L-MON,0.9995214000000022
B15DDB,BlockReference,"*U77",P-TEMP-BLOCKS,0.10000000000000017
B15DF0,BlockReference,"*U74",P-TEMP-BLOCKS,0.10000000000000017
B15E05,BlockReference,"*U73",P-TEMP-BLOCKS,0.10000000000000017
B15E1A,BlockReference,"*U76",P-TEMP-BLOCKS,0.10000000000000017
B15E2F,BlockReference,"*U75",P-TEMP-BLOCKS,0.10000000000000017
B15E44,BlockReference,"*U79",P-TEMP-BLOCKS,0.10000000000000017
B15E59,BlockReference,"*U72",P-TEMP-BLOCKS,0.10000000000000017
B28421,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.2998564200000002
