Handle,ObjType,Content,Layer,Extra
BD0AB5,BlockReference,"FDI",L-MON,5.0000000000001075
BD0ADD,BlockReference,"FDI",L-MON,4.999444500000077
BD0AE2,BlockReference,"FDI",L-MON,4.999444500000077
BD244F,BlockReference,"L-SECLBL",L-SECLBL,0.9998889
BD3493,MText,"L.S. 9",0,9.998889000000165
BD3495,MText,"L.S. 10",L-SECTION-LSD,9.998889000000165
BD3497,MText,"L.S. 16",0,9.998889000000165
BD3499,MText,"L.S. 15",L-SECTION-LSD,9.998889000000165
BD351F,BlockReference,"*U36",AS-OWNER,0.9998889
BD6F8A,BlockReference,"GAS",C-WS-S,5.000000000000108
BD6F8B,BlockReference,"GAS",C-WS-S,5.000000000000108
BD6F8C,BlockReference,"GAS",C-WS-S,5.000000000000108
BD6F8D,BlockReference,"GAS",C-WS-S,5.000000000000108
BD6F8E,BlockReference,"GAS",C-WS-S,5.000000000000108
BD6F8F,BlockReference,"GAS",C-WS-S,5.000000000000108
BD77C3,AlignedDimension,"Parallax  P/L R/W  242 0527",C-RW-T,Compass 5 000
BD77F7,AlignedDimension,"40.00 Road  122 4811",L-TITLEDB-T,Compass 5 000
BD784C,MText,"20.12 Road Plan 4073 J",L-TITLEDB-T,9.99888900000016
BD80C0,MText,"Approximate Location of ATCO Natural Gas Distribution Customer Correspondence",AS-PIPE-UG-T,9.998039094435141
BD80C1,AlignedDimension,"ATCO  Utility R/W  802 073 502",F-EZE-T,Compass 5 000
BDC455,MText,"Parallax 12-8",C-RW-T,9.99888900000016
BDC9F1,MText,"Lake",T-WATER-T,9.99888900000016
BDC9F3,MText,"Pond",T-WATER-T,9.99888900000016
BDC9F5,MText,"Pond",T-WATER-T,9.99888900000016
BDC9F9,MText,"Whelp Brook",T-WATER-T,9.998889000000158
BE4486,MText,"N.E.1/4 Sec. 7-41-26-W.4M.",C-SYMBOL,19.99777800000033
BE4487,MText,"(High Grade Gravel)",T-TEXT,9.998889000000158
BE4A44,MText,"Government Road Allowance",L-ROAD-T,9.998889000000158
BE4A64,MText,"(Paved)",T-TEXT,9.99888900000016
BE4A65,MText,"Government Road Allowance",L-ROAD-T,9.99888900000016
C010BD,MText,"SEE PAD SITE DETAIL",L-DETAIL-T,15.998222400000305
C0166B,DBText,"Pad Site = 4.000 ha  9.88 Ac.",L-AREAREQUIRED,10.998777900000206
C0166C,DBText,"Access Road = 0.414 ha  1.02 Ac.",L-AREAWORK,10.998777900000206
C01BF9,MText,"Fd.I. c.s.",L-MON-T,9.998889000000155
C01BFB,MText,"Fd.I. N.E. 7",L-MON-T,9.998889000000155
C01BFD,MText,"Fd.I. c.s. N.1/4 7",L-MON-T,9.998889000000155
C02193,DBText,"92°",L-BD,9.998889000000155
C02195,DBText,"15''",L-BD,9.998889000000155
C02CA7,DBText,"07'",L-BD,9.998889000000155
C068F9,MText,"Buried Pipe",AS-PIPE-UG-T,9.998039094435141
C076FC,BlockReference,"wa",0,0.9998889
C07D65,AlignedDimension,"Parallax  P/L R/W  242 0527",C-RW-T,Compass 5 000
C09F25,MText,"PAD SITE DETAIL SCALE 1:2000",DETAIL-T,19.997778000000267
C0A066,DBText,"RP",35,9.998889000000133
C0A0A1,BlockReference,"*U41",DETAIL-T,0.9998889
C0A6DA,BlockReference,"*U42",DETAIL-T,0.9998889
C0AD07,MText,"182°07'20''",L-BD,9.998889000000128
C0AD1A,MText,"2°18'05'' 9.94",L-BD,9.998889000000128
C0C2A7,BlockReference,"wa",0,0.9998889
C0C2AA,BlockReference,"wa",0,0.9998889
C0C2AD,BlockReference,"wa",0,0.9998889
C0C2B0,BlockReference,"wa",0,0.9998889
C2AB8F,MText,"Buried Pipe (56137-61)",AS-PIPE-UG-T,9.998039094435141
C2B132,MText,"(56137-61)",AS-PIPE-UG-T,9.998039094435141
C2D7EA,DBText,"Cultivation",T-TEXT,9.998889000000075
C2D7EC,DBText,"Cultivation",T-TEXT,9.998889000000075
C2E8F7,MText,"3 W/C's @ 10m Spacing",L-BD1,9.998889000000155
C2E8F8,DBText,"Cultivation",T-TEXT,9.998889000000075
C3003D,MText,"Fortis Buried Power Line (Not Located in Field)",AS-POWER,9.998039094435141
C30125,MText,"Fortis Buried Power Line",AS-POWER,9.998039094435141
C30E3A,DBText,"Fd.I.",L-MON-T,9.998889000000155
C30E3C,MText,"c.s.",L-MON-T,9.998889000000155
C36254,BlockReference,"WC",L-MON,4.999444500000032
C36257,BlockReference,"WC",L-MON,4.999444500000032
C36259,BlockReference,"WC",L-MON,4.999444500000032
C362D6,MText,"100m",AUX-BUFFER,9.998889000000064
C362D8,MText,"200m",AUX-BUFFER,9.998889000000064
C362DB,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
C362FA,DBText,"184°33'55"",L-BD1,9.998889000000064
C363FE,BlockReference,"WC",L-MON,4.999444500000032
C36400,BlockReference,"WC",L-MON,4.999444500000032
C36402,BlockReference,"WC",L-MON,4.999444500000032
C36407,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
C36438,MText,"200.00 274°33'55"",L-BD1,9.998889000000064
C36CA6,DBText,"236.78 (Tie)",L-BD,9.998889000000064
C36CA7,DBText,"329°56'10"",L-BD,9.998889000000064
C36CAF,BlockReference,"plspike",L-MON,4.999444500000032
C36CB0,BlockReference,"plspike",L-MON,4.999444500000032
C36CB1,BlockReference,"plspike",L-MON,4.999444500000032
C36CB2,BlockReference,"plspike",L-MON,4.999444500000032
C36CB3,BlockReference,"TEMP",L-MON,4.999444500000032
C36DAF,DBText,"33'",L-BD1,9.998889000000064
C36F9A,BlockReference,"wa",0,0.9998889
C36F9D,BlockReference,"wa",0,0.9998889
C36FA4,MText,"100m",AUX-BUFFER,9.998889000000062
C38032,DBText,"Cultivation",T-TEXT,9.998889000000075
C38034,BlockReference,"TEMP",L-MON,4.999444500000029
C38035,BlockReference,"plspike",L-MON,4.999444500000029
C38036,BlockReference,"plspike",L-MON,4.999444500000029
C38037,BlockReference,"plspike",L-MON,4.999444500000029
C386EB,MText,"200.00 184°33'55"",L-BD1,9.998889000000059
C3CF78,BlockReference,"FDI",L-MON,4.999444500000011
C3DDD6,BlockReference,"TEMP",L-MON,4.999444500000008
C3DDD7,BlockReference,"plspike",L-MON,4.999444500000008
C3DECA,DBText,"236.78 (Tie)",L-BD,9.998889000000064
C3DECB,DBText,"329°56'10"",L-BD,9.998889000000064
C4192B,BlockReference,"*U45",CG-NOTES,0.9998889
C41F7E,MText,"Lake",T-WATER-T,9.99888900000016
C41F80,MText,"Lot2 Block 1 Plan 102 3185",L-TITLEDB-T,9.99888900000016
C43357,AlignedDimension,"Fortis  Buried Powerline R/W  222 283 283",F-EZE-T,Compass 5 000
C43380,MText,"94°",L-BD1,9.998889000000064
C43381,MText,"55"",L-BD1,9.998889000000064
C4338F,MText,"W/C 'C'",P-TXT,9.998889000000155
C43390,MText,"W/C 'B'",P-TXT,9.998889000000155
C43391,MText,"W/C 'A'",P-TXT,9.998889000000155
C43392,AlignedDimension,"Fortis  Buried Powerline R/W  222 283 283",F-EZE-T,Compass 5 000
C454E0,MText,"Cultivation",T-TEXT,9.998889000000075
C45AD2,MText,"Cultivation",T-TEXT,9.998889000000075
C46863,MText,"184°33'55"",L-BD1,9.998889000000064
C46866,MText,"4°33'55" 200.00",L-BD1,9.998889000000064
C46867,MText,"Cultivation",T-TEXT,9.998889000000075
C4AFA4,MText,"(Undeveloped)",T-TEXT,9.998889000000158
C4B189,BlockReference,"*U48",0,1
C4F453,MText,"±500m",0,10
C4F455,MText,"±500m",0,10
C4F457,MText,"LINE OF SIGHT",0,10
C5103C,BlockReference,"*U49",0,1
C5401E,BlockReference,"Disclaimer_Legal",0,0.3
