Handle,ObjType,Content,Layer,Extra
BC3DD9,BlockReference,"FDI",L-MON,5.000000000000012
BC3DE3,BlockReference,"FDI",L-MON,5.000000000000012
BC3DE8,BlockReference,"fdspike",L-MON,5.000000000000012
BC3DED,BlockReference,"fdspike",L-MON,5.000000000000012
BC3DF2,BlockReference,"fdspike",L-MON,5.000000000000012
BC3DF7,BlockReference,"fdspike",L-MON,5.000000000000012
BC3E3E,BlockReference,"RISER",AS-SYMBOL,5.000000000000012
BC3EBF,BlockReference,"GAS",C-WS-S,5.000000000000012
BC3EC4,BlockReference,"GAS",C-WS-S,5.000000000000012
BC3EC9,BlockReference,"RISER",AS-SYMBOL,5.000000000000012
BC3ECE,BlockReference,"RISER",AS-SYMBOL,5.000000000000012
BC3EDB,BlockReference,"PIG",AS-SYMBOL,5.000000000000012
BC3F00,BlockReference,"PIG",AS-SYMBOL,5.000000000000012
BC3F31,BlockReference,"GAS",C-WS-S,5.000000000000012
BC3FB2,BlockReference,"GAS",C-WS-S,5.000000000000012
BC3FC7,BlockReference,"RISER",AS-SYMBOL,5.000000000000012
BC3FCC,BlockReference,"RISER",AS-SYMBOL,5.000000000000012
BC4211,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000012
BC4216,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000012
BC422F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000012
BC97C3,BlockReference,"TEMP",L-MON,5.000000000000012
BC97C4,BlockReference,"TEMP",L-MON,5.000000000000012
BC97C5,BlockReference,"TEMP",L-MON,5.000000000000012
BCA800,BlockReference,"TEMP",L-MON,4.999531086500011
BCB84F,AlignedDimension,"Parallax  P/L R/W  062 7805",C-RW-T,Compass 5 000
BCB8AA,MText,"Road Plan 992 0634",L-TITLEDB-T,9.999062173000022
BCB8AB,MText,"Parallax 6-26",C-WS-T,9.999062173000022
BCC0CF,MText,"L.S. 3",L-SECTION-LSD,9.999062173000022
BCC0D1,MText,"L.S. 4",L-SECTION-LSD,9.999062173000022
BCC0D3,MText,"L.S. 6",L-SECTION-LSD,9.999062173000022
BCC0D5,MText,"L.S. 5",L-SECTION-LSD,9.999062173000022
BCC0E3,MText,"Road Plan 2422 LZ",L-TITLEDB-T,9.999062173000022
