Handle,ObjType,Content,Layer,Extra
AF568E,BlockReference,"L-SECLBL",L-SECLBL,0.99959203
AF6198,BlockReference,"FDI",L-MON,4.999999999999997
AF619D,BlockReference,"FDI",L-MON,4.999999999999997
AF61D9,BlockReference,"FDI",L-MON,4.999999999999997
AF61DE,BlockReference,"FDI",L-MON,4.999999999999997
AF6242,BlockReference,"FDI",L-MON,4.999999999999997
AF63DE,BlockReference,"GAS",C-WS-S,4.999999999999997
AF63ED,BlockReference,"GAS",C-WS-S,4.999999999999997
AF67D8,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
AF6891,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
AF6896,BlockReference,"GAS",C-WS-S,4.999999999999997
AF689B,BlockReference,"RISER",AS-SYMBOL,4.999999999999997
AF68A0,BlockReference,"GAS",C-WS-S,4.999999999999997
AFBBFC,BlockReference,"TEMP",L-MON,4.997960149999998
AFBBFD,BlockReference,"TEMP",L-MON,4.997960149999998
B01DC7,BlockReference,"TEMP",L-MON,4.997960149999998
B01DC8,BlockReference,"TEMP",L-MON,4.997960149999998
B01DC9,BlockReference,"TEMP",L-MON,4.997960149999998
B01DCA,BlockReference,"TEMP",L-MON,4.997960149999998
B01DCB,BlockReference,"TEMP",L-MON,4.997960149999998
B01DCC,BlockReference,"TEMP",L-MON,4.997960149999998
B01DCD,BlockReference,"TEMP",L-MON,4.997960149999998
B081C8,AlignedDimension,"Torxen  P/L R/W  161 0419",C-RW-T,Compass 5 000
B081ED,AlignedDimension,"Torxen  P/L R/W  091 5144",C-RW-T,Compass 5 000
B08230,AlignedDimension,"Torxen  P/L R/W  141 3318",C-RW-T,Compass 5 000
B08273,AlignedDimension,"Torxen  P/L R/W  091 5145",C-RW-T,Compass 5 000
B08A3D,AlignedDimension,"Torxen  P/L R/W  141 3319",C-RW-T,Compass 5 000
B08A6D,AlignedDimension,"CNRL  P/L R/W  991 1903",F-RW-T,Compass 5 000
B0CB4F,BlockReference,"GABD",C-WS-S,4.997960149999999
B0CB54,BlockReference,"TEMP",L-MON,4.997960149999999
B0CB55,BlockReference,"TEMP",L-MON,4.997960149999999
B0CB62,BlockReference,"GAS",C-WS-S,4.997960149999999
B0CB63,BlockReference,"GAS",C-WS-S,4.997960149999999
B0CE88,BlockReference,"TEMP",L-MON,4.997960149999999
B0CE89,BlockReference,"TEMP",L-MON,4.997960149999999
B0CE94,BlockReference,"GABD",C-WS-S,4.997960149999999
B0DE93,AlignedDimension,"10.06 Road  3451 JK",L-TITLEDB-T,Compass 5 000
B0EE29,MText,"Pumpjack Foundation",T-TEXT,10.000792586139914
B0F5D3,MText,"Shack",T-TEXT,10.000792586139914
B0F5D6,MText,"Cattle Guard",T-TEXT,10.000792586139914
B0F5D9,BlockReference,"RISER",AS-SYMBOL,4.997960149999999
B0FD8C,BlockReference,"RISER",AS-SYMBOL,4.997960149999999
B10533,BlockReference,"RISER",AS-SYMBOL,4.997960149999999
B10537,MText,"Shack",T-TEXT,10.000792586139914
