Handle,ObjType,Content,Layer,Extra
BC47DA,BlockReference,"L-SECLBL",L-SECLBL,1
BC47E5,MText,"800m Trumpeter Swan Buffer Boundary",AS-WILDLIFE,10
BC47E7,MText,"500m Trumpeter Swan Buffer Boundary",AS-WILDLIFE,10
BC47F2,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992656
BC47F4,DBText,"Theoretic Road Allowance",L-ROAD-T,9.99541
BC47F5,DBText,"Theoretic Road Allowance",L-ROAD-T,9.99541
BC4801,DBText,"Theoretic Road Allowance",L-ROAD-T,10.000000000000092
BC4802,BlockReference,"L-SECLBL",L-SECLBL,1
BC480E,MText,"800m Trumpefer Swan Boundary",AS-WILDLIFE,10.000000000000096
BC4813,MText,"800m Trumpeter Swan Boundary",AS-WILDLIFE,10.000000000000094
BC4824,DBText,"Theoretic Road Allowance",L-ROAD-T,10.00000000000009
BC482E,MText,"Existing Borrow Pit",T-EXISTING TFA,10.000000000000092
BC4839,DBText,"Theoretic Road Allowance",L-ROAD-T,9.99541
BC484F,MText,"Existing Log Deck",T-EXISTING TFA-T,9.99541
BC4851,MText,"Existing Log Deck",T-EXISTING TFA-T,9.99541
BC4855,MText,"Existing Borrow Pit",T-EXISTING TFA-T,9.99541
BC485A,AlignedDimension,"Islander  A/R  5014034",C-AR-T,Compass 5 000
BC485B,AlignedDimension,"Islander  A/R Plan _____",C-AR-T,Compass 5 000
BC485C,MText,"Islander 3-17 Plan 5014034",C-RW-T,10.000000000000092
BC485D,AlignedDimension,"Islander  P/L R/W  _______  be Amended)",C-RW-T,Compass 5 000
BC485E,AlignedDimension,"Islander  A/R  5014034",C-RW-T,Compass 5 000
BC4860,AlignedDimension,"Islander  A/R  5014034",C-RW-T,Compass 5 000
BC4861,AlignedDimension,"Islander  P/L R/W  _______  be Amended)",C-RW-T,Compass 5 000
BC4862,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,12.005395224613952
BC4864,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.999966630454509
BC4866,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.999966630454509
BC4869,DBText,"Low Area (Wet)",T-TEXT,10.000000000000082
BC4870,MText,"30cm Poplar",T-BUSH-T,10.000000000000092
BC4872,MText,"10cm Willow",T-BUSH-T,10.000000000000092
BC4874,MText,"Dry Muskeg 15cm Spruce & Tamarack",T-BUSH-T,10.000000000000092
BC4877,MText,"30cm Spruce & Poplar",T-BUSH-T,9.99541
BC4878,MText,"3cm Poplar, Pine & Spruce",T-BUSH-T,9.99541
BC4879,MText,"5cm Willow",T-BUSH-T,9.99541
BC487A,MText,"30cm Spruce & Poplar",T-BUSH-T,9.99541
BC487B,MText,"30cm Spruce & Poplar",T-BUSH-T,9.99541
BC487C,BlockReference,"*U26",AS-OWNER,0.9986532350294655
BC488B,BlockReference,"*U26",AS-OWNER,0.9995556600063851
BC489A,BlockReference,"*U26",AS-OWNER,0.9995556600063851
BC48AE,BlockReference,"GAS",C-WS-S,4.997729750000006
BC48AF,BlockReference,"fdspike",L-MON,5
BC48B0,BlockReference,"fdspike",L-MON,5
BC4A8B,BlockReference,"L-SECLBL",L-SECLBL,0.99954621
BC4A91,DBText,"Theoretic Road Allowance",L-ROAD-T,9.999999999999943
BC4AA7,MText,"800m Trumpeter Swan Buffer",AS-WILDLIFE-BLOCK,9.999999999999927
BC4AA8,MText,"500m Trumpeter Swan Buffer",AS-WILDLIFE-BLOCK,9.999999999999927
BC4ADC,BlockReference,"*U34",L-BD,0.99954621
BC4AF0,AlignedDimension,"Islander  A/R  5014034",C-AR-T,Compass 5 000
BC4AF1,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.999999999999924
BC4AF3,MText,"20cm  Spruce",T-BUSH-T,9.999999999999927
BC4AF7,MText,"30cm  Poplar",T-BUSH-T,9.995505999999907
BC4AF9,MText,"30cm  Poplar",T-BUSH-T,9.995505999999907
BC4AFB,MText,"30cm  Poplar",T-BUSH-T,9.995505999999907
BC4AFD,BlockReference,"*U26",AS-OWNER,0.9986530751724274
BC4B18,BlockReference,"GAS",C-WS-S,4.99773105
BC5404,AlignedDimension,"Islander  A/R  5014034",C-AR-T,Compass 5 000
BC5438,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.999999999999924
BC543A,BlockReference,"*U26",AS-OWNER,0.9986530751724274
BC5525,BlockReference,"L-SECLBL",L-SECLBL,0.999541
BC552B,DBText,"Theoretic Road Allowance",L-ROAD-T,9.999999999999943
BC65FE,DBText,"Theor. S.W.1/4 Sec. 21-81-13-W.5M.",C-SYMBOL,19.99082
BC65FF,DBText,"Theor. N.W.1/4 Sec. 16-81-13-W.5M.",C-SYMBOL,19.99082
BC6600,DBText,"Theor. N.E.1/4 Sec. 17-81-13-W.5M.",C-SYMBOL,19.99082
BC6601,DBText,"Theor. S.E.1/4 Sec. 17-81-13-W.5M.",C-SYMBOL,19.99082
BC6602,DBText,"Theor. S.W.1/4 Sec. 17-81-13-W.5M.",C-SYMBOL,19.99082
BC6603,DBText,"Theor. N.E.1/4 Sec. 8-81-13-W.5M.",C-SYMBOL,19.99082
BC6604,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992656
BC6606,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992656
BC6608,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992656
BC660A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992656
BC660C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992656
BC660E,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.999999999999924
BC6610,BlockReference,"*U26",AS-OWNER,0.9986530751724274
BC6E8D,MText,"Islander 14-16 Plan ______",C-WS-T,9.99541
BC7706,AlignedDimension,"Islander  A/R  ______",C-AR-T,Compass 5 000
BC772D,AlignedDimension,"Islander  P/L R/W  ______",C-RW-T,Compass 5 000
BC776A,BlockReference,"TEMP",L-MON,4.997705
BC776B,BlockReference,"TEMP",L-MON,4.997705
BC7FE5,BlockReference,"TEMP",L-MON,4.997705
BC7FE6,BlockReference,"TEMP",L-MON,4.997705
BC7FE8,BlockReference,"TEMP",L-MON,4.997705
BC7FE9,BlockReference,"TEMP",L-MON,4.997705
BC7FEA,BlockReference,"TEMP",L-MON,4.997705
BC7FEB,BlockReference,"TEMP",L-MON,4.997705
