Handle,ObjType,Content,Layer,Extra
AF70D7,BlockReference,"L-SECLBL",L-SECLBL,1
AF70DD,BlockReference,"L-SECLBL",L-SECLBL,1
AF70E4,DBText,"N.W.1/4 Sec. 23-39-24-W.4M.",C-SYMBOL,20.004460994801818
AF7118,DBText,"Government Road Allowance",L-ROAD-T,10.002230497400802
AF7119,DBText,"Government Road Allowance",L-ROAD-T,10.002230497400802
AF7137,BlockReference,"*U32",AS-WILDLIFE-BLOCK,1.0002230497400906
AF7146,BlockReference,"*U32",AS-WILDLIFE-BLOCK,1.0002230497400906
AF719D,BlockReference,"*U32",AS-WILDLIFE-BLOCK,1.0002230497400906
AF71C7,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999999
AF71C8,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999999
AF71C9,DBText,"Government Road Allowance",L-ROAD-T,10.002230497400802
AF71D0,MText,"Approximate Location ofChain Lakes Gas Co-op. Ltd.",AS-PIPE-UG-T,10.000050011152158
AF71D2,MText,"Approximate Location ofChain Lakes Gas Co-op. Ltd.",AS-PIPE-UG-T,10.000050011152158
AF71D4,AlignedDimension,"Enhance  A/R",C-AR-T,Compass 5 000
AF71D5,AlignedDimension,"Enhance  A/R",C-AR-T,Compass 5 000
AF71D6,AlignedDimension,"Enhance  A/R",C-AR-T,Compass 5 000
AF71D7,AlignedDimension,"Enhance  A/R",C-AR-T,Compass 5 000
AF71D8,AlignedDimension,"Enhance  A/R",C-AR-T,Compass 5 000
AF71D9,AlignedDimension,"A/R",C-AR-T,Compass 5 000
AF71DA,AlignedDimension,"Enhance  A/R",C-AR-T,Compass 5 000
AF71DB,AlignedDimension,"Enhance  P/L R/W  2929 RS  {  Narrow|b0|i1|c0|p34;(29210-229)}",C-RW-T,Compass 5 000
AF71DC,AlignedDimension,"Enhance  P/L R/W  962 1550  Narrow|b0|i1|c0|p34;53919-10})",C-RW-T,Compass 5 000
AF71DD,AlignedDimension,"Enhance  P/L R/W  852 0900  Narrow|b0|i1|c0|p34;21758-9})  Narrow|b0|i1|c0|p34;21758-11})  Narrow|b0|i1|c0|p34;21758-10})",C-VCE-T,Compass 5 000
AF71DE,AlignedDimension,"Enhance  P/L R/W  782 0325  Narrow|b0|i1|c0|p34;21758-8)",C-RW-T,Compass 5 000
AF71DF,AlignedDimension,"Enhance{  Narrow|b0|i1|c0|p34;  P/L R/W  882 1430  {  Narrow|b0|i1|c0|p34;(29210-227})",C-RW-T,Compass 5 000
AF71E1,MText,"Enhance 10.06 P/L R/W Plan 5416 NY (7252-18) Ember (53248-2)",C-RW-T,10.000030006691386
AF71E6,AlignedDimension,"Enhance  P/L R/W  902 1545",C-RW-T,Compass 5 000
AF71E7,AlignedDimension,"Enhance  P/L R/W  962 1550  Narrow|b0|i1|c0|p34;53919-10})",C-RW-T,Compass 5 000
AF71E8,AlignedDimension,"Enhance  P/L R/W  782 0325  Narrow|b0|i1|c0|p34;21758-8)",C-RW-T,Compass 5 000
AF71E9,AlignedDimension,"Enhance{  Narrow|b0|i1|c0|p34;  P/L R/W  5416 NY  Narrow|b0|i1|c0|p34;(7252-18)}  {  Narrow|b0|i1|c0|p34;(53248-2)}",C-RW-T,Compass 5 000
AF71EA,AlignedDimension,"Enhance  A/R",C-RW-T,Compass 5 000
AF71ED,AlignedDimension,"Ember  A/R",C-RW-T,Compass 5 000
AF71EE,AlignedDimension,"Enhance{  Narrow|b0|i1|c0|p34;  P/L R/W  852 0900  Narrow|b0|i1|c0|p34; (53248-1})",C-RW-T,Compass 5 000
AF71EF,AlignedDimension,"Enhance  P/L R/W  902 1545  Narrow|b0|i1|c0|p34;21758-18})",C-RW-T,Compass 5 000
AF71F0,AlignedDimension,"Enhance  P/L R/W  882 1430  Narrow|b0|i1|c0|p34;21758-17})  ({  Narrow|b0|i1|c0|p34;53248-4})",C-RW-T,Compass 5 000
AF71F1,AlignedDimension,"Enhance  P/L R/W  782 0325  Narrow|b0|i1|c0|p34;7252-17})",C-RW-T,Compass 5 000
AF71F2,AlignedDimension,"Enhance  P/L R/W  1517 KS  Narrow|b0|i1|c0|p34;25713-1})  ({  Narrow|b0|i1|c0|p34;29210-143})",C-RW-T,Compass 5 000
AF71F3,AlignedDimension,"Ember{  Narrow|b0|i1|c0|p34;  P/L R/W  882 1430  Narrow|b0|i1|c0|p34;(29210-228})",C-RW-T,Compass 5 000
AF71F5,AlignedDimension,"Enhance{  Narrow|b0|i1|c0|p34;  P/L R/W  852 0900  Narrow|b0|i1|c0|p34; (53248-1})",C-RW-T,Compass 5 000
AF71F7,MText,"Enhance 8-26",C-WS-T,10.000050011152162
AF71F9,MText,"Enhance 2-26",C-WS-T,10.000050011152162
AF71FB,MText,"Enhance 7-26 (Surface)",C-WS-T,10.000050011152162
AF71FD,MText,"Enhance 4-25",C-WS-T,10.002230497400802
AF71FF,MText,"Enhance 2-26 (Surface)",C-WS-T,10.000050011152162
AF7201,MText,"Enhance 1-26 (Surface)",C-WS-T,10.000050011152162
AF7203,MText,"Enhance 2-26",C-WS-T,10.000050011152162
AF7209,MText,"Enhance 11-23 (Abd.)",C-WS-T,9.99999999999999
AF720B,MText,"Enhance 12-23 (Abd.)",C-WS-T,9.99999999999999
AF720D,MText,"Enhance S0/3-26",C-WS-T,9.99999999999999
AF720F,MText,"Enhance 13-23",C-WS-T,9.99999999999999
AF7211,MText,"Enhance 4-26",C-WS-T,9.99999999999999
AF7213,MText,"Enhance 6-26 (Abd.)",C-WS-T,9.99999999999999
AF7215,MText,"Enhance 5-26 (Abd.)",C-WS-T,9.99999999999999
AF7217,AlignedDimension,"Ember  A/R",F-AR-T,Compass 5 000
AF7219,AlignedDimension,"Ember  A/R",F-AR-T,Compass 5 000
AF721A,AlignedDimension,"Ember  A/R",F-AR-T,Compass 5 000
AF721B,AlignedDimension,"Ember  P/L R/W  062 8166",F-RW-T,Compass 5 000
AF721C,AlignedDimension,"Ember  P/L R/W  4242 RS  Narrow|b0|i1|c0|p34;29210-260})",F-RW-T,Compass 5 000
AF721E,AlignedDimension,"Ember  P/L R/W  4242 RS  Narrow|b0|i1|c0|p34;29210-2})",F-RW-T,Compass 5 000
AF721F,AlignedDimension,"Ember  P/L R/W  062 8166",F-RW-T,Compass 5 000
