Handle,ObjType,Content,Layer,Extra
C270B0,MText,"Service Road Plan 012 0281",L-TITLEDB-T,10.000000000000007
C270C4,MText,"Road Plan 2457 JY",L-TITLEDB-T,10.000000000000007
C27DAC,MText,"Road Plan 2457 JY",L-TITLEDB-T,10.000000000000007
C27DBA,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000005
C27DBB,DBText,"(Paved)",T-TEXT,10.000000000000005
C27DBC,MText,"Hwy. 43",L-TITLEDB-T,10.000000000000007
C27DBD,MText,"Road Plan 012 0281",L-TITLEDB-T,10.000000000000007
C27DBE,MText,"Service Road Plan 012 0281",L-TITLEDB-T,10.000000000000007
C27DBF,MText,"Lot 1 Block 1 Plan 052 0626",L-TITLEDB,10.000000000000007
C27DC4,MText,"Lot 4",L-TITLEDB,10.000000000000007
C28931,BlockReference,"FDI",L-MON,4.9984176
C28936,BlockReference,"FDI",L-MON,4.9984176
C2893B,BlockReference,"FDI",L-MON,4.9984176
C28940,BlockReference,"FDI",L-MON,4.9984176
C296A5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C296D6,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C296F7,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C3099E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C3099F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C309A0,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C3C657,DBText,"N.W.1/4 Sec. 22-71-7-W.6M.",C-SYMBOL,20.000000000000014
C3C658,MText,"Lot 1 Plan 012 1117",L-TITLEDB,10.000000000000007
C3CA4E,MText,"Lot 2 Plan 982 1504",L-TITLEDB,10.000000000000007
C3CA4F,MText,"Lot 3 Plan 992 5172",L-TITLEDB,10.000000000000007
C3CA50,AlignedDimension,"Telus  Fibre Optic R/W  942 2705",L-TITLEDB-T,Compass 5 000
C3CAC0,AlignedDimension,"Terra  P/L R/W  122 4026",F-RW,Compass 5 000
C3D057,AlignedDimension,"30.18 Road  4869 MC",L-TITLEDB-T,Compass 5 000
C3D089,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000005
C3D08A,DBText,"(Paved)",T-TEXT,10.000000000000005
C3D4B2,MText,"Lot 1 Plan 972 3786",L-TITLEDB,10.000000000000007
C3D8E3,MText,"Lot 5 Block 2 Plan 062 4508",L-TITLEDB,10.000000000000007
C3D8E4,MText,"Lot 3",L-TITLEDB,10.000000000000007
C3D8E5,MText,"Lot 2",L-TITLEDB,10.000000000000007
C3D8E6,MText,"Lot 6",L-TITLEDB,10.000000000000007
C3D8E7,MText,"Lot 7",L-TITLEDB,10.000000000000007
C3D8E8,MText,"Lot 8",L-TITLEDB,10.000000000000007
C3D8EA,MText,"Road Plan 012 0281",L-TITLEDB-T,10.000000000000007
C3D8EB,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000005
C3D8EC,MText,"Hwy. 43",L-TITLEDB-T,10.000000000000007
C3D8ED,DBText,"(Paved)",T-TEXT,10.000000000000005
C3D8EE,MText,"Road Plan 2457 JY",L-TITLEDB-T,10.000000000000007
C3D8EF,MText,"Road Plan 2457 JY",L-TITLEDB-T,10.000000000000007
C3D8F0,MText,"Road Plan 022 3708",L-TITLEDB-T,10.000000000000007
C3D8F1,AlignedDimension,"Telus  Fibre Optic R/W  942 2705",L-TITLEDB-T,Compass 5 000
C3E2E0,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000005
C3E2E1,DBText,"(Paved)",T-TEXT,10.000000000000005
C3E2E4,MText,"Lot 2 Plan 982 1504",L-TITLEDB,10.000000000000007
C3F02E,MText,"Proposed Gas Line",T-WATER,10.000000000000005
C3F424,BlockReference,"L-SECLBL",L-SECLBL,1
C3F930,MText,"Alta 14-22",F-RW,9.9968352
C3FD25,AlignedDimension,"Alta  A/R",F-AR-T,Compass 5 000
C3FD4B,DBText,"C. of T.",L-TITLEDB-T,9.9968352
C3FD4C,DBText,"N.E.1/4 Sec. 21-71-7-W.6M.",C-SYMBOL,20.000000000000014
C3FD4D,AlignedDimension,"ATCO  P/L RW  802 0069",C-RW,Compass 5 000
C48CCD,MText,"Lot 1 Block 2 Plan 192 3392",L-TITLEDB,10.000000000000007
C48CD6,MText,"Lot 2 Block 3 Plan 192 2410",L-TITLEDB,10.000000000000007
C48CDE,MText,"Lot 1",L-TITLEDB,10.000000000000007
C49134,MText,"ATCO Electric #403929",AS-POWER-OH-ATCO PIPELINES-5K,8.99715168
C49135,MText,"ATCO Electric #403928",AS-POWER-OH-ATCO PIPELINES-5K,8.99715168
C4A54B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A550,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A555,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A55A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A564,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A591,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A5B2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A5B7,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A5D8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4A5DD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
C4AC40,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9984176
