Handle,ObjType,Content,Layer,Extra
B15F14,BlockReference,"FDI",L-MON,5
B15F19,BlockReference,"FDI",L-MON,5
B2AA7F,DBText,"FDI CS",AS-TELUS-ATCO PIPELINES,0.2
B2AAA3,DBText,"RD_SHLDR",AS-TELUS-ATCO PIPELINES,0.2
B2AAA7,DBText,"SIGN",AS-TELUS-ATCO PIPELINES,0.2
B2AAAB,DBText,"CULVERT",AS-TELUS-ATCO PIPELINES,0.2
B2AAAF,DBText,"CULVERT",AS-TELUS-ATCO PIPELINES,0.2
B2AAB3,DBText,"RD_SHLDR",AS-TELUS-ATCO PIPELINES,0.2
B2AB3B,DBText,"FENCE1",AS-TELUS-ATCO PIPELINES,0.2
B2AB3F,DBText,"FENCE1",AS-TELUS-ATCO PIPELINES,0.2
B2AB43,DBText,"FENCE1 GATE",AS-TELUS-ATCO PIPELINES,0.2
B2AB47,DBText,"FENCE1 GATE",AS-TELUS-ATCO PIPELINES,0.2
B2AB4B,DBText,"FENCE1",AS-TELUS-ATCO PIPELINES,0.2
B2AB4F,DBText,"FENCE1 _CLINK",AS-TELUS-ATCO PIPELINES,0.2
B2AB5B,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2AB5F,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2AB63,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2AB67,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2AB6B,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2AB6F,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2AB73,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2AB77,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABA3,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABA7,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABAB,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABAF,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABB3,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABB7,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABBB,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABBF,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2ABC3,DBText,"PAD _GRAVEL",AS-TELUS-ATCO PIPELINES,0.2
B2AC4F,DBText,"L.PIPE",AS-TELUS-ATCO PIPELINES,0.2
B2AC53,DBText,"L.PIPE",AS-TELUS-ATCO PIPELINES,0.2
B2AC57,DBText,"L.PIPE",AS-TELUS-ATCO PIPELINES,0.2
B2ACAB,DBText,"L.GAS2",AS-TELUS-ATCO PIPELINES,0.2
B2ACB3,DBText,"L.GAS2",AS-TELUS-ATCO PIPELINES,0.2
B2ACB7,DBText,"L.GAS2",AS-TELUS-ATCO PIPELINES,0.2
B3999B,MText,"Lot 1A Block 1 Plan 142 3708",L-TITLEDB-T,10.000000000000018
B3B615,AlignedDimension,"5.00 Utility R/W  132 2083",L-TITLEDB,Compass 5 000
B46095,MText,"Lot 2 Block 4 Plan 132 2082",L-TITLEDB-T,10.000000000000018
B460A9,MText,"3A",L-TITLEDB-T,10.000000000000018
B460AB,MText,"3B",L-TITLEDB-T,10.000000000000018
B466BE,AlignedDimension,"Atco  P/L R/W   5522 HW",C-RW-T,Compass 5 000
B46C39,AlignedDimension,"Aquatera  P/L R/W   102 0713",C-RW-T,Compass 5 000
B46C6A,AlignedDimension,"114.00 Road  012 0361",L-TITLEDB-T,Compass 5 000
B47CA5,BlockReference,"*U21",L-TITLEDB-T,1
B4829B,BlockReference,"L-SECLBL",L-SECLBL,1
B482A2,DBText,"LOT 1, BLOCK 1, PLAN 192 0364",C-SYMBOL,20
B4926C,AlignedDimension,"30.18 Road   3327 MC",L-TITLEDB,Compass 5 000
B4B3A1,AlignedDimension,"10.00 Road  112 4910",L-TITLEDB,Compass 5 000
B4B3E3,MText,"Plan 1927 BQ",L-TITLEDB-T,8
B4B940,MText,"Block 1",L-TITLEDB-T,8
B4CA98,DBText,"Lot 23A",L-TITLEDB-T,8
B4CA99,DBText,"Block 3",L-TITLEDB-T,8
B4CAA4,DBText,"Lot 26",L-TITLEDB-T,8
B4CAA5,DBText,"Block 3",L-TITLEDB-T,8
B4CAA6,DBText,"Plan 202 0797",L-TITLEDB-T,8
B4D5A7,MText,"C. of T.",L-TITLEDB-T,10.000000000000018
B4E0CC,MText,"Road  Plan 5883 JY",L-TITLEDB-T,10.000000000000018
B4E0D8,MText,"Road Plan 1278 ET",L-TITLEDB-T,10.000000000000018
B4E74C,MText,"Lot 1 Block 1 Plan 172 3012",L-TITLEDB-T,10.000000000000018
B4E756,MText,"Lot 5ER Block 1 Plan 172 3012",L-TITLEDB-T,10.000000000000018
B521EF,MText,"Atco Gas Line Lic/Line.# 1571-29",EXISTING PIPE (EXIST OR HP),2
B521F2,BlockReference,"*U15",CG-NOTES,0.2
B521FD,BlockReference,"*U13",CG-NOTES,0.2
B52208,BlockReference,"*U14",CG-NOTES,0.2
B52215,BlockReference,"FDI",L-MON,1
B52217,MText,"Approximate Location of ATCO Natural Gas Distribution Customer Correspondence",AS-PIPE-UG,2
B52219,MText,"Atco Gas Line Lic/Line.# 1571-30",EXISTING PIPE (EXIST OR HP),2
B5221B,MText,"Road  Plan 5883 JY",L-TITLEDB-T,2
B5221D,MText,"Road  Plan 5883 JY",L-TITLEDB-T,2
B5221F,MText,"Road  Plan 5883 JY",L-TITLEDB-T,2
B53D9F,MText,"114.00 Road Plan 012 0361",L-TITLEDB-T,2
B548D6,BlockReference,"A$C21424DCD",AS-ROUTEMAP,0.2
B5514D,MText,"Buried Telus Cable",AS-TELUS-ATCO PIPELINES,2
B58369,DBText,"Government Road Allowance",L-ROAD-T,10
B5836A,DBText,"(Paved)",T-TEXT,10
B585AE,DBText,"HWY. 2",L-TITLEDB-T,2.0000000000000036
B585AF,DBText,"Road",L-TITLEDB-T,2.0000000000000036
B585B0,DBText,"Plan 002 0755",L-TITLEDB-T,2.0000000000000036
B585B1,DBText,"Road",L-TITLEDB-T,2
B585B2,DBText,"Plan 1920363",L-TITLEDB-T,2
B585CF,MText,"Fd.I. c.s.",L-MON,2
B585E3,MText,"Light Pole",T-TEXT,2
B585F6,DBText,"(Paved)",T-TEXT,10
B58CA0,MText,"Closed Portion of  Road Plan 5883 JY",L-TITLEDB-T,10.000000000000018
B58CD7,MText,"Road Plan 5883 JY",L-TITLEDB-T,2
B58CDC,DBText,"Road",L-TITLEDB-T,10.000000000000018
B58CDD,DBText,"Plan 5883 JY",L-TITLEDB-T,10.000000000000018
B58FE8,MText,"Road Plan 3327 MC",L-TITLEDB,2
B5901D,DBText,"Government Road Allowance",L-ROAD-T,2
B59026,DBText,"(Paved)",T-TEXT,2
B5902F,MText,"Buried Telus Cable",AS-TELUS-ATCO PIPELINES,9.997255299999813
B59039,MText,"Buried Telus Cable",AS-TELUS-ATCO PIPELINES,9.997255299999813
B59043,MText,"Approximate Location of ATCO Natural Gas Distribution Customer Correspondence",AS-PIPE-UG,9.997255299999813
B596E2,BlockReference,"VALVE",AS-SYMBOL,1
B596E3,BlockReference,"riser",AS-SYMBOL,1
B596E4,BlockReference,"riser",AS-SYMBOL,1
B59DE7,BlockReference,"VALVE",AS-SYMBOL,1
B59DE8,BlockReference,"riser",AS-SYMBOL,1
B59DE9,BlockReference,"VALVE",AS-SYMBOL,1
B59EDA,BlockReference,"*U30",AS-OWNER,1
B59FB4,MText,"Fd.I. c.s.",L-MON,10
B59FF6,BlockReference,"*U31",DETAIL-T,1
B5A038,MText,"104 Ave.",L-TITLEDB-T,10
B5A042,MText,"103 Ave.",L-TITLEDB-T,10
B5A04C,MText,"102 Ave.",L-TITLEDB-T,10
B5A056,MText,"101 Ave.",L-TITLEDB-T,10
B661FD,BlockReference,"RP",35,0.2
B6631B,MText,"Closed Portion of  Road Plan 5883 JY",L-TITLEDB-T,2.0000000000000036
B66AB5,BlockReference,"*U32",DETAIL-T,0.2
