Handle,ObjType,Content,Layer,Extra
BB53D7,BlockReference,"Disclaimer_Legal",0,0.25
BB69C3,DBText,"TOWNSHIP 73",D-TXT,9.999999999999964
BB69C4,DBText,"RANGE 9",D-TXT,9.999999999999964
BB69C6,DBText,"RGE. RD. 93",D-TXT,9.997458200000034
BB69C9,BlockReference,"*U28",ROUTE-MAP-LABELS,1
BB69E2,BlockReference,"HWY-SEC",AUX-LABELS,1
BB69E5,BlockReference,"HWY-SEC",AUX-LABELS,1
BB69E8,BlockReference,"*U29",DETAIL-T,0.9995141290194928
BB69F6,MText,"LOCATION MAP",DETAIL-T,19.990282580389987
BB69F8,BlockReference,"*U30",CG-NOTES,1
BB6A0C,MText,"LEGEND ACCESS ROUTE SHOWN THUS: COUNTY BOUNDARY SHOWN THUS:",CG-NOTES,9.997458200000025
BB6A31,DBText,"LA GLACE LAKE",T-WATER-T,9.999999999999956
BB6A32,DBText,"BUSH LAKE",T-WATER-T,9.999999999999956
BB6A33,MText,"ANDERSON  LAKE",T-WATER-T,9.999999999999956
BB6A34,BlockReference,"*U31",ROUTE-MAP-LABELS,1
BB6A51,BlockReference,"*U32",ROUTE-MAP-LABELS,1
BB6A6A,DBText,"TWP. RD. 734",D-TXT,9.997458200000034
BB6A6B,MText,"2.0km",0,8.000000000000027
BB6A6C,MText,"1.5km",0,8.000000000000027
BB6A6D,MText,"0.45km",0,8.000000000000027
BB6A6E,MText,"Landfill",AS-RESIDENCE,9.991009790741588
BB6A6F,DBText,"A",AS-RESIDENCE,9.999999999999993
BB6A70,BlockReference,"*U25",L-2,1.0003951777343736
BB6A7E,MText,"AER SCHEDULE 4.3 INFORMATION",DETAIL-T,20.007903554687474
BB6A80,BlockReference,"*U26",CG-NOTES,1.0003951777343736
BB6A87,BlockReference,"*U27",ROUTE-MAP-LABELS,0.99974627
BB6AE6,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AE7,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AE8,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AE9,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AEA,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AEB,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AEC,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AED,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AEE,BlockReference,"res_other",AS-RESIDENCE,5
BB6AEF,BlockReference,"res_occ",AS-RESIDENCE,5
BB6AF2,MText,"0.5km",0,8.000000000000027
