Handle,ObjType,Content,Layer,Extra
B2D7A7,BlockReference,"*U28",AS-WILDLIFE-BLOCK,1
B2D849,MText,"N.E.1/4 Sec. 24-52-24-W.4M.",C-SYMBOL,19.99999999999996
B2DD6B,BlockReference,"*U24",CG-NOTES,0.09999999999999994
B2DD76,BlockReference,"*U27",CG-NOTES,0.09999999999999994
B2DD81,BlockReference,"*U26",CG-NOTES,0.09999999999999994
B2DD8C,BlockReference,"*U25",CG-NOTES,0.09999999999999994
B2DD97,BlockReference,"*U24",CG-NOTES,0.09999999999999994
B2DDA2,BlockReference,"*U26",CG-NOTES,0.09999999999999994
B2DDAD,BlockReference,"*U25",CG-NOTES,0.09999999999999994
B2DDB8,BlockReference,"*U24",CG-NOTES,0.09999999999999994
B2DDC3,BlockReference,"*U24",CG-NOTES,0.09999999999999994
B2DDCE,BlockReference,"*U25",CG-NOTES,0.09999999999999994
B2DDE4,BlockReference,"*U24",CG-NOTES,0.09999999999999994
B2DDEF,BlockReference,"*U24",CG-NOTES,0.09999999999999994
B2DDFA,BlockReference,"*U26",CG-NOTES,0.09999999999999994
B2DE05,BlockReference,"*U25",CG-NOTES,0.09999999999999994
B2DE37,BlockReference,"*U57",_P-Temp 3,0.09999999999999994
B2DE4C,BlockReference,"*U59",_P-Temp 3,0.09999999999999994
B2DE6A,MText,"Catch Basin",AS-SEISMIC,0.8999999999999995
B2DE6C,MText,"Buried  Telus Cable",AS-TELUS-ATCO PIPELINES,0.8999999999999995
B2DE6E,MText,"Manhole",AS-WATER PIPE,0.8999999999999995
B2DE70,MText,"Manhole",AS-WATER PIPE,0.8999999999999995
B2DE71,BlockReference,"SP",AS-SEISMIC,0.4999999999999997
B2DE72,MText,"Fire Hydrant",AS-WATER PIPE,0.8999999999999995
B2DE73,MText,"Water Valve",AS-WATER PIPE,0.8999999999999995
B2DE79,MText,"ATCO Buried  Power Line",AS-POWER-OH-ATCO PIPELINES,0.8999999999999995
B2DE7C,MText,"Monitoring Well (Typ.)",AS-WATER PIPE,0.8999999999999995
B2DE81,MText,"Monitoring  Well",AS-WATER PIPE,0.8999999999999995
B2DE8D,MText,"Power Pedestal",AS-POWER,0.8998347177
B2DE90,MText,"ATCO Lic/Line# 9414-40",EXISTING PIPE (EXIST OR HP),0.8998347177
B2DE92,MText,"ATCO Lic/Line# 9413-71",EXISTING PIPE (EXIST OR HP),0.8998347177
B2DE94,MText,"ATCO Lic/Line# 9416-49 (Viking 3)",EXISTING PIPE (EXIST OR HP),0.8998347177
B2DE96,MText,"ATCO Lic/Line# 9417-15 (Viking 4)",EXISTING PIPE (EXIST OR HP),0.8998347177
B2DE98,MText,"Keyera Lic/Line# 7005-13",AS-PIPE-UG,0.8998347176999999
B2DE9A,MText,"Keyera Lic/Line# 50788-4",AS-PIPE-UG,0.8998347176999999
B2DE9C,MText,"Keyera Lic/Line# 50788-6",AS-PIPE-UG,0.8998347176999999
B2DE9E,MText,"Keyera Lic/Line# 50724-8",AS-PIPE-UG,0.8998347176999999
B2DEA0,MText,"Keyera Lic/Line# 50787-3",AS-PIPE-UG,0.8998347176999999
B2DEA2,MText,"Lot 29, Block 6, Plan 782 2219",C-SYMBOL,1.7996694354
B2DEA3,DBText,"Workspace Outside ATCO R/W= 0.308 ha  0.76 Ac.",L-AREAREQUIRED,1.0997979883
B2DEA4,MText,"ATCO Buried  Power Line",AS-POWER-OH-ATCO PIPELINES,0.8999999999999995
B2DEA7,BlockReference,"*U28",AS-WILDLIFE-BLOCK,0.0999816353
B2DEBC,BlockReference,"*U24",CG-NOTES,0.09999999999999994
B2DEC7,BlockReference,"*U24",CG-NOTES,0.09999999999999994
B2DED2,BlockReference,"*U26",CG-NOTES,0.09999999999999994
B2DEDD,BlockReference,"*U25",CG-NOTES,0.09999999999999994
B2DEE8,MText,"Power Pedestal (Typ.)",AS-POWER,0.8998347177
B2DEEF,MText,"Approximate Distribution Line Location (Not Located at the Time of Survey)",EXISTING PIPE IP-T,0.8998347177
B2DEF3,BlockReference,"*U72",7,0.09999999999999994
B2DF12,MText,"Building",AS-GENERAL,0.8999999999999995
B2DF13,MText,"Gate",AS-GENERAL,0.8999999999999995
B2DF14,MText,"Building",AS-GENERAL,0.8999999999999995
B2DF15,MText,"Seacan",AS-GENERAL,0.8999999999999995
B2DF16,MText,"Tank",AS-GENERAL,0.8999999999999995
B2DF17,MText,"Riser",AS-GENERAL,0.8999999999999995
B2DF18,MText,"Riser",AS-GENERAL,0.8999999999999995
B2DF19,MText,"Riser",AS-GENERAL,0.8999999999999995
B2DF1A,MText,"Riser",AS-GENERAL,0.8999999999999995
B2DF1C,MText,"Panel",AS-GENERAL,0.8999999999999995
B2DF1F,MText,"Panel",AS-GENERAL,0.8999999999999995
B2DF21,MText,"Gate",AS-GENERAL,0.8999999999999995
B2DF22,BlockReference,"*U30",DETAIL-T,1
B2DF34,MText,"SEE DETAIL",DETAIL-T,16
B2DF36,BlockReference,"*U58",DETAIL-T,1
B2DF48,BlockReference,"*U71",DETAIL-T,0.0999816353
B2DF5A,BlockReference,"*U66",DETAIL-T,0.1
B2DF6C,MText,"34 Street",L-TITLEDB-T,9.999999999999991
B2DF6D,MText,"Block 6 Lot 29 Plan 782 2219",L-TITLEDB-T,9.99816353
B2DF6F,MText,"76 Ave.",L-TITLEDB-T,9.999999999999991
B2DF70,MText,"76 Ave.",L-TITLEDB-T,9.999999999999991
B2DF71,MText,"76 Ave.",L-TITLEDB-T,0.8999999999999995
B2DF72,MText,"C. of T.",L-TITLEDB-T,0.9
B2DF74,MText,"Paved",L-TITLEDB-T,0.8999999999999995
B2DF75,MText,"Edge of Asphalt",T-TEXT,0.9
B2DF7C,BlockReference,"*U65",AS-POWER-T,0.1
B2DF97,BlockReference,"*U64",AS-OWNER,1
B2DFAC,BlockReference,"*U63",AS-OWNER,0.1
B2DFC1,BlockReference,"POLE26",0,1
B2DFC2,BlockReference,"POLE62",0,1
B2DFC3,BlockReference,"POLE86",0,1
B2DFC4,BlockReference,"Pile",0,4.999081765
B2DFC5,BlockReference,"Pile",0,0.4999999999999994
B2DFC6,BlockReference,"DAV10",0,1
B2DFC7,BlockReference,"Pile",0,4.999081765
B2DFC8,BlockReference,"Pile",0,5
B2DFC9,BlockReference,"Pile",0,5
B2DFCA,BlockReference,"*U67",0,0.09999999999999994
B2DFD5,BlockReference,"*U68",0,0.09999999999999994
B2DFE0,BlockReference,"*U68",0,0.09999999999999994
B2DFEB,BlockReference,"*U68",0,0.09999999999999994
B2DFF6,BlockReference,"*U68",0,0.09999999999999994
B2E001,BlockReference,"*U69",0,0.09999999999999994
B2E00C,BlockReference,"*U70",0,0.09999999999999994
B2E017,BlockReference,"*U73",0,0.09999999999999994
B2E022,BlockReference,"*U74",0,0.09999999999999994
B2E02D,BlockReference,"*U70",0,0.09999999999999994
B2E038,BlockReference,"*U70",0,0.09999999999999994
B2E043,BlockReference,"*U70",0,0.09999999999999994
B2E04E,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,5
B2E04F,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,5
B2E050,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,0.49990817649999997
B2E051,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,0.49990817649999997
B2E052,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,0.49990817649999997
B2E053,BlockReference,"lightpole",AS-SYMBOL,4.999081765
B2E054,BlockReference,"lightpole",AS-SYMBOL,4.999081765
B2E055,BlockReference,"lightpole",AS-SYMBOL,4.999081765
B2E056,BlockReference,"lightpole",AS-SYMBOL,4.999081765
B2E057,BlockReference,"RISER",AS-SYMBOL,4.999081765
B2E058,BlockReference,"RISER",AS-SYMBOL,4.999081765
B2E059,BlockReference,"RISER",AS-SYMBOL,4.999081765
B2E05A,BlockReference,"RISER",AS-SYMBOL,4.999081765
B2E05B,BlockReference,"lightpole",AS-SYMBOL,4.999081765
B2E05C,BlockReference,"lightpole",AS-SYMBOL,4.999081765
B2E05D,BlockReference,"lightpole",AS-SYMBOL,0.4999999999999997
B2E05E,BlockReference,"lightpole",AS-SYMBOL,0.4999999999999997
B2E05F,BlockReference,"RISER",AS-SYMBOL,0.49999999999999806
