Handle,ObjType,Content,Layer,Extra
BC8752,DBText,"RP",35,9.999769999999979
BC875B,BlockReference,"L-SECLBL",L-SECLBL,0.999977
BC8765,MText,"L.S. 9",L-SECTION-LSD,9.999769999999979
BC8767,MText,"L.S. 10",L-SECTION-LSD,9.999769999999979
BC8769,MText,"L.S. 16",L-SECTION-LSD,9.999769999999979
BC876B,MText,"L.S. 15",L-SECTION-LSD,9.999769999999979
BCB6AB,AlignedDimension,"BTG  P/L R/W  022 2473",F-RW,Compass 5 000
BCDDB3,MText,"Lot 1 Block 1 Plan 782 1032",L-TITLEDB-T,9.999999999999982
BCDFA1,MText,"C. of T.",L-TITLEDB-T,9.999999999999982
BCDFAF,MText,"Rge. 28",D-TXT,13.999677999999983
BCDFB0,MText,"Rge. 1",D-TXT,13.999677999999983
BCDFB1,MText,"W.4M",D-TXT,13.999677999999983
BCE154,MText,"W.5M",D-TXT,13.999677999999983
BCF375,MText,"Block A Plan 1674 RS",L-TITLEDB-T,9.999999999999982
BCF391,BlockReference,"HRV",CG-NOTES,0.999977
BD0EFF,AlignedDimension,"30.48 Road  2734 NY",L-TITLEDB,Compass 5 000
BD0F38,AlignedDimension,"40.24 Road  952 5144",L-TITLEDB,Compass 5 000
BD1AD9,MText,"Road Widening Plan 112 4224",L-TITLEDB-T,9.999769999999987
BD1C7C,MText,"Blindman River",T-WATER-T,9.999769999999987
BD1E98,DBText,"Government Road Allowance",L-ROAD-T,9.999769999999991
BD1EA7,DBText,"(High Grade Gravel)",T-TEXT,9.999769999999991
BD1EA9,DBText,"Government Road Allowance",L-ROAD-T,9.999769999999991
BD1EAA,DBText,"(Paved)",T-TEXT,9.999769999999991
BD3142,BlockReference,"GAS",F-WS-S,4.999884999999996
BD314D,BlockReference,"res_occ",AS-RESIDENCE,4.999884999999996
BD3A5F,BlockReference,"res_occ",AS-RESIDENCE,4.999884999999996
BD3A60,MText,"Residence",AS-RESIDENCE,9.999769999999987
BD3A61,MText,"N.E.1/4 Sec. 24-39-1-W.5M.",C-SYMBOL,19.999539999999957
BD55E3,BlockReference,"*U25",CG-NOTES,0.999977
BD615B,MText,"Residence",AS-RESIDENCE,9.999769999999987
BD6AC0,MText,"Fortis O/H Power Line",AS-POWER-T,9.999769999999991
BD6C64,MText,"Telus Buried Cable",AS-TELUS,9.999769999999991
BD7589,MText,"Fortis O/H Power Line",AS-POWER-T,9.999769999999991
BDEEFD,MText,"SEE DETAIL",DETAIL-T,15.999631999999997
BDEF25,DBText,"177%%d38'",L-BD,9.999769999999996
BDF0DC,BlockReference,"TEMP",L-MON,4.999884999999998
BDF0DD,BlockReference,"TEMP",L-MON,4.999884999999998
BDF0DF,DBText,"177%%d38'",L-BD,9.999769999999996
BDF0E4,BlockReference,"TEMP",L-MON,4.999884999999998
BDF0E5,BlockReference,"TEMP",L-MON,4.999884999999998
BDF0EA,DBText,"267%%d38'",L-BD1,9.999769999999996
BDF0EF,MText,"177°38'",L-BD,9.999769999999996
BDF0F1,MText,"177°38'",L-BD,9.999769999999996
BDF0F2,MText,"Telus Buried Cable",AS-TELUS,9.999769999999991
BDF0F3,DBText,"Government Road Allowance",L-ROAD-T,9.999769999999991
BDF0F7,MText,"Road Widening Plan 112 4224",L-TITLEDB-T,9.999769999999987
BDF0FA,MText,"Fortis O/H Power Line",AS-POWER-T,9.999769999999991
BDF2A4,MText,"Approximate Location of Gull Lake Deer Creek Gas Co-op Ltd.",AS-PIPE-UG-T,9.999769999999987
BDF2A6,MText,"Block A Plan 1674 RS",L-TITLEDB-T,9.999999999999982
BE045D,MText,"DETAIL SCALE 1:500",DETAIL-T,19.999539999999993
BE7CD3,MText,"EQUS O/H Power Line",AS-POWER-T,9.999769999999991
BE9A3C,AlignedDimension,"6.0 DLO",P-TXT,Compass 5 000
BEF908,MText,"Lot 2 Block 1 Plan 032 1209",L-TITLEDB-T,9.999999999999982
BF0388,MText,"EQUS O/H Power Line",AS-POWER-T,9.999769999999991
BF0389,MText,"EQUS O/H Power Line",AS-POWER-T,9.999769999999991
BF038A,DBText,"Lot 1",L-TITLEDB-T,9.999999999999982
BF038D,MText,"Block 1",L-TITLEDB-T,9.999999999999982
BF038E,MText,"Plan 032 1207",L-TITLEDB-T,9.999999999999982
BF18AD,MText,"(High Grade Gravel)",T-TEXT,9.999769999999991
BF3C57,DBText,"175.9 (Tie)",L-BD,9.99977
BF3C58,DBText,"0%%d31'",L-BD,9.99977
BF3C59,MText,"0°31' 175.9 (Tie)",L-BD,9.99977
BF453F,MText,"Rge. 28",D-TXT,13.999677999999983
BF4540,MText,"W.4M",D-TXT,13.999677999999983
BF4543,MText,"Rge. 1",D-TXT,13.999677999999983
BF4544,MText,"W.5M",D-TXT,13.999677999999983
BF5724,MText,"177°38'",L-BD,9.99977
BF61E6,MText,"BTG 15-24",F-RW,9.99977
BF73B8,MText,"CNRL (27356-1) Discontinued",T-EXISTING RTF,9.999769999999987
BF73BB,MText,"Gull Lake Deer Creek Gas Co-op Ltd.",AS-PIPE-UG-T,9.999769999999987
BF73BC,MText,"Approximate Location of",AS-PIPE-UG-T,9.999769999999987
BF8E6C,MText,"E.1/2 OF THE",C-SYMBOL,19.999539999999957
BFD56C,MText,"Culvert Crossing = 0.005 ha  0.01 Ac.",L-AREAREQUIRED,11
C04323,BlockReference,"Disclaimer_Legal",0,0.49782501774832816
