Handle,ObjType,Content,Layer,Extra
BC9AF4,DBText,"Twp. 40",D-TXT,13.997746000000026
BCB650,DBText,"RP",35,9.998389999999999
BCB669,BlockReference,"L-SECLBL",L-SECLBL,0.9998389999999999
BCB66F,BlockReference,"L-SECLBL",L-SECLBL,0.9998389999999999
BCECBF,MText,"L.S. 9",L-SECTION-LSD,9.998389999999999
BCECC1,MText,"L.S. 10",L-SECTION-LSD,9.998389999999999
BCECC3,MText,"L.S. 16",L-SECTION-LSD,9.998389999999999
BCECC5,MText,"L.S. 15",L-SECTION-LSD,9.998389999999999
BCECC7,MText,"L.S. 11",L-SECTION-LSD,9.998389999999999
BCECC9,MText,"L.S. 12",L-SECTION-LSD,9.998389999999999
BCECCB,MText,"L.S. 14",L-SECTION-LSD,9.998389999999999
BCECCC,MText,"L.S. 13",L-SECTION-LSD,9.998389999999999
BCECDB,DBText,"(High Grade Gravel)",T-TEXT,9.998389999999999
BCECDC,DBText,"Government Road Allowance",L-ROAD-T,9.998389999999999
BCECDE,DBText,"(High Grade Gravel)",T-TEXT,9.998389999999999
BCECDF,DBText,"Government Road Allowance",L-ROAD-T,9.998389999999999
BCECE1,DBText,"(High Grade Gravel)",T-TEXT,9.998389999999999
BCECE2,DBText,"Government Road Allowance",L-ROAD-T,9.998389999999999
BCF5F7,DBText,"Twp. 40",D-TXT,13.997746000000026
BCF5F8,DBText,"Twp. 41",D-TXT,13.997746000000026
BD4209,AlignedDimension,"Journey  P/L R/W  972 2781",F-RW-T,Compass 5 000
BD422E,AlignedDimension,"I3  P/L R/W  932 0128",F-RW-T,Compass 5 000
BD429E,AlignedDimension,"I3  P/L R/W  932 0128",F-RW-T,Compass 5 000
BD42C6,AlignedDimension,"Plains  P/L R/W  932 0855",F-RW-T,Compass 5 000
BD4494,AlignedDimension,"Journey  P/L R/W  972 2781",F-RW-T,Compass 5 000
BD571B,AlignedDimension,"I3  P/L R/W  962 1920",F-RW-T,Compass 5 000
BD5747,AlignedDimension,"I3  P/L R/W  102 0961",F-RW-T,Compass 5 000
BD5778,AlignedDimension,"I3  P/L R/W  852 0570",F-RW-T,Compass 5 000
BD57B3,AlignedDimension,"I3  P/L R/W  852 0550",F-RW-T,Compass 5 000
BD57FF,AlignedDimension,"I3  P/L R/W  932 1527",F-RW-T,Compass 5 000
BD5842,AlignedDimension,"45.72 Power Line R/W  3126 MC",F-RW-T,Compass 5 000
BD5A20,MText,"N.W.1/4 Sec. 33-40-3-W.5M.",C-SYMBOL,19.996779999999998
BD65B9,MText,"Telus Buried Cable",AS-TELUS,9.998160037029992
BD82A8,MText,"Telus Buried Cable",AS-TELUS,9.998160037029992
BD82A9,MText,"Fortis O/H Power Line",AS-POWER-T,9.998160037029992
BD9DE4,MText,"Telus Buried Cable",AS-TELUS,9.998160037029992
BDB3DC,MText,"Approximate Location of Gull Lake Deer Creek Gas Co-op Ltd.",AS-PIPE-UG-T,9.99976999999999
BDB458,BlockReference,"GABD",F-WS-S,4.999194999999999
BDB459,BlockReference,"GABD",F-WS-S,4.999194999999999
BDB45A,BlockReference,"GABD",F-WS-S,4.999194999999999
BDB45B,BlockReference,"GABD",F-WS-S,4.999194999999999
BDB46D,AlignedDimension,"I3  P/L R/W  962 1919",F-RW-T,Compass 5 000
BDB4B0,MText,"I3 13-33 (Abd.)",F-WS-T,9.998389999999999
BDB653,MText,"102/13-33 (Abd.)",F-WS-T,9.998389999999999
BDB654,MText,"I3 11-33 (Abd.)",F-WS-T,9.998389999999999
BDB655,MText,"I3 14-33 (Abd.)",F-WS-T,9.998389999999999
BDB66F,AlignedDimension,"I3  A/R",F-AR-T,Compass 5 000
BDB6BB,AlignedDimension,"I3  A/R",F-AR-T,Compass 5 000
BDC008,AlignedDimension,"I3  A/R",F-WS-T,Compass 5 000
BDC957,BlockReference,"GAS",F-WS-S,4.999194999999999
BDD27A,AlignedDimension,"Journey  A/R",F-AR-T,Compass 5 000
BDF7A5,BlockReference,"*U37",CG-NOTES,0.9998389999999999
BE02B6,AlignedDimension,"Journey  P/L R/W  962 0404",F-RW-T,Compass 5 000
BE2590,BlockReference,"TEMP",L-MON,4.999194999999999
BE2591,BlockReference,"TEMP",L-MON,4.999194999999999
BE2593,BlockReference,"TEMP",L-MON,4.999194999999999
BE25A4,BlockReference,"TEMP",L-MON,4.999194999999999
BE25A5,BlockReference,"TEMP",L-MON,4.999194999999999
BE25A7,BlockReference,"TEMP",L-MON,4.999194999999999
BE2EE8,MText,"20.1 calc.",L-BD,9.998389999999999
BE2EEC,DBText,"268%%d24'",L-BD1,9.998389999999999
BE2EEE,DBText,"88%%d24'",L-BD1,9.998389999999999
BE2EEF,AlignedDimension,"15.0 DLO",P-TXT,Compass 5 000
BE2F1F,AlignedDimension,"15.0 DLO",P-TXT,Compass 5 000
BE387E,DBText,"Government Road Allowance",L-ROAD-T,9.998389999999999
BE3881,MText,"(High Grade Gravel)",T-TEXT,9.998389999999999
BE3882,MText,"Telus Buried Cable",AS-TELUS,9.998160037029992
BE3890,MText,"DETAIL SCALE 1:500",DETAIL-T,19.996320074059994
BE5492,BlockReference,"*U41",CG-NOTES,0.9998160037030004
BEA71A,MText,"N.E.1/4 Sec. 32-40-3-W.5M.",C-SYMBOL,19.996779999999998
BEA71B,MText,"Culvert Crossing = 0.014 ha  0.03 Ac.",L-AREAREQUIRED,10.998228999999998
BEA729,MText,"SEE DETAIL",DETAIL-T,15.997423999999999
BEAFDD,MText,"Culvert Crossing = 0.012 ha  0.03 Ac.",L-AREAREQUIRED,10.998228999999998
BEC18E,MText,"Twp. 41",D-TXT,13.997746000000026
BEC191,MText,"Fortis O/H Power Line",AS-POWER-T,9.998160037029992
BF2208,DBText,"311.5 (Tie)",L-BD,9.998389999999999
BF2209,DBText,"183%%d32'",L-BD,9.998389999999999
BF22FD,DBText,"518.3 (Tie)",L-BD,9.998389999999999
BF22FE,DBText,"179%%d25'",L-BD,9.998389999999999
BF2305,DBText,"518.3 (Tie)",L-BD,9.998389999999999
BF2306,DBText,"179%%d25'",L-BD,9.998389999999999
BF2308,DBText,"311.5 (Tie)",L-BD,9.998389999999999
BF2309,DBText,"183%%d32'",L-BD,9.998389999999999
BF2317,DBText,"178%%d24'",L-BD,9.998389999999999
BF231B,DBText,"178%%d24'",L-BD,9.998389999999999
BF2E65,MText,"Journey 10-32",F-WS-T,9.998389999999999
BFAA4D,BlockReference,"Disclaimer_Legal",0,0.8
