Handle,ObjType,Content,Layer,Extra
AFD1ED,BlockReference,"L-SECLBL",L-SECLBL,1
AFD1F3,BlockReference,"L-SECLBL",L-SECLBL,1
AFD1FB,MText,"Rge. 11",D-TXT,13.99999999999999
AFD1FC,MText,"Rge. 10",D-TXT,13.99999999999999
AFD344,DBText,"N.W.1/4 Sec. 30-64-10-W.5M.",0,19.99999999999994
AFD34C,MText,"Blue Ridge ISP 050181",F-WS,9.99999999999997
AFD363,AlignedDimension,"ATCO  Power Line R/W  912 0781  900176",C-EZE-T,Compass 5 000
AFD3CF,AlignedDimension,"(Not on PLSR) 7.62 R/W P/L  3739 TR",F-RW,Compass 5 000
AFD3D2,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999997
AFD3ED,MText,"Conifer Plant Site Plan 3323 RS MLL 220041",F-WS-T,9.99999999999997
AFD3EF,AlignedDimension,"Plains  P/L R/W  5348 RS   4145",F-RW-T,Compass 5 000
AFD3F0,AlignedDimension,"ATCO  P/L R/W  4785 MC  1174",C-RW-T,Compass 5 000
AFD3F1,AlignedDimension,"Plains  P/L R/W  4785 MC  966",F-RW-T,Compass 5 000
AFD3F3,MText,"Pembina Meter Station Site Plan 852 1802  PIL 860067",F-WS-T,9.99999999999997
AFD3F6,MText,"Nova 6.10 A/R DLO 2825",F-AR-T,9.99999999999997
AFD3FC,AlignedDimension,"Razor  P/L R/W  918 RS   3365",F-WS-T,Compass 5 000
AFD3FD,AlignedDimension,"Razor  P/L R/W  3984 RS  3830",F-RW-T,Compass 5 000
AFD3FE,MText,"Conifer Fire Protection LOC 5144",F-AR-T,9.99999999999997
AFD400,AlignedDimension,"Razor  P/L R/W  862 2127  850436",F-RW-T,Compass 5 000
AFD401,AlignedDimension,"Conifer  A/R  4842",F-AR-T,Compass 5 000
AFD48B,AlignedDimension,"Razor  P/L R/W  832 2906  830291",F-RW,Compass 5 000
AFD6B8,AlignedDimension,"Crescent Point  P/L R/W  151529",F-RW,Compass 5 000
AFD6BA,AlignedDimension,"Conifer  A/R  4753",F-AR-T,Compass 5 000
AFD6BB,AlignedDimension,"Conifer  A/R  5645 MC  1679",F-EZE-T,Compass 5 000
AFD6BC,AlignedDimension,"ATCO  Power Line R/W  890225",C-EZE-T,Compass 5 000
AFD6BD,AlignedDimension,"ATCO  Power Line R/W  130023",C-EZE-T,Compass 5 000
AFD6BE,AlignedDimension,"ATCO  Power Line R/W  852 1011  840179",C-EZE-T,Compass 5 000
AFD6BF,AlignedDimension,"Conifer  A/R  5645 MC  1679",C-EZE-T,Compass 5 000
AFD6C0,AlignedDimension,"ATCO  Power Line R/W  1745",C-EZE-T,Compass 5 000
AFD6C1,MText,"ATCO 15.00 Power Line R/W EZE 910028",C-EZE-T,9.99999999999997
AFD6C3,AlignedDimension,"ATCO  Power Line R/W  902 1425  890417",C-EZE-T,Compass 5 000
AFD6D0,AlignedDimension,"ATCO  Power Line R/W  790148",C-EZE-T,Compass 5 000
AFD6D1,AlignedDimension,"ATCO  Power Line R/W  8521010  860288",C-EZE-T,Compass 5 000
AFD6D6,AlignedDimension,"ATCO  Power Line R/W   1495",C-EZE-T,Compass 5 000
AFD6D7,AlignedDimension,"Power Line R/W  900149",C-EZE-T,Compass 5 000
AFD6E7,AlignedDimension,"Razor  P/L R/W  4687 TR  5187",F-RW-T,Compass 5 000
AFD6E9,MText,"Conifer Plant Site Plan 852 0211 MLL 840165",F-RW-T,9.99999999999997
AFD6EB,MText,"Conifer Plant Site Plan 892 2311 MSL 890828",F-RW-T,9.99999999999997
AFD6ED,AlignedDimension,"Conifer  A/R  1044",F-RW-T,Compass 5 000
AFD6F0,AlignedDimension,"ATCO  P/L R/W  4785 MC  1174",C-RW-T,Compass 5 000
AFD6F2,MText,"Conifer Storage Site MLL 220057",F-RW-T,9.99999999999997
AFD6F5,MText,"ATCO Sub Station Plan 902 0321 DML 890164 (Expired)",F-RW-T,9.99999999999997
AFD6F7,AlignedDimension,"CNRL  P/L R/W  150419",F-RW-T,Compass 5 000
AFD6F8,AlignedDimension,"Conifer  P/L R/W  6381 NY  2753",F-RW-T,Compass 5 000
AFD6F9,AlignedDimension,"Conifer  P/L R/W  5930 MC  1213",F-RW-T,Compass 5 000
AFD700,AlignedDimension,"Conifer  P/L R/W  060050",F-RW-T,Compass 5 000
AFD701,AlignedDimension,"CNRL  P/L R/W  100277",F-RW-T,Compass 5 000
AFD72A,MText,"Conifer Sanitary Landfill Site LOC 4886",F-RW-T,9.99999999999997
AFD72C,AlignedDimension,"Razor  P/L R/W  862 1871  840405",F-RW-T,Compass 5 000
AFD72D,MText,"Conifer Camp Site LOC 4842",F-RW-T,9.99999999999997
AFD72F,AlignedDimension,"Razor  P/L R/W  772 1344  770014",F-RW-T,Compass 5 000
AFD730,AlignedDimension,"Plains  P/L R/W  4492 TR  5240",F-RW-T,Compass 5 000
AFD731,AlignedDimension,"Razor  P/L R/W  2283 TR  5021",F-RW-T,Compass 5 000
AFD732,AlignedDimension,"Razor  P/L R/W  812 1208  790264",F-RW-T,Compass 5 000
AFD733,AlignedDimension,"Razor  P/L R/W  812 1208  790264",F-RW-T,Compass 5 000
AFD734,AlignedDimension,"CNRL  P/L R/W  150419",F-RW-T,Compass 5 000
AFD735,AlignedDimension,"Conifer  P/L R/W  3046 TR  4813",F-RW-T,Compass 5 000
AFD736,AlignedDimension,"Plains  P/L R/W  5326",F-RW-T,Compass 5 000
AFD737,AlignedDimension,"ATCO  P/L R/W  902 0172  890531",F-RW-T,Compass 5 000
AFD73A,AlignedDimension,"Conifer  P/L R/W  4980 RS  4202",F-RW-T,Compass 5 000
AFD73C,AlignedDimension,"ATCO  P/L R/W  752 0110  5791",C-RW-T,Compass 5 000
AFD73D,AlignedDimension,"ATCO  P/L R/W  5851 MC  1935",C-RW-T,Compass 5 000
AFD73E,AlignedDimension,"Conifer  P/L R/W  5800 NY  2576",F-RW-T,Compass 5 000
AFD73F,AlignedDimension,"Conifer  P/L R/W  5851 MC  1211",F-RW-T,Compass 5 000
AFD740,AlignedDimension,"Pembina  P/L R/W  940 0618  930124",F-RW-T,Compass 5 000
AFD741,AlignedDimension,"CNRL  P/L R/W  882 0645  870864",F-RW-T,Compass 5 000
AFD742,AlignedDimension,"Pembina  P/L R/W  5241 RS  4176",F-RW-T,Compass 5 000
AFD745,AlignedDimension,"Nova  P/L R/W  6588 NY  2795",F-RW-T,Compass 5 000
