Handle,ObjType,Content,Layer,Extra
BEA3DA,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEA3DB,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEA3DC,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEA3DD,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEA3F7,MText,"Tamarack 1-11 (Surface) MSL 190454",C-WS,9.998540000000029
BEA51D,BlockReference,"L-SECLBL",L-SECLBL,1
BEA5E0,MText,"Theor. S.E.1/4 Sec. 11-75-25-W.4M.",C-SYMBOL,19.9999999999999
BEA604,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999925
BED8E9,MText,"Muskeg",T-GENERAL,9.998540000000025
BED8EA,BlockReference,"musk",T-GENERAL,4.9992700000000125
BED8EB,BlockReference,"musk",T-GENERAL,4.9992700000000125
BED8EC,BlockReference,"musk",T-GENERAL,4.9992700000000125
BED8ED,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEDA00,MText,"RP",35,9.998829999999911
BEDA01,MText,"Muskeg",T-GENERAL,9.998540000000025
BEDA02,MText,"30.18 Theoretic Government Road Allowance",L-ROAD-T,9.998829999999982
BEDA03,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEDA04,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEDA05,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEDA06,BlockReference,"musk",T-GENERAL,4.9992700000000125
BEEE0A,AlignedDimension,"Tamarack  A/R  190567",C-AR-T,Compass 5 000
BEEEA0,AlignedDimension,"Tamarack  P/L R/W  200139",C-RW-T,Compass 5 000
BEEEA7,MText,"High Grade Gravel Road",T-TEXT,9.998829999999922
BEEEE0,MText,"30-40cm Spruce, Pine & Poplar",T-BUSH-T,9.998830000000057
BEEEE2,MText,"30-40cm Spruce, Pine & Poplar",T-BUSH-T,9.998830000000057
BEEF15,MText,"Willow",T-BUSH-T,9.998830000000057
BEEF1B,MText,"10cm Black Spruce",T-BUSH-T,9.998830000000057
BEEF25,MText,"30cm Pine  & Poplar",T-BUSH-T,9.998830000000057
BF968C,BlockReference,"GAS",C-WS-S,4.999327949999979
BF968D,BlockReference,"GAS",C-WS-S,4.999327949999979
BF968E,BlockReference,"GAS",C-WS-S,4.999327949999979
BF968F,BlockReference,"GAS",C-WS-S,4.999327949999979
BFB2D7,BlockReference,"*U24",0,0.99986685
BFB6F7,BlockReference,"*U25",CG-NOTES,0.99986685
BFC92A,BlockReference,"*U26",CG-NOTES,0.99986685
BFC959,BlockReference,"*U27",CG-NOTES,0.99986685
BFFCD8,BlockReference,"*U28",P-TEMP-BLOCKS,0.99986685
BFFF69,MText,"L.S. 1",L-SECTION-LSD,9.998668499999983
BFFF6A,MText,"L.S. 2",L-SECTION-LSD,9.998668499999983
BFFF6C,MText,"L.S. 8",L-SECTION-LSD,9.998668499999983
BFFF6D,MText,"L.S. 7",L-SECTION-LSD,9.998668499999983
C02BCF,MText,"SEE W1 DETAIL",DETAIL-T,15.997869599999992
C02BD1,BlockReference,"*U28",P-TEMP-BLOCKS,0.99986685
C02C1B,MText,"W1 DETAIL SCALE 1:2000",DETAIL-T,19.997336999999987
C055FC,BlockReference,"Disclaimer_Legal",DISCLAIMER,0.299960055
