Handle,ObjType,Content,Layer,Extra
9D82AB,BlockReference,"FDI",L-MON,4.999999999999899
9D82B0,BlockReference,"FDI",L-MON,4.999999999999899
9D82BA,BlockReference,"FDI",L-MON,4.999999999999899
9D839A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8E42,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8E5F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8E78,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8E89,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8E92,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8E97,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8EBD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8ECA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8EE3,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9D8F0A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999899
9E0AEE,BlockReference,"L-SECLBL",L-SECLBL,0.99978011
9FEDBE,MText,"Lot 1 Plan 912 3354",L-TITLEDB,9.997801099999812
A01D15,AlignedDimension,"Archer  P/L R/W  052 0982",F-RW-T,Compass 5 000
A02847,AlignedDimension,"Archer  P/L R/W  042 6021",F-RW-T,Compass 5 000
A031C2,AlignedDimension,"Archer  P/L R/W  002 0448",F-RW-T,Compass 5 000
A032B1,AlignedDimension,"Archer  P/L R/W  972 1216",F-RW-T,Compass 5 000
A045CF,DBText,"(High Grade Gravel)",T-TEXT,9.997801099999812
A045D0,DBText,"Government    Road Allowance",L-ROAD-T,9.997801099999812
A045D4,BlockReference,"*U35",AS-OWNER,1
A050B8,BlockReference,"GAS",F-WS-S,4.998900549999906
A050BD,MText,"Archer 13-34 (Surface)",F-WS-S,9.997801099999812
A05A38,DBText,"(High Grade Gravel)",T-TEXT,9.997801099999812
A05A39,DBText,"Government Road Allowance",L-ROAD-T,9.997801099999812
A08037,MText,"ATCO 4 Wire O/H Power Line",AS-POWER-T,9.997801099999812
A0A72F,AlignedDimension,"ATCO  Transmission Line  # 082 121 244  Power Line R/W  # 882 113 302",F-EZE-T,Compass 5 000
A0B0CD,AlignedDimension,"Archer  A/R",F-AR-T,Compass 5 000
A0BA6D,AlignedDimension,"ATCO  Power Line R/W  # 212 279 272",F-EZE-T,Compass 5 000
A0C444,AlignedDimension,"Archer  P/L R/W  Caltech Surveys",F-RW-T,Compass 5 000
A0FAAF,MText,"Archer 13-34 Pad Site",F-WS-S,9.997801099999812
