Handle,ObjType,Content,Layer,Extra
9D82C4,BlockReference,"FDI",L-MON,4.999999999999899
9D82C9,BlockReference,"FDI",L-MON,4.999999999999899
A21022,MText,"Lot 1 Block 1 Plan 094 0735",L-TITLEDB,9.997801099999812
A21026,MText,"Lot 1 Block 1 Plan 082 9343",L-TITLEDB,9.997801099999812
A2440B,BlockReference,"L-SECLBL",L-SECLBL,0.99978011
A289C3,BlockReference,"Gabd",F-WS-S,4.998900549999908
A289C4,AlignedDimension,"Cardinal  A/R",F-WS-S,Compass 5 000
A289EB,MText,"Cardinal 1-4 (Surface) (Abd.)",F-WS-T,9.997801099999812
A29EA2,BlockReference,"*U28",AS-OWNER,0.99978011
A31B40,DBText,"(High Grade Gravel)",T-TEXT,9.997801099999812
A31B41,DBText,"Government Road Allowance",L-ROAD-T,9.997801099999812
A696C1,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998900549999908
A6FF3F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999908
A74158,BlockReference,"FDI",L-MON,4.999999999999909
A79A1A,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999909
A94989,MText,"Low  Area",T-TEXT,9.997801099999823
A96930,MText,"Low  Area",T-TEXT,9.997801099999823
A96931,MText,"Low  Area",T-TEXT,9.997801099999823
A9C959,MText,"Existing Approach",T-TEXT,9.997801099999823
AA2803,DBText,"Cultivation",T-TEXT,9.997801099999823
AA2804,DBText,"Cultivation",T-TEXT,9.997801099999823
B87D16,MText,"Fd.I. Mp. E.1/4 4",L-MON,9.997801099999855
B88F71,BlockReference,"FDI",L-MON,4.999999999999909
B88F76,BlockReference,"linebrk",L-SEC,4998.900549999914
B89957,MText,"Fd.I. Mp. N.E. 5",L-MON,9.997801099999855
B8995C,DBText,"272°00'45"",L-BD,9.997801099999855
B8995E,MText,"Fd.I. Mp. N.E. 4",L-MON,9.997801099999855
BE139D,BlockReference,"*U36",DETAIL-T,0.99978011
BE1946,DBText,"RP",35,9.999999999999854
BE1948,BlockReference,"*U34",DETAIL-T,0.99978011
DC5758,DBText,"N.E.1/4 Sec. 4-73-10-W.6M.",C-SYMBOL,19.995602199999787
DC5759,DBText,"ESD Site = 0.090 ha  0.22 Ac.",L-AREAREQUIRED,10.997581209999893
DE13DD,MText,"ATCO  O/H Power Line",AS-POWER-T,9.997801099999812
F85F20,MText,"L.S. 9",L-SECTION-LSD,9.997801099999965
F85F22,MText,"L.S. 10",L-SECTION-LSD,9.997801099999965
F85F24,MText,"L.S. 16",L-SECTION-LSD,9.997801099999965
F85F26,MText,"L.S. 15",L-SECTION-LSD,9.997801099999965
F8C290,MText,"SEE  DETAIL",DETAIL-T,19.995602200000263
F8F254,AlignedDimension,"CNRL  P/L R/W  by Compass",C-RW-T,Compass 5 000
F8F283,DBText,"89°11'50''",L-BD1,9.997801099999965
F8F285,DBText,"359°11'50''",L-BD1,9.997801099999965
F8F287,DBText,"269°11'50"",L-BD1,9.997801099999965
F9064E,BlockReference,"*U25",DETAIL-T,0.99978011
F9065C,MText,"DETAIL",DETAIL-T,19.99560219999993
F9EC92,BlockReference,"TEMP",L-MON,4.998900549999982
F9EC93,BlockReference,"TEMP",L-MON,4.998900549999982
F9EC95,BlockReference,"TEMP",L-MON,4.998900549999982
F9EC97,BlockReference,"TEMP",L-MON,4.998900549999982
F9EC98,BlockReference,"TEMP",L-MON,4.998900549999982
F9EC99,BlockReference,"TEMP",L-MON,4.998900549999982
F9EC9A,BlockReference,"TEMP",L-MON,4.998900549999982
FA8114,DBText,"Cultivation",T-TEXT,9.997801099999823
FAFB59,DBText,"182°00'55''",L-BD,9.997801099999965
FAFB5B,DBText,"182°00'55''",L-BD,9.997801099999855
FB05E9,DBText,"Access Road = 0.579 ha  1.43 Ac.",L-AREAREQUIRED,10.997581209999893
FB8C7B,AlignedDimension,"CNRL  P/L R/W  by Compass",C-RW-T,Compass 5 000
FC0458,MText,"Lot 1 Block 1 Plan 112 4024",L-TITLEDB,9.997801099999776
FC0B3B,DBText,"532.69 (Tie)",L-BD,9.999999999999968
FC0B3C,DBText,"327°09'40''",L-BD,9.999999999999968
