Handle,ObjType,Content,Layer,Extra
AF52E0,MText,"Approximate Location ATCO Gas Co-op",AS-PIPE-UG-T,9.99780109999984
AF52F3,BlockReference,"L-SECLBL",L-SECLBL,0.99978011
AF531A,DBText,"Government Road Allowance",L-ROAD-T,9.99780109999984
AF5341,DBText,"Government Road Allowance",L-ROAD-T,9.997801099999844
AF534E,MText,"Buried Telus Cable",AS-TELUS,9.997801099999844
AF5352,MText,"Buried Telus Cable",AS-TELUS,9.997801099999844
AF5390,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999913
AF5391,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999913
AF5392,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999913
AF5394,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999913
AF53B7,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999924
AF53B8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999924
AF53B9,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999924
AF53BA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999924
AF53BC,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999924
AF53F1,MText,"Lot 1 Block 1 Plan 072 9614",L-TITLEDB,9.99780109999984
AF53F7,MText,"Approximate  Location ATCO Gas  Co-op",AS-PIPE-UG-T,9.99780109999984
AF553C,MText,"CNRL 10.00 A/R",C-AR-T,9.997801099999858
AF553D,MText,"CNRL ESD Site",C-AR-T,9.997801099999858
AF556A,AlignedDimension,"Ember  P/L R/W  102 5397",F-RW-T,Compass 5 000
AF557F,MText,"4-16 (Abd.)",F-WS-T,9.997801099999844
AF5596,DBText,"(High Grade Gravel)",T-TEXT,9.99780109999984
AF559A,DBText,"(Paved Hwy. 672)",T-TEXT,9.997801099999844
AF559C,MText,"Approach & Culvert",T-TEXT,9.997801099999844
AF559F,MText,"Approach & Culvert",T-TEXT,9.997801099999844
AF55A5,MText,"Low  Area (Wet)",T-TEXT,9.997801099999851
AF55B8,DBText,"Cultivation",T-TEXT,9.997801099999851
AF55E9,MText,"Bush",T-BUSH-T,9.997801099999851
AF55F3,MText,"ATCO 3 Wire O/H Power Line",AS-POWER-T,9.99780109999984
AF55F7,MText,"ATCO 1 Wire  O/H Power Line",AS-POWER-T,9.99780109999984
AF56EA,BlockReference,"*U15",AS-OWNER,0.99978011
AF573F,MText,"Residence",AS-RESIDENCE,9.997801099999844
AF5740,MText,"Residence",AS-RESIDENCE,9.997801099999844
AF575D,BlockReference,"Gabd",F-WS-S,4.998900549999922
AF583C,MText,"Fd.I. Mp. R12",L-MON,9.997801099999883
AF5840,MText,"304.53 92°01'10''",L-BD,9.997801099999883
AF6CC2,MText,"Lot2 Block 1 Plan 062 3191",L-TITLEDB,9.99780109999984
AF6CD1,AlignedDimension,"CNRL  P/L R/W  212 2372",C-RW-T,Compass 5 000
AF6CE5,BlockReference,"res_occ",AS-RESIDENCE,4.998900549999922
AF6CE6,BlockReference,"res_occ",AS-RESIDENCE,4.998900549999922
AF6D59,BlockReference,"FDI",L-MON,4.999999999999913
