Handle,ObjType,Content,Layer,Extra
F9097E,DBText,"271°58'05''",L-BD,9.99780109999995
F90CAC,MText,"Gate",T-TEXT,9.997801099999943
F90CD6,BlockReference,"TEMP",L-MON,4.998900549999975
F90CD8,BlockReference,"TEMP",L-MON,4.998900549999975
F90CD9,BlockReference,"TEMP",L-MON,4.998900549999975
F916AC,MText,"E.-W. 1/4 Line",L-QSEC,9.997801099999943
F916AE,MText,"Soil Pile",T-TEXT,9.997801099999943
F916C9,MText,"91°58'05'' 30.00",L-BD,9.997801099999847
F91FFF,BlockReference,"L-SECLBL",L-SECLBL,0.99978011
F94988,AlignedDimension,"Archer  P/L R/W  Caltech Surveys",F-RW-T,Compass 5 000
F949C4,AlignedDimension,"CNRL  P/L R/W  Compass Geomatics",C-RW-T,Compass 5 000
F9BA79,MText,"181° 15.00",L-BD,9.997801099999933
F9BA7C,MText,"1°58'05'' 30.00",L-BD,9.997801099999933
FAB2DA,BlockReference,"TEMP",L-MON,4.998900549999975
FD499B,MText,"Cultivation",T-TEXT,9.997789100000237
FDBF73,MText,"Lot 1 Plan 912 3354",L-TITLEDB,9.997801099999819
FDBF7E,MText,"Lot 1 Block 1 Plan 074 1088",L-TITLEDB,9.997801099999819
FDBF85,DBText,"Government Road Allowance",L-ROAD-T,9.997801099999819
FDBF86,DBText,"Government Road Allowance",L-ROAD-T,9.99999999999982
FDBF87,DBText,"Government    Road Allowance",L-ROAD-T,9.997801099999819
FDBF8A,DBText,"Government Road Allowance",L-ROAD-T,9.997801099999819
FDBF9C,MText,"Lot 1 Block 1 Plan 102 4137",L-TITLEDB,9.997801099999819
FDBF9E,AlignedDimension,"5.00 Road  102 4137",L-TITLEDB,Compass 5 000
FDBFA0,MText,"Twp. 73",D-TXT,13.99692153999974
FDBFA1,MText,"500m Trumpeter  Swan Buffer",AS-BOUNDARY,9.997789100000253
FDBFA3,MText,"800m Trumpeter  Swan Buffer",AS-BOUNDARY,9.997789100000253
FDBFA5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999902
FDBFA6,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999902
FDBFA7,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999902
FDBFA8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999902
FDBFA9,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999902
FDBFAA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999902
FDBFAE,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999902
FDBFAF,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999902
FDBFB0,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999913
FDBFB1,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999913
FDBFB2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999913
FDBFB3,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.999999999999913
FDBFD6,AlignedDimension,"CNRL  P/L R/W  GeoVerra",C-RW-T,Compass 5 000
FDBFD7,AlignedDimension,"Archer  A/R",F-AR-T,Compass 5 000
FDBFD8,MText,"Archer 20.00 A/R",F-AR-T,9.99780109999983
FDBFDA,AlignedDimension,"ATCO  Transmission Line  # 082 121 244  Powerline R/W  # 882 113 302",F-EZE-T,Compass 5 000
FDBFDB,AlignedDimension,"ATCO  Power Line R/W  # 212 279 272",F-EZE-T,Compass 5 000
FDBFDC,AlignedDimension,"ATCO  Powerline R/W  # 882 113 301",F-EZE-T,Compass 5 000
FDBFDD,AlignedDimension,"ATCO  Powerline R/W  # 882 113 301",F-EZE-T,Compass 5 000
FDBFDE,AlignedDimension,"Cardinal  P/L R/W  142 4701",F-RW-T,Compass 5 000
FDBFDF,AlignedDimension,"Archer  P/L R/W  052 0982",F-RW-T,Compass 5 000
FDBFE1,AlignedDimension,"Archer  P/L R/W  042 6021",F-RW-T,Compass 5 000
FDBFE2,AlignedDimension,"Archer  P/L R/W  002 0448",F-RW-T,Compass 5 000
FDBFE5,MText,"Cardinal 12-26 (Surface)",F-WS-T,9.999999999999808
FDBFEB,DBText,"(High Grade Gravel)",T-TEXT,9.997801099999819
FDBFEC,DBText,"(High Grade Gravel)",T-TEXT,9.99999999999982
FDBFED,DBText,"(High Grade Gravel)",T-TEXT,9.997801099999819
FDBFF1,DBText,"(High Grade Gravel)",T-TEXT,9.997801099999819
FDBFF2,DBText,"Cultivation",T-TEXT,9.99780109999983
FDBFF3,DBText,"Cultivation",T-TEXT,9.99780109999983
FDBFFC,MText,"Ephemeral Draw",T-WATER-T,9.99780109999983
FDC003,MText,"ATCO 4 Wire O/H Power Line",AS-POWER-T,9.997801099999819
FDC006,MText,"ATCO 4 Wire  O/H Power Line",AS-POWER-T,9.997801099999819
FDC00C,MText,"ATCO 3 Wire  O/H Power Line",AS-POWER-T,9.997801099999819
FDC023,BlockReference,"*U39",AS-OWNER,1
FDC038,BlockReference,"*U40",AS-OWNER,1
FDC04D,BlockReference,"GAS",F-WS-S,4.9989005499999095
FDC04E,MText,"Archer 13-34 (Surface)",F-WS-S,9.997801099999819
FDC050,MText,"Archer 13-34 Pad Site",F-WS-S,9.997801099999819
FDC052,BlockReference,"GAS",F-WS-S,4.998900549999908
FDC053,BlockReference,"GAS",F-WS-S,4.998900549999915
FDC067,AlignedDimension,"20.12 Road  4069 EO",L-TITLEDB-T,Compass 5 000
FDC06B,MText,"CNRL ESD Site",C-WS-T,9.997801099999837
FDC06D,MText,"Fd.I. Mp. N.E. 34",L-MON,9.997801099999862
