Handle,ObjType,Content,Layer,Extra
AF70A4,BlockReference,"L-SECLBL",L-SECLBL,0.9997908399999951
AF70DA,AlignedDimension,"CNRL  P/L R/W  102 2250",C-RW-T,Compass 5 000
AF70DF,DBText,"(High Grade Gravel)",T-TEXT,9.997908399999915
AF70E0,DBText,"(High    Grade   Gravel)",T-TEXT,9.997908399999911
AF70E1,DBText,"Government Road Allowance",L-ROAD-T,9.997908399999915
AF70EA,AlignedDimension,"CNRL  P/L R/W  092 8264",C-RW-T,Compass 5 000
AF70ED,MText,"Nova Meter Station Plan 872 1412",F-RW-T,9.997908399999915
AF70F1,MText,"ATCO 10.50 Power Line R/W Reg. # 092 398 110",F-EZE-T,9.997908399999915
AF70F2,AlignedDimension,"CNRL  P/L R/W  992 1609",C-RW-T,Compass 5 000
AF70F3,AlignedDimension,"CNRL  P/L R/W  092 5644",C-RW-T,Compass 5 000
AF70F5,AlignedDimension,"CNRL  P/L R/W  192 0795",C-RW-T,Compass 5 000
AF70F6,AlignedDimension,"CNRL  P/L R/W  092 9417",C-RW-T,Compass 5 000
AF70FA,MText,"Alliance Meter Station Site A Plan 012 4611",F-WS-T,9.997908399999915
AF70FD,AlignedDimension,"CNRL  P/L R/W  092 5917",C-RW-T,Compass 5 000
AF70FF,AlignedDimension,"CNRL  P/L R/W  212 0426",C-RW-T,Compass 5 000
AF7104,MText,"CNRL 20.00 P/L R/W by WSP",C-RW-T,9.997908399999915
AF7106,AlignedDimension,"30.18 Road  5007 MC",L-TITLEDB-T,Compass 5 000
AF7108,BlockReference,"*U32",CG-NOTES,0.9997908399999951
AF7121,MText,"Longshore 15.00 P/L R/W Plan 982 3805",F-RW,9.997908399999915
AF7123,DBText,"Government Road Allowance",L-ROAD-T,9.997908399999911
AF7127,MText,"CNRL 16-21 (Surface)",C-WS-T,9.997908399999915
AF7129,AlignedDimension,"CNRL  A/R",C-WS-S,Compass 5 000
AF712A,BlockReference,"GAS",C-WS-S,4.9989541999999565
AF712B,MText,"CNRL Riser Site",C-WS-S,9.997908399999915
AF712D,AlignedDimension,"CNRL  A/R",C-WS-S,Compass 5 000
AF7132,AlignedDimension,"Tamarack  P/L R/W  WSP",F-RW-T,Compass 5 000
AF7134,BlockReference,"*U33",AS-OWNER,0.9997908399999951
AF716F,MText,"Approximate  Location ATCO Gas  Co-op",AS-PIPE-UG,9.997908399999917
AF7174,MText,"Buried Telus Cable",AS-TELEPHONE,9.997908399999915
AF7176,MText,"ATCO O/H Power Line",AS-POWER,9.997908399999915
AF717A,MText,"ATCO O/H  Power Line",AS-POWER,9.997908399999915
AF7557,MText,"Alliance 18.00 P/L R/W by Singleton  Engineering",F-RW,9.999999999999954
