Handle,ObjType,Content,Layer,Extra
AF5312,MText,"Lot 1 Block 1 Plan 052 6347",L-TITLEDB,9.997801099999847
AF5422,AlignedDimension,"Tamarack  P/L R/W  142 4189",F-RW,Compass 5 000
AF5426,DBText,"Government Road Allowance",L-ROAD-T,9.997908399999789
AF554A,AlignedDimension,"CNRL  P/L R/W  092 8264",C-RW-T,Compass 5 000
AF554B,AlignedDimension,"CNRL  P/L R/W  092 5644",C-RW-T,Compass 5 000
AF5550,MText,"CNRL Compressor Site by Compass Geomatics",C-WS-T,9.995709959921806
AF55D0,DBText,"(Medium Grade Gravel)",T-TEXT,9.997908399999789
AF55D9,MText,"Dugout",T-WATER-T,9.997801099999858
AF55FC,MText,"ATCO 1 Wire  O/H Power Line",AS-POWER-T,9.997801099999847
AF5729,BlockReference,"*U27",AS-OWNER,0.9997908399999911
AF5832,AlignedDimension,"CNRL  A/R",C-AR-T,Compass 5 000
AF5845,MText,"Fd.I. N.E. 17",L-MON,9.99780109999989
AF6D6F,BlockReference,"FDI",L-MON,4.998900549999945
AF70A4,BlockReference,"L-SECLBL",L-SECLBL,0.9997908399999951
AF70B7,AlignedDimension,"5.03 Road Widening  of Grande Prairie No.1  # 152 116 004",L-TITLEDB-T,Compass 5 000
AF70D6,DBText,"Cultivation",T-TEXT,9.997908399999913
AF70D8,DBText,"Cultivation",T-TEXT,9.997908399999913
AF765B,MText,"Fd.I. c.s. E.1/4 20",L-MON,9.997908399999892
AF766D,BlockReference,"FDI",L-MON,4.999999999999977
AF7B4D,DBText,"S.W.1/4 Sec. 21-73-10-W.6M.",C-SYMBOL,19.99560219999986
AF7B4E,DBText,"ESD Site = 0.090 ha  0.22 Ac.",L-AREAREQUIRED,10.997581209999929
AF805B,MText,"Crop Line",T-TEXT,9.99780109999994
AF805C,DBText,"(Undeveloped)",T-TEXT,9.997908399999913
AF805E,MText,"Low  Area (Wet)",T-TEXT,9.997801099999858
AF807B,MText,"2 Buried Pipes",AS-PIPE-UG-T,9.997801099999858
AF80B0,AlignedDimension,"CNRL  P/L R/W  212 2372",C-RW-T,Compass 5 000
AF80B1,AlignedDimension,"CNRL  P/L R/W  Compass Geomatics",C-RW-T,Compass 5 000
AFCB28,MText,"Gate",T-TEXT,9.99780109999994
AFD111,BlockReference,"*U35",DETAIL-T,1
AFD14B,BlockReference,"*U35",DETAIL-T,1
AFDA79,MText,"SEE DETAIL",L-DETAIL-T,15.99648175999999
B008B6,MText,"L.S. 3",L-SECTION-LSD,9.997801099999993
B008B8,MText,"L.S. 4",L-SECTION-LSD,9.997801099999993
B008BA,MText,"L.S. 6",L-SECTION-LSD,9.997801099999993
B008BC,MText,"L.S. 5",L-SECTION-LSD,9.997801099999993
B02225,DBText,"RP",35,9.997801099999993
B079CE,DBText,"2°02'50"",L-BD,9.997801099999997
B08017,BlockReference,"*U36",CG-NOTES,0.99978011
B156AA,AlignedDimension,"CNRL  A/R",C-AR-T,Compass 5 000
B15810,BlockReference,"TEMP",L-MON,4.99890055
B15811,BlockReference,"TEMP",L-MON,4.99890055
B15812,BlockReference,"TEMP",L-MON,4.99890055
B15813,BlockReference,"TEMP",L-MON,4.99890055
B158EC,MText,"Cultivation",T-TEXT,9.997908399999789
B15902,DBText,"360.58 (Tie)",L-BD,9.9978011
B15903,DBText,"126°19'05''",L-BD,9.9978011
B15904,DBText,"209°25'40''",L-BD,9.9978011
B15905,DBText,"643.97 (Tie)",L-BD,9.9978011
B15A9A,MText,"CNRL ESD Site",C-AR-T,9.99560268351595
B15A9B,AlignedDimension,"CNRL  A/R",C-AR-T,Compass 5 000
B15A9C,AlignedDimension,"Tamarack  P/L R/W  142 4189",F-RW,Compass 5 000
B15A9D,AlignedDimension,"CNRL  P/L R/W  212 2372",C-RW-T,Compass 5 000
B15A9E,MText,"Buried Pipe",AS-PIPE-UG-T,9.99560268351594
B15AA4,BlockReference,"*U26",DETAIL-T,0.9993404750441989
B15AB2,MText,"DETAIL",DETAIL-T,19.986809500883986
B15AD2,MText,"2 Buried Pipes",AS-PIPE-UG-T,9.99560268351594
B15AD3,MText,"2 Buried Pipes",AS-PIPE-UG-T,9.99560268351594
B15AD5,DBText,"Cultivation",T-TEXT,9.99570995992178
B15B4F,BlockReference,"TEMP",L-MON,4.99890055
B15B50,BlockReference,"TEMP",L-MON,4.99890055
B15B51,BlockReference,"TEMP",L-MON,4.99890055
B15B52,BlockReference,"TEMP",L-MON,4.99890055
B15B55,DBText,"5°30'15''",L-BD,9.9978011
B15B57,DBText,"95°30'15''",L-BD,9.9978011
B15B58,DBText,"185°30'15''",L-BD,9.9978011
B15B5A,DBText,"275°30'15''",L-BD,9.9978011
B15D1B,DBText,"360.58 (Tie)",L-BD,9.9978011
B15D1C,DBText,"126°19'05''",L-BD,9.9978011
B15D1D,DBText,"643.97 (Tie)",L-BD,9.9978011
B15D1E,DBText,"209°25'40''",L-BD,9.9978011
B15E9A,AlignedDimension,"CNRL  P/L R/W  Compass Geomatics",C-RW-T,Compass 5 000
B191FA,BlockReference,"Disclaimer_Legal",L-BD,0.5
