Handle,ObjType,Content,Layer,Extra
BB2E07,AlignedDimension,"Allied  P/L R/W  812 2880  800647",F-RW-T,Compass 5 000
BB307D,AlignedDimension,"PGI  P/L R/W  802 0194  780509",F-RW-T,Compass 5 000
BB3F6F,BlockReference,"L-SECLBL",L-SECLBL,0.99946537
BB3F77,MText,"L.S. 3",L-SECTION-LSD,9.99465369999991
BB3F79,MText,"L.S. 4",L-SECTION-LSD,9.99465369999991
BB3F7B,MText,"L.S. 6",L-SECTION-LSD,9.99465369999991
BB3F7D,MText,"L.S. 5",L-SECTION-LSD,9.99465369999991
BB3F85,BlockReference,"LABEL_ROAD_THEORETIC",L-SECLBL,0.99946537
BB3F86,BlockReference,"LABEL_ROAD_THEORETIC",L-SECLBL,0.99946537
BB42DE,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991445919999803
BB42E0,MText,"Theor. S.W.1/4 Sec. 13 62-20-W.5M.",C-SYMBOL,19.9893073999998
BB42E1,BlockReference,"*U57",AS-WILDLIFE-BLOCK,0.9989324350753973
BB42F1,MText,"Buried Telus Cable",AS-TELUS,9.9946536999999
BB4304,AlignedDimension,"Razor  A/R  2625",F-AR-T,Compass 5 000
BB4305,AlignedDimension,"Telus  Cable R/W  3568",F-AR-T,Compass 5 000
BB4306,AlignedDimension,"PGI  A/R  2439",F-AR-T,Compass 5 000
BB4307,AlignedDimension,"Sprocket  A/R  110532",F-AR-T,Compass 5 000
BB4308,AlignedDimension,"Sprocket  A/R  141081",F-AR-T,Compass 5 000
BB430E,AlignedDimension,"ATCO  Control R/W  890430",F-EZE-T,Compass 5 000
BB430F,AlignedDimension,"ATCO  Power Line R/W  2382",F-EZE-T,Compass 5 000
BB4310,AlignedDimension,"ATCO  Power Line R/W  2527",F-EZE-T,Compass 5 000
BB4312,MText,"ATCO Power Line R/W EZE  070181",F-EZE-T,9.994653699999775
BB4314,AlignedDimension,"Sprocket  P/L R/W  092 1439  071446",F-RW-T,Compass 5 000
BB4315,AlignedDimension,"Sprocket  P/L R/W  112 3708  082817",F-RW-T,Compass 5 000
BB4316,AlignedDimension,"Sprocket  P/L R/W  110669",F-RW-T,Compass 5 000
BB4317,AlignedDimension,"Sprocket  P/L R/W  932 1889  920650",F-RW-T,Compass 5 000
BB4319,AlignedDimension,"Paramount  P/L R/W  782 1151  770641",F-RW-T,Compass 5 000
BB431A,AlignedDimension,"Razor  Cable R/W  780799",F-RW-T,Compass 5 000
BB431B,AlignedDimension,"Razor  P/L R/W  050859",F-RW-T,Compass 5 000
BB431D,AlignedDimension,"Razor  P/L R/W  872 1557  860678",F-RW-T,Compass 5 000
BB431E,AlignedDimension,"Paramount  P/L R/W  932 1893  930350",F-RW-T,Compass 5 000
BB431F,AlignedDimension,"Paramount  P/L R/W  911 RS  3235",F-RW-T,Compass 5 000
BB4320,AlignedDimension,"Razor  P/L R/W  952 2554  940411",F-RW-T,Compass 5 000
BB4323,MText,"Razor Heater Site Plan 812 2880 PIL 810012",F-WS-T,9.994653699999775
BB4325,MText,"Sprocket 4-13 (Surface) MSL 071285",F-WS-T,9.994653699999775
BB4327,MText,"Sprocket 5-13 (Surface) MSL 110549",F-WS-T,9.994653699999775
BB4329,MText,"Sprocket Riser Site PIL 140474",F-WS-T,9.994653699999775
BB4938,AlignedDimension,"ATCO  Power Line R/W  790007",F-EZE-T,Compass 5 000
BB4D6C,MText,"Paramount 4-13 (Surface) MSL 11022",F-WS-T,9.994653699999775
BB4D6E,BlockReference,"GAS",F-WS-S,4.99732684999995
BB4FCE,AlignedDimension,"Razor  P/L R/W  762 2395  6098",F-RW-T,Compass 5 000
BB525A,AlignedDimension,"Pembina  P/L R/W  120877",F-RW-T,Compass 5 000
BB5501,AlignedDimension,"Sprocket  P/L R/W  852 1526  840781",F-RW-T,Compass 5 000
BB5540,AlignedDimension,"Sprocket  P/L R/W  100876",F-RW-T,Compass 5 000
BB5B03,AlignedDimension,"Pembina  P/L R/W  120877",F-RW-T,Compass 5 000
BB5B4F,AlignedDimension,"Razor  P/L R/W  4865",F-RW-T,Compass 5 000
BB5B73,AlignedDimension,"Pembina  P/L R/W  297 RS  3018",F-RW-T,Compass 5 000
BB5BAF,AlignedDimension,"Razor  Flowline R/W  3983",F-FLOWLINE-T,Compass 5 000
BB5E32,BlockReference,"FDI",L-MON,4.997326849999955
BB5E33,BlockReference,"FDI",L-MON,4.997326849999955
BB5E34,BlockReference,"FDI",L-MON,4.997326849999955
BB5E35,BlockReference,"FDI",L-MON,4.997326849999955
BB5E36,BlockReference,"FDI",L-MON,4.997326849999955
BB650C,DBText,"269°57'40''",L-BD,9.994653699999915
BB83B5,BlockReference,"TEMP",L-MON,4.99732684999996
BB85A8,BlockReference,"plspike",L-MON,4.99732684999996
BB85A9,BlockReference,"plspike",L-MON,4.99732684999996
BB85AA,BlockReference,"plspike",L-MON,4.99732684999996
BB85AB,BlockReference,"fdspike",L-MON,4.99732684999996
BB85AC,BlockReference,"fdspike",L-MON,4.99732684999996
BB85AE,BlockReference,"TEMP",L-MON,4.99732684999996
BB9C40,MText,"Fd.I.",L-MON,9.994653699999926
BB9C41,MText,"Fd.I.",L-MON,9.994653699999926
BB9C54,BlockReference,"Temporary Area",P-TEMP-BLOCKS,0.99946537
BB9E49,BlockReference,"Temporary Area",P-TEMP-BLOCKS,0.99946537
BB9E4C,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BB9E4D,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BB9E4E,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BB9E4F,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BB9E50,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BB9E53,MText,"Fd.I.",L-MON,9.994653699999926
BB9E54,BlockReference,"xing2",P-CROSSINGS,0.99946537
BB9E5B,BlockReference,"xing2",P-CROSSINGS,0.99946537
BB9E62,BlockReference,"xing2",P-CROSSINGS,0.99946537
BBFC02,MText,"SEE PAD SITE DETAIL",L-DETAIL-T,15.991445919999851
BC09B9,AlignedDimension,"PGI  P/L R/W  802 0194  780509",F-RW-T,Compass 5 000
BC09BC,AlignedDimension,"Razor  A/R  2625",F-AR-T,Compass 5 000
BC09BD,AlignedDimension,"ATCO  Control R/W  890430",F-EZE-T,Compass 5 000
BC09BE,AlignedDimension,"Paramount  P/L R/W  932 1893  930350",F-RW-T,Compass 5 000
BC09C0,AlignedDimension,"ATCO  Power Line R/W  790007",F-EZE-T,Compass 5 000
BC09C2,AlignedDimension,"Veren  P/L R/W  150483",C-RW-T,Compass 5 000
BC09C4,BlockReference,"FDI",L-MON,4.997326849999963
BC09C5,BlockReference,"FDI",L-MON,4.997326849999963
BC09CE,BlockReference,"TEMP",L-MON,4.997326849999963
BC09CF,BlockReference,"plspike",L-MON,4.997326849999963
BC09D0,BlockReference,"fdspike",L-MON,4.997326849999963
BC09D1,BlockReference,"fdspike",L-MON,4.997326849999963
BC09D2,BlockReference,"TEMP",L-MON,4.997326849999963
BC09E7,BlockReference,"plspike",L-MON,4.997326849999963
BC09EF,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BC09F0,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BC09F1,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BC09F2,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997326849999963
BC0A08,BlockReference,"plspike",L-MON,4.997326849999963
BC0AC8,BlockReference,"xing2",P-CROSSINGS,0.99946537
BC0ACF,BlockReference,"xing2",P-CROSSINGS,0.99946537
BC0AD6,BlockReference,"xing2",P-CROSSINGS,0.99946537
BC0AFC,MText,"279°39'05'' 217.63 (Tie)",L-BD,9.994653699999926
BC0AFF,MText,"Fd.I.",L-MON,9.994653699999926
BC0B00,MText,"Fd.I. Mp.",L-MON,9.994653699999926
BC0C4D,AlignedDimension,"Razor  Flowline R/W  3983",F-FLOWLINE-T,Compass 5 000
BC0C69,AlignedDimension,"Paramount  P/L R/W  782 1151  770641",F-RW-T,Compass 5 000
BC0DB5,AlignedDimension,"Pembina  P/L R/W  120877",F-RW-T,Compass 5 000
BC0DF9,AlignedDimension,"Pembina  P/L R/W  297 RS  3018",F-RW-T,Compass 5 000
BC0E1D,AlignedDimension,"Razor  P/L R/W  4865",F-RW-T,Compass 5 000
BC0E9D,MText,"ATCO O/H Power Line",AS-POWER,9.994653699999926
BC0E9E,MText,"4m Low Grade Dirt Road",AS-GENERAL,9.994653699999926
BC103A,BlockReference,"*U100",AS-POWER-T,0.99946537
BC1088,DBText,"50''",L-BD,9.994653699999926
BC108A,DBText,"59'",L-BD,9.994653699999926
BC108C,DBText,"179°",L-BD,9.994653699999926
BC108D,DBText,"269°57'40''",L-BD,9.994653699999926
BC1090,DBText,"359°57'40''",L-BD,9.994653699999926
BC1094,DBText,"179°57'40''",L-BD,9.994653699999926
BC1095,DBText,"89°57'40''",L-BD,9.994653699999926
BC11CF,DBText,"179°59'50''",L-BD,9.994653699999926
BC13B4,MText,"117.38 89°",L-BD,9.994653699999926
BC13B5,MText,"57'",L-BD,9.994653699999926
BC13B6,MText,"40''",L-BD,9.994653699999926
BC14E8,MText,"Fd. no Mk. Re-est. Position by MSL 142127",L-MON,9.994653699999926
BC14E9,MText,"9.56 198°00'45''",L-BD,9.994653699999926
BC14EC,MText,"198°00'45''",L-BD,9.994653699999926
