Handle,ObjType,Content,Layer,Extra
B0C899,BlockReference,"res_other",AS-RESIDENCE,2.5
B0C8A2,BlockReference,"*U18",CG-NOTES,0.99947138
B0C8B9,BlockReference,"*U19",CG-NOTES,0.99947138
B0D20A,DBText,"LAKE",T-WATER-T,10.005154055059856
B0D20C,DBText,"SIMONETTE RIVER",T-WATER-T,10.005154055059856
B0D20F,DBText,"DEEP VALLEY CREEK",T-WATER-T,10.005154055059856
B0E9D5,BlockReference,"AA",ROUTE MAP DOTS,1
B0E9D6,BlockReference,"Route_Letters",ROUTE MAP BUBBLES,1.000525506011523
B0EFD6,BlockReference,"AA",ROUTE MAP DOTS,1
B0EFD7,BlockReference,"Route_Letters",ROUTE MAP BUBBLES,1.000525506011523
B0EFDA,BlockReference,"AA",ROUTE MAP DOTS,1
B0EFDB,BlockReference,"Route_Letters",ROUTE MAP BUBBLES,1.000525506011523
B0EFDE,BlockReference,"AA",ROUTE MAP DOTS,1
B0EFDF,BlockReference,"Route_Letters",ROUTE MAP BUBBLES,1.000525506011523
B115D9,BlockReference,"*T20",CG-NOTES,1
B177E3,BlockReference,"res_other",AS-RESIDENCE,2.5
B19487,BlockReference,"AA",ROUTE MAP DOTS,1
B19488,BlockReference,"Route_Letters",ROUTE MAP BUBBLES,1.000525506011523
B1948B,BlockReference,"AA",ROUTE MAP DOTS,1
B1948C,BlockReference,"Route_Letters",ROUTE MAP BUBBLES,1.000525506011523
B1948F,BlockReference,"AA",ROUTE MAP DOTS,1
B19490,BlockReference,"Route_Letters",ROUTE MAP BUBBLES,1.000525506011523
B19493,BlockReference,"AA",ROUTE MAP DOTS,1
B19494,BlockReference,"Route_Letters",ROUTE MAP BUBBLES,1.000525506011523
B1C234,BlockReference,"Disclaimer_Legal",C-AR,0.3
