Handle,ObjType,Content,Layer,Extra
AF2F52,MText,"L.S. 11",L-SECTION-LSD,9.994820199999962
AF2F54,MText,"L.S. 12",L-SECTION-LSD,9.994820199999962
AF2F56,MText,"L.S. 14",L-SECTION-LSD,9.994820199999962
AF2F57,MText,"L.S. 13",L-SECTION-LSD,9.994820199999962
AF2F59,MText,"L.S. 3",L-SECTION-LSD,9.994820199999962
AF2F5B,MText,"L.S. 4",L-SECTION-LSD,9.994820199999962
AF2F5D,MText,"L.S. 6",L-SECTION-LSD,9.994820199999962
AF2F5F,MText,"L.S. 5",L-SECTION-LSD,9.994820199999962
AF2F61,MText,"L.S. 1",L-SECTION-LSD,9.994820199999962
AF2F62,MText,"L.S. 2",L-SECTION-LSD,9.994820199999962
AF2F64,MText,"L.S. 8",L-SECTION-LSD,9.994820199999962
AF2F65,MText,"L.S. 7",L-SECTION-LSD,9.994820199999962
AF2F72,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994820199999962
AF2F73,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994820199999962
AF2F74,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994820199999962
AF3021,MText,"TWP. 64",D-TXT,14.000000000000002
AF3022,MText,"TWP. 65",D-TXT,14.000000000000002
AF32F8,DBText,"Government Road Allowance (17th Baseline)",L-ROAD-T,9.999999999999963
AF32F9,DBText,"(Undeveloped)",T-TEXT,9.999999999999963
AF3310,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999927
AF34CB,MText,"Theor. S.W.1/4  Sec. 31-64-24-W.5M.",C-SYMBOL,19.99999999999993
AF34CF,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999927
AF34D1,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999927
AF34D3,MText,"Theor. S.E.1/4  Sec. 31-64-24-W.5M.",C-SYMBOL,19.99999999999993
AF34D4,MText,"Theor. N.W.1/4  Sec. 31-64-24-W.5M.",C-SYMBOL,19.99999999999993
AF4167,BlockReference,"*U52",C-SYMBOL,1
AF4346,AlignedDimension,"ATCO  Power Line R/W  2118",F-EZE-T,Compass 5 000
AF436E,AlignedDimension,"ATCO  Width Power Line R/W  070117",F-EZE-T,Compass 5 000
AF4396,AlignedDimension,"ATCO  Vegetation Control R/W  860436",F-EZE-T,Compass 5 000
AF472A,MText,"ARC 2-31 (Surface) MSL 050239",F-WS-T,9.999999999999964
AF4753,AlignedDimension,"Keyera  A/R  3184  of Plan unavailable)",F-AR-T,Compass 5 000
AF479C,BlockReference,"*U51",C-SYMBOL,1
AF47E0,BlockReference,"*U52",C-SYMBOL,1
AF4FBD,AlignedDimension,"10.00 P/L R/W  062 7242  on PLSR)",F-RW-T,Compass 5 000
AF5DCA,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.999999999999966
AF5DDA,MText,"Wooded Coniferous Swamp",WETLAND-T,9.999999999999966
AF5DDC,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.999999999999966
AF5FBE,MText,"Shrubby Swamp",WETLAND-T,9.999999999999966
AF5FC0,MText,"Ephemeral Draws",T-WATER-T,9.999999999999966
