Handle,ObjType,Content,Layer,Extra
AF58BD,BlockReference,"*U31",AS-GENERAL,4.997325200000131
AF58C6,BlockReference,"*U30",AS-GENERAL,4.997325200000131
AF58CF,BlockReference,"*U29",AS-GENERAL,4.997325200000131
AF58E1,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997325200000131
AF58E2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.997325200000131
AF58F7,BlockReference,"L-SECLBL",L-SECLBL,0.99946504
AF58FD,MText,"L.S. 1",L-SECTION-LSD,9.989303661822307
AF58FE,MText,"L.S. 2",L-SECTION-LSD,9.989303661822307
AF5900,MText,"L.S. 8",L-SECTION-LSD,9.989303661822307
AF5901,MText,"L.S. 7",L-SECTION-LSD,9.989303661822307
AF5944,BlockReference,"HRV",CG-NOTES,0.9989303661822228
AF5973,MText,"Paramount  8-24 (Surface) MSL 982083",F-RW-T,9.989303661822303
AF5975,MText,"Texcal  8-24 (Surface) MSL 930440",F-RW-T,9.989303661822303
AF5977,AlignedDimension,"Paramount  A/R  981548",F-AR-T,Compass 5 000
AF5978,AlignedDimension,"Texcal  A/R  930440",F-AR-T,Compass 5 000
AF5979,AlignedDimension,"Alliance  P/L R/W  002 3490  981096",F-RW-T,Compass 5 000
AF597C,MText,"Town of Fox Creek Water Well DML 040053",F-RW-T,9.989303661822303
AF5983,MText,"CNRL 28.00 P/L R/W PLA 180405",F-RW-T,9.994650400000136
AF598F,AlignedDimension,"Keyera  P/L R/W  200152",F-RW-T,Compass 5 000
AF5996,AlignedDimension,"Pembina  P/L R/W  297 RS  3018",F-RW-T,Compass 5 000
AF5997,AlignedDimension,"Texcal  P/L R/W  932 1861  930342",F-RW-T,Compass 5 000
AF599F,AlignedDimension,"Texcal  P/L R/W  932 0624  920316",F-RW-T,Compass 5 000
AF59A3,AlignedDimension,"Texcal  P/L R/W  922 1491  910421",F-RW-T,Compass 5 000
AF59A4,AlignedDimension,"Texcal  P/L R/W  3983",F-RW-T,Compass 5 000
AF59A7,AlignedDimension,"Texcal  Flowline R/W  3983",F-FLOWLINE-T,Compass 5 000
AF59A8,AlignedDimension,"Texcal  A/R  6516",F-AR-T,Compass 5 000
AF59A9,AlignedDimension,"Texcal  P/L R/W  4865",F-RW-T,Compass 5 000
AF59AB,MText,"Texcal Plant Site MLL 3071",F-RW-T,9.989303661822303
AF59AD,MText,"Texcal 2-24 (Surface) MSL 6516 (Expired)",F-WS-T,9.989303661822303
AF59AF,AlignedDimension,"Paramount  P/L R/W  072 4127  021689",F-RW-T,Compass 5 000
AF59B3,AlignedDimension,"ATCO  Powerline R/W  930316",F-EZE-T,Compass 5 000
