Handle,ObjType,Content,Layer,Extra
B490EE,BlockReference,"FDI",L-MON,4.999999999999959
B490F3,BlockReference,"FDI",L-MON,4.999999999999959
B490F8,BlockReference,"FDI",L-MON,4.999999999999959
B49107,BlockReference,"FDI",L-MON,4.999999999999959
B4910C,BlockReference,"FDI",L-MON,4.999999999999959
B49593,BlockReference,"L-SECLBL",L-SECLBL,0.99946998
B49599,BlockReference,"*U70",AS-SURFACE IMPACT,0.99946998
B495AA,AlignedDimension,"CanFor  A/R  900624",F-AR-T,Compass 5 000
B495AB,AlignedDimension,"Veren  P/L R/W  130007",C-RW-T,Compass 5 000
B495AC,AlignedDimension,"Veren  P/L R/W  130007",C-RW-T,Compass 5 000
B495AD,AlignedDimension,"Veren  P/L R/W  190564",C-RW-T,Compass 5 000
B495B0,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991519679999888
B495B2,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991519679999888
B495B4,BlockReference,"*U70",AS-SURFACE IMPACT,0.99946998
B495C3,AlignedDimension,"CanFor  A/R  900624",F-AR-T,Compass 5 000
B495C4,AlignedDimension,"Kiwetinohk  A/R  930056",F-AR-T,Compass 5 000
B495C5,AlignedDimension,"CNRL  A/R  940165",F-AR-T,Compass 5 000
B495C6,AlignedDimension,"CNRL  P/L R/W  952 3686  950627",F-AR-T,Compass 5 000
B495D5,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999907051607808
B495D6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999907051607808
B49605,MText,"Wooded Mixedwood Swamp",WETLAND-T,9.999885140440691
B49607,MText,"Shrubby Swamp",WETLAND-T,9.999885140440691
B49609,MText,"Shrubby Swamp",WETLAND-T,9.999885140440691
B4960B,MText,"Shrubby Swamp",WETLAND-T,9.999885140440691
B4960D,MText,"Ephemeral Draw",T-WATER-T,9.999885140440691
B49611,MText,"Ephemeral Draw",T-WATER-T,9.999885140440691
B49613,MText,"Ephemeral Draw",T-WATER-T,9.999885140440691
B49615,MText,"Intermittent Creek",T-WATER-T,9.999885140440691
B49617,BlockReference,"*U72",AS-WILDLIFE-BLOCK,0.99946998
B49626,BlockReference,"*U72",AS-WILDLIFE-BLOCK,0.99946998
B49635,MText,"7m High Grade Gravel Road",T-GENERAL,9.994699799999932
B49636,MText,"Buried Pipe",AS-PIPE-UG-T,9.994699799999932
B49638,MText,"15cm Balsam 50cm Spruce",T-BUSH-T,9.99469979999993
B49639,MText,"20cm Spruce",T-BUSH-T,9.99469979999993
B49645,MText,"CanFor CLR970292",F-WS-T,9.994789999999922
B49647,MText,"HWN Borrow Pit RSC 160029 (Cancelled - Outstanding Obligation)",F-WS-T,9.994789999999922
B4C83A,MText,"Theor. S.W.1/4  Sec. 23-64-23-W.5M.",C-SYMBOL,19.98939959999985
B4C83C,MText,"Theor. S.E.1/4  Sec. 23-64-23-W.5M.",C-SYMBOL,19.98939959999985
B4C847,MText,"L.S. 3",L-SECTION-LSD,9.99999999999994
B4C849,MText,"L.S. 4",L-SECTION-LSD,9.99999999999994
B4C84B,MText,"L.S. 6",L-SECTION-LSD,9.99999999999994
B4C84D,MText,"L.S. 5",L-SECTION-LSD,9.99999999999994
B4C84F,MText,"L.S. 1",L-SECTION-LSD,9.99999999999994
B4C850,MText,"L.S. 2",L-SECTION-LSD,9.99999999999994
B4C852,MText,"L.S. 8",L-SECTION-LSD,9.99999999999994
B4C853,MText,"L.S. 7",L-SECTION-LSD,9.99999999999994
B4C856,MText,"Ephemeral Draw",T-WATER-T,9.999885140440691
B50E63,BlockReference,"plspike",L-MON,4.997349899999977
B50E64,BlockReference,"plspike",L-MON,4.997349899999977
B50E65,BlockReference,"plspike",L-MON,4.997349899999977
B50E6B,BlockReference,"plspike",L-MON,4.997349899999977
B50E6C,BlockReference,"plspike",L-MON,4.997349899999977
B50E6D,BlockReference,"plspike",L-MON,4.997349899999977
B5366E,BlockReference,"WC",L-MON,4.997349899999989
B5366F,BlockReference,"WC",L-MON,4.997349899999989
B53670,BlockReference,"WC",L-MON,4.997349899999989
B53671,BlockReference,"WC",L-MON,4.997349899999989
B53672,BlockReference,"WC",L-MON,4.997349899999989
B53673,BlockReference,"WC",L-MON,4.997349899999989
B53674,BlockReference,"WC",L-MON,4.997349899999989
B53675,BlockReference,"WC",L-MON,4.997349899999989
B53676,BlockReference,"WC",L-MON,4.997349899999989
B54689,BlockReference,"FDI",L-MON,4.997349899999977
B5468A,BlockReference,"FDI",L-MON,4.997349899999977
B5469B,BlockReference,"FDI",L-MON,4.997349899999977
B546D8,BlockReference,"plspike",L-MON,4.997349899999977
B546D9,BlockReference,"plspike",L-MON,4.997349899999977
B546DA,BlockReference,"plspike",L-MON,4.997349899999977
B546DB,BlockReference,"plspike",L-MON,4.997349899999977
B546DC,BlockReference,"plspike",L-MON,4.997349899999977
B546DD,BlockReference,"plspike",L-MON,4.997349899999977
B5483F,BlockReference,"WC",L-MON,4.997349899999989
B54840,BlockReference,"WC",L-MON,4.997349899999989
B54841,BlockReference,"WC",L-MON,4.997349899999989
B54842,BlockReference,"WC",L-MON,4.997349899999989
B54843,BlockReference,"WC",L-MON,4.997349899999989
B54844,BlockReference,"WC",L-MON,4.997349899999989
B54845,BlockReference,"WC",L-MON,4.997349899999989
B54846,BlockReference,"WC",L-MON,4.997349899999989
B54847,BlockReference,"WC",L-MON,4.997349899999989
B55B42,DBText,"271°37'40''",L-BD,9.994699799999953
B55B48,DBText,"271°31'00''",L-BD,9.994699799999953
B55B4A,DBText,"271°51'55''",L-BD,9.994699799999953
B55B4C,DBText,"181°00'45''",L-BD,9.994699799999953
B55B50,DBText,"1°00'45''",L-BD,9.994699799999953
B56344,DBText,"1°37'40''",L-BD,9.994699799999953
B56347,DBText,"91°51'55''",L-BD,9.994699799999953
B56349,DBText,"91°31'00''",L-BD,9.994699799999953
B5634C,DBText,"181°37'40''",L-BD,9.994699799999953
B57403,DBText,"408.66 (Tie)",L-BD,9.994699799999957
B57404,DBText,"84°29'20''",L-BD,9.994699799999957
B57407,DBText,"408.66 (Tie)",L-BD,9.994699799999957
B57408,DBText,"84°29'20''",L-BD,9.994699799999957
B5740A,DBText,"271°31'00''",L-BD,9.994699799999957
B5740C,DBText,"271°51'55''",L-BD,9.994699799999957
B57C09,DBText,"264°59'35''",L-BD,9.994699799999957
B57C0C,MText,"7m High Grade Gravel Road",T-GENERAL,9.994699799999932
B57C0F,DBText,"264°59'35''",L-BD,9.994699799999957
B59498,MText,"FC712A 886.36*",L-BD,9.994689805300156
B594A0,MText,"FC712B 886.36*",L-BD,9.994689805300156
B594A1,MText,"FC712C 886.36*",L-BD,9.994689805300156
B594A2,MText,"FC712D 886.36*",L-BD,9.994689805300156
B594AA,MText,"FC712I 885.91*",L-BD,9.994689805300156
B594AB,MText,"FC712H 885.91*",L-BD,9.994689805300156
B594AC,MText,"FC712G 885.91*",L-BD,9.994689805300156
B594AD,MText,"FC712F 885.91*",L-BD,9.994689805300156
B594AE,MText,"FC712E 885.91*",L-BD,9.994689805300156
B59CBE,MText,"Shrubby Swamp",WETLAND-T,9.999885140440691
B59CC0,MText,"Shrubby Swamp",WETLAND-T,9.999885140440691
B5A4ED,AlignedDimension,"Veren  P/L R/W  130007",C-RW-T,Compass 5 000
B5A54D,AlignedDimension,"CNRL  A/R  940165",F-AR-T,Compass 5 000
B5A56B,MText,"Buried Pipe",AS-PIPE-UG-T,9.994699799999932
B5A574,MText,"N.-S.1/4 Line",L-SECQ,9.9946775000728
B5A5E3,BlockReference,"*U68",P-TEMP-BLOCKS,0.99946998
B5A5F9,BlockReference,"*U69",P-TEMP-BLOCKS,0.99946998
B5B10E,BlockReference,"*U41",DETAIL-T,0.99946998
B5B11C,MText,"PAD SITE DETAIL",DETAIL-T,19.989399599999913
