Handle,ObjType,TextString,Layer,TextHeight
BD7BFE,MText,"\pxql;L.S. 3",L-SECTION-LSD,9.99999999999993
BD7C00,MText,"\pxqr;L.S. 4",L-SECTION-LSD,9.99999999999993
BD7C02,MText,"\pxql;L.S. 6",L-SECTION-LSD,9.99999999999993
BD7C04,MText,"\pxqr;L.S. 5",L-SECTION-LSD,9.99999999999993
BD7C10,DBText,"Theor. S.W.1/4",C-SYMBOL,19.989708199999765
BD7C11,DBText,"Sec. 11-64-21-W.5M.",C-SYMBOL,19.989708199999765
BD7C12,DBText,"Theor. S.E.1/4",C-SYMBOL,19.989708199999765
BD7C13,DBText,"Sec. 11-64-21-W.5M.",C-SYMBOL,19.989708199999765
BD7C16,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.99176655999987
BD7C18,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.99176655999987
BD7C2A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994854099999888
BD7C2C,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994854099999888
BD7C70,MText,"L.S. 1",L-SECTION-LSD,9.99999999999993
BD7C71,MText,"\pxqr;L.S. 2",L-SECTION-LSD,9.99999999999993
BD7C73,MText,"L.S. 8",L-SECTION-LSD,9.99999999999993
BD7C74,MText,"\pxqr;L.S. 7",L-SECTION-LSD,9.99999999999993
BD7C98,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Key Wildlife and \PBiodiversity Zone Boundary}",AS-WILDLIFE,9.999999999999936
BD7F64,MText,"\A1;Whitecap
(FC714EXT) 6-11 (Surface) \PMSL 231710",C-WS-T,9.999999999999979
BD7F83,DBText,"6m High Grade Gravel Road",T-TEXT,9.994854099999964
BD7F87,MText,"20cm Black Spruce\P& Tamarack",T-BUSH-T,9.99999999999993
BD7F88,MText,"30cm Poplar, \PSpruce & Pine",T-BUSH-T,9.99999999999993
BD7F89,MText,"20cm Black\PSpruce\P& Tamarack",T-BUSH-T,9.99999999999993
BD7F90,MText,"30cm Poplar, \PSpruce & Pine",T-BUSH-T,9.99999999999993
BD7FDD,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Key Wildlife and \PBiodiversity Zone Boundary}",AS-WILDLIFE,9.999999999999936
BD8065,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Key Wildlife and \PBiodiversity Zone Boundary}",AS-WILDLIFE,9.999999999999993
BD8143,MText,"\A1;Whitecap
(FC714EXT) 6-11 (Surface) \PMSL 231710",C-WS-T,9.994854099999976
BD8144,MText,"20cm Black Spruce\P& Tamarack",T-BUSH-T,9.999999999999993
BD8145,MText,"30cm Poplar, \PSpruce & Pine",T-BUSH-T,9.994854099999976
