Handle,ObjType,Content,Layer,Extra
BE13B1,DBText,"L.S. 1",L-SECTION-LSD,10.000000000000027
BE13B2,DBText,"L.S. 8",L-SECTION-LSD,10.000000000000027
BE13B3,BlockReference,"L-SECLBL",L-SECLBL,0.9994789400000018
BE13BD,MText,"Buried Pipe",AS-PIPE-UG-T,9.994789400000029
BE14F8,MText,"Wooded Deciduous Swamp",WETLAND,9.994789400000029
BE14FD,MText,"L.S. 7",L-SECTION-LSD,10.000000000000027
BE14FF,MText,"Wooded Mixedwood Swamp",WETLAND,9.994789400000029
BE1503,MText,"L.S. 2",L-SECTION-LSD,10.000000000000027
BE1507,MText,"Theoretic Government Road Allowance",L-ROAD-T,10.000000000000027
BE1546,MText,"SEE DETAIL",DETAIL-T,15.991663040000029
BE1548,AlignedDimension,"Whitecap 20.00 A/R  221258",C-AR-T,Compass 5 000
BE1549,AlignedDimension,"Whitecap 20.00 P/L R/W PLA 220539",C-RW-T,Compass 5 000
BE154A,MText,"Whitecap FC701 1-7 (Surface) MSL 221034",C-WS-T,9.994789400000029
BE154C,AlignedDimension,"Tolko 20.00 A/R  931648",F-AR-T,Compass 5 000
BE154D,AlignedDimension,"CNRL 18.29 P/L R/W  782 2854  770729",F-RW-T,Compass 5 000
BE154E,MText,"4m Trail",T-TEXT,9.994789400000029
BE1550,MText,"Ephemeral Draw",T-WATER-T,9.994789400000029
BE1553,MText,"Intermittent Watercourse",T-WATER-T,9.994789400000029
BE1556,MText,"Small Permanent Watercourse",T-WATER-T,9.994789400000029
BE1559,DBText,"25cm Spruce",T-BUSH-T,9.994789400000029
BE155A,DBText,"25cm Spruce",T-BUSH-T,9.994789400000029
BE155B,DBText,"25cm Spruce",T-BUSH-T,9.994789400000029
BE155C,MText,"45cm Poplar, 25cm Birch & 50cm Scattered Spruce",T-BUSH-T,9.994789400000029
BE155D,MText,"45cm Poplar, 25cm Birch & 50cm Scattered  Spruce",T-BUSH-T,9.994789400000029
BE155E,BlockReference,"*U19",AS-OWNER,0.9994789400000018
BE1572,BlockReference,"GAS",C-WS-S,4.997394700000014
BE1573,BlockReference,"GAS",C-WS-S,4.997394700000014
BE1574,BlockReference,"GAS",C-WS-S,4.997394700000014
BE1575,BlockReference,"GAS",C-WS-S,4.997394700000014
BE1579,MText,"Whitecap FC720 (FC701EXT)  1-7 (Surface) MSL 231786",C-WS-T,9.994789400000029
BE157B,BlockReference,"WC2",C-WS-S,4.997394700000014
BE157C,BlockReference,"WC2",C-WS-S,4.997394700000014
BE157D,BlockReference,"WC2",C-WS-S,4.997394700000014
BE157E,MText,"Theor. S.E.1/4  Sec. 7-65-22-W.5M.",C-SYMBOL,20.000000000000053
BE157F,MText,"UNSURVEYED TERRITORY",L-UNS-T,16.00000000000003
BE1BFE,MText,"Whitecap FC701 1-7 (Surface) MSL 221034",C-WS-T,9.994898600000008
BE1C02,MText,"7m High Grade Gravel Road",T-TEXT,10.000000000000012
BE1C68,BlockReference,"WC2",C-WS-S,4.997449300000004
BE1C69,BlockReference,"WC2",C-WS-S,4.997449300000004
BE1C6A,BlockReference,"WC2",C-WS-S,4.997449300000004
BE1EE5,MText,"25cm Spruce",T-BUSH-T,9.994898600000008
BE2AC7,MText,"Edge of Pad",T-TEXT,9.994898600000004
BE363D,AlignedDimension,"Whitecap 20.00 A/R  221258",C-AR-T,Compass 5 000
BE43C2,MText,"Whitecap FC720 (FC701EXT)  1-7 (Surface) MSL 231786",C-WS-T,9.994789400000029
BE43D7,MText,"DETAIIL SCALE 1:500",DETAIL-T,19.989797200000005
BE43D9,MText,"AERIAL PHOTO DETAIL SCALE 1:1000",DETAIL-T,19.989797200000005
BE6892,BlockReference,"GAS",AS-DRILL-T,4.997449300000001
BE6894,BlockReference,"GAS",AS-DRILL-T,4.997449300000001
BE6895,BlockReference,"GAS",AS-DRILL-T,4.997449300000001
BE6A4A,MText,"W/H 1/24",AS-DRILL-T,9.98969065813549
BE6A4B,BlockReference,"GAS",AS-DRILL-T,4.997449300000001
BE6A4C,MText,"W/H 5-13",AS-DRILL-T,9.98969065813549
BE6A4D,BlockReference,"GAS",AS-DRILL-T,4.997449300000001
BE6A4E,BlockReference,"GAS",AS-DRILL-T,4.997449300000001
BE6A4F,MText,"W/H 14-13",AS-DRILL-T,9.98969065813549
BE6A50,MText,"FUTURE W/C",AS-DRILL-T,9.98969065813549
BE6A51,MText,"FUTURE W/C",AS-DRILL-T,9.98969065813549
BE6A52,MText,"FUTURE W/C",AS-DRILL-T,9.98969065813549
BEF454,BlockReference,"Disclaimer_Legal",AS-DRILL-T,0.5
