Handle,ObjType,Content,Layer,Extra
AF2F7C,BlockReference,"L-SECLBL",L-SECLBL,0.99970833
AF36CA,AlignedDimension,"Obsidian  P/L R/W  4788 MC  1007",C-RW-T,Compass 5 000
AF39FE,AlignedDimension,"Pembina  P/L R/W  4228 KS  4669",F-RW-T,Compass 5 000
AF3DAE,AlignedDimension,"Obsidian  Flow Line R/W  3462",C-RW-T,Compass 5 000
AF45A9,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000066
AF45AE,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000066
AF45B3,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000066
AF45B8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000066
AF45BD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000066
AF45C2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000066
AF4755,BlockReference,"RISER",AS-SYMBOL,5.000000000000066
AF476A,BlockReference,"RISER",AS-SYMBOL,5.000000000000066
AF4777,BlockReference,"RISER",AS-SYMBOL,5.000000000000066
AF6488,BlockReference,"FLARE",AS-SYMBOL,4.995896171831802
AFB784,AlignedDimension,"Obsidian  A/R  3793  be Cancelled)  ______",C-RW-T,Compass 5 000
B0C335,AlignedDimension,"Obsidian  A/R  091164",C-RW-T,Compass 5 000
B191AC,AlignedDimension,"Fortis  Power Line R/W  880684",F-EZE-T,Compass 5 000
B191E0,BlockReference,"*U50",AS-OWNER,0.99970833
B191F5,AlignedDimension,"Obsidian  A/R  5142",C-AR-T,Compass 5 000
B19229,MText,"Obsidian 14-6 (Surface) MSL 861",C-RW-T,9.99708330000007
B1933C,AlignedDimension,"Obsidian  P/L R/W  3925 MC  861",C-RW-T,Compass 5 000
B19360,AlignedDimension,"Obsidian  P/L R/W  1007",C-RW-T,Compass 5 000
B19494,AlignedDimension,"Obsidian  P/L R/W  4229 KS  1189",C-RW-T,Compass 5 000
B195E7,AlignedDimension,"Obsidian  P/L R/W  4375 KS  1976",C-RW-T,Compass 5 000
B19663,AlignedDimension,"Harvest  P/L R/W  053268",F-RW-T,Compass 5 000
B19687,AlignedDimension,"Spartan  P/L R/W  120658",F-RW-T,Compass 5 000
B196BB,AlignedDimension,"Obsidian  P/L R/W  842 2285  840628",C-RW-T,Compass 5 000
B196E7,AlignedDimension,"Obsidian  Width R/W  862 0963  850826",C-RW-T,Compass 5 000
B19893,AlignedDimension,"Taqa  P/L R/W  982 4571  961834",F-RW-T,Compass 5 000
B198C7,MText,"Obsidian 13-6 (Surface) ROE 3462",C-RW-T,9.99708330000007
B198C9,AlignedDimension,"Obsidian  Flow Line R/W  3462",C-RW-T,Compass 5 000
B19A77,AlignedDimension,"Canlin  A/R  4004",F-RW-T,Compass 5 000
B19AA3,AlignedDimension,"Fortis  Vegetation Control R/W  880629",F-EZE-T,Compass 5 000
B19BED,AlignedDimension,"Pembina  P/L R/W  4229 KS  4668",F-EZE-T,Compass 5 000
B19D37,AlignedDimension,"45.72 Road  863PX",L-TITLEDB-T,Compass 5 000
B19D63,AlignedDimension,"60.00 Road  852 1004",L-TITLEDB-T,Compass 5 000
B391A5,AlignedDimension,"Obsidian  Flow Line R/W  3480",C-FLOWLINE-T,Compass 5 000
B3B900,AlignedDimension,"Obsidian  A/R  3462",C-RW-T,Compass 5 000
B3EBEE,MText,"Obsidian Battery Site ROE 3462",C-RW-T,9.99708330000007
B48DC1,BlockReference,"GAS",C-WS-S,5.000000000000023
B48EE2,MText,"Fortis O/H  Power Line",AS-POWER-T,9.99708330000003
B48EE4,DBText,"Hwy. 22",L-ROAD-T,9.997083300000046
B4AAC8,BlockReference,"*U77",AS-OWNER,0.99970833
B5CCEA,MText,"40cm Poplar & Spruce",T-BUSH-T,9.997083300000053
B6207A,DBText,"N.W.1/4 Sec. 6-43-6-W.5M.",C-SYMBOL,19.994166600000025
BA3216,DBText,"Government Road Allowance",L-ROAD-T,10.00000000000001
BA3217,DBText,"(Paved)",T-TEXT,10.00000000000001
BA35CE,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998541650000015
BA35CF,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998541650000015
BA35D0,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998541650000015
BA35DC,MText,"Tanks",AS-STRUCTURE-T,10.000000000000096
BA35DE,MText,"Containment",AS-STRUCTURE-T,10.000000000000096
BA35E1,MText,"Building",AS-STRUCTURE-T,10.000000000000096
BA35E7,MText,"Tank",AS-STRUCTURE-T,10.000000000000096
BA35ED,MText,"Building",AS-STRUCTURE-T,10.000000000000096
BA35F3,MText,"Tank",AS-STRUCTURE-T,10.000000000000096
BA35F7,MText,"Building",AS-STRUCTURE-T,10.000000000000096
BA35FB,MText,"Building",AS-STRUCTURE-T,10.000000000000096
BA35FD,MText,"Cable Tray",AS-CABLE,9.991792343663516
BA35FF,MText,"Pipe Rack",AS-PIPE-RACK,9.991792343663516
BA360E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998541650000015
BA360F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998541650000015
BA3610,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998541650000015
BA3627,AlignedDimension,"Obsidian  A/R  5142",C-AR-T,Compass 5 000
BA3628,MText,"Obsidian 14-6 (Surface) MSL 861",C-RW-T,9.99708330000003
BA362A,MText,"Obsidian Battery Site ROE 3462",C-RW-T,9.99708330000007
BA362D,AlignedDimension,"Obsidian  P/L R/W  3925 MC  861",C-RW-T,Compass 5 000
BA362E,AlignedDimension,"Obsidian  Width R/W  862 0963  850826",C-RW-T,Compass 5 000
BA362F,AlignedDimension,"Obsidian  P/L R/W  840628",C-RW-T,Compass 5 000
BA3630,AlignedDimension,"Obsidian  P/L R/W  4228 KS  1976",C-RW-T,Compass 5 000
BA3631,AlignedDimension,"Obsidian  A/R  091164",C-RW-T,Compass 5 000
BA3632,AlignedDimension,"Fortis  Vegetation Control R/W  880629",F-EZE-T,Compass 5 000
BA3633,AlignedDimension,"Harvest  P/L R/W  053268",F-RW-T,Compass 5 000
BA3634,AlignedDimension,"Canlin  A/R  4004",F-RW-T,Compass 5 000
BA3635,AlignedDimension,"Taqa  P/L R/W  982 4571  961834",F-RW-T,Compass 5 000
BA363A,MText,"Panels",T-TEXT,9.99061962121067
BA363C,MText,"Medium Grade Gravel Road",T-TEXT,9.997083300000012
BA363E,MText,"40cm Poplar & Spruce",T-BUSH-T,9.997083300000053
BA363F,MText,"Fortis O/H  Power Line",AS-POWER-T,9.99708330000003
BA365D,BlockReference,"FLARE",AS-SYMBOL,4.998541650000015
BA365E,BlockReference,"RISER",AS-SYMBOL,4.998541650000015
BA365F,BlockReference,"RISER",AS-SYMBOL,4.998541650000015
BA3660,BlockReference,"RISER",AS-SYMBOL,4.998541650000015
BA3667,MText,"Graminoid Marsh",WETLAND-T,9.997083300000085
BA3678,BlockReference,"*U80",CG-NOTES,0.9994167450713917
BA3FD5,AlignedDimension,"Obsidian  Flow Line R/W  3462",C-RW-T,Compass 5 000
BA6789,AlignedDimension,"Pembina  P/L R/W  4229 KS  4668",F-EZE-T,Compass 5 000
BA67AE,AlignedDimension,"Obsidian  P/L R/W  4229 KS  1189",C-RW-T,Compass 5 000
BA67D3,AlignedDimension,"Pembina  P/L R/W  4228 KS  4669",F-RW-T,Compass 5 000
BA6E0A,AlignedDimension,"Obsidian  P/L R/W  4788 MC  1007",C-RW-T,Compass 5 000
BA6E47,AlignedDimension,"Obsidian  Flow Line R/W  3462",C-RW-T,Compass 5 000
BA6E6E,AlignedDimension,"Obsidian  Flow Line R/W  3462",C-RW-T,Compass 5 000
BA86A3,MText,"100m Buffer",P-BUFFER-PURPLE-T,7.995333960571163
BA92DA,MText,"DETAIL SCALE 1:1000",CG-NOTES,19.988405080952383
BACAA5,BlockReference,"sgxvz",0,1
BAD5D6,MText,"Buried Cable",AS-CABLE,9.991792343663516
BAD5D8,BlockReference,"lightpole",AS-SYMBOL,5.0000000000000036
BADB87,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.0000000000000036
BADB8E,BlockReference,"RISER",AS-SYMBOL,5.0000000000000036
BAE164,MText,"Pump",T-TEXT,9.99061962121067
BAE166,MText,"Cathodic Panel",T-TEXT,9.99061962121067
BAE16B,MText,"Cathodic Panel",T-TEXT,9.99061962121067
BAE6F5,MText,"Tower",T-TEXT,9.99061962121067
BAE6F6,MText,"Panel",T-TEXT,9.99061962121067
BAE70F,MText,"SEE DETAIL",DETAIL-T,16.000000000000007
BB0852,AlignedDimension,"Obsidian  P/L R/W  241097",C-RW-T,Compass 5 000
BB0923,AlignedDimension,"Obsidian  P/L R/W  241097",C-RW-T,Compass 5 000
BB0EDD,MText,"Tower",T-TEXT,9.99061962121067
BB1A2F,BlockReference,"as-built legend",0,0.99970833
BC16EA,BlockReference,"Disclaimer_Legal",0,0.5
