Handle,ObjType,Content,Layer,Extra
BC4B7D,DBText,"RP",0,9.997219999999983
BC4B93,BlockReference,"L-SECLBL",L-SECLBL,0.9997219999999998
BC4B99,DBText,"Government Road Allowance",L-ROAD-T,9.997219999999988
BC4B9A,DBText,"Government Road Allowance",L-ROAD-T,9.997219999999988
BC4B9B,MText,"L.S. 11",L-SECTION-LSD,9.99721999999999
BC4B9D,MText,"L.S. 12",L-SECTION-LSD,9.99721999999999
BC4B9F,MText,"L.S. 14",L-SECTION-LSD,9.99721999999999
BC4BA0,MText,"L.S. 13",L-SECTION-LSD,9.99721999999999
BC4BDA,MText,"Sharp-Tailed Grouse Range Boundary",AS-WILDLIFE,9.999999999999995
BC4C01,AlignedDimension,"Obsidian  A/R  171050",C-AR-T,Compass 5 000
BC4C02,AlignedDimension,"Obsidian  A/R  230843",C-AR-T,Compass 5 000
BC4C03,AlignedDimension,"Obsidian  A/R  231419",C-AR-T,Compass 5 000
BC4C04,MText,"Obsidian 14-9 (Surface) MSL 3832 (Expired)",C-AR-T,9.997219999999992
BC4C05,MText,"Obsidian Battery Site MSL 10393",C-AR-T,9.997219999999992
BC4C06,MText,"Obsidian 12-9 (Surface) MSL 10201",C-AR-T,9.997219999999992
BC4C08,AlignedDimension,"Obsidian  P/L R/W  5028 TR  4972",C-RW-T,Compass 5 000
BC4C09,AlignedDimension,"Obsidian  P/L R/W  862 2463  860485",C-RW-T,Compass 5 000
BC4C0A,AlignedDimension,"Pembina  P/L R/W  752 0557  5248",F-RW-T,Compass 5 000
BC4C0B,AlignedDimension,"Gran Tierra  P/L R/W  982 0717  950929",F-RW-T,Compass 5 000
BC4C0C,DBText,"(Undeveloped)",T-TEXT,9.997219999999988
BC4C0D,DBText,"(Undeveloped)",T-TEXT,9.997219999999988
BC4C0E,BlockReference,"GABD",F-WS-S,4.998609999999997
BC4C0F,BlockReference,"GAS",C-WS-S,4.998609999999997
BC4E1C,BlockReference,"FDI",L-MON,5
BC4E2F,BlockReference,"FDI",L-MON,5
BC4E34,BlockReference,"FDI",L-MON,5
BC4E39,BlockReference,"FDI",L-MON,5
BC4E4D,BlockReference,"plspike",L-MON,5
BC4E66,BlockReference,"plspike",L-MON,5
BC864E,MText,"Culverts",T-TEXT,9.997159
BC9805,BlockReference,"fdspike",L-MON,5
BC9806,BlockReference,"fdspike",L-MON,5
BC9807,BlockReference,"fdspike",L-MON,5
BC9808,BlockReference,"fdspike",L-MON,5
BC990F,BlockReference,"FDI",L-MON,4.9985795
BC9E30,BlockReference,"TEMP",L-MON,5
BC9E31,BlockReference,"TEMP",L-MON,5
BC9EA4,AlignedDimension,"20.12 A/R",P-TXT,Compass 5 000
BCAAFF,MText,"N.W.1/4 Sec. 9-47-6-W.5M.",C-SYMBOL,19.994318
BCAB00,MText,"Area Required = 0.614 ha  1.51 Ac.",L-AREAREQUIRED,10.9968749
BCAD33,AlignedDimension,"20.12 A/R",P-TXT,Compass 5 000
BCAD37,BlockReference,"GAS",C-WS-S,4.9985795
BCAD38,BlockReference,"FDI",L-MON,4.9985795
BCAD39,BlockReference,"plspike",L-MON,4.9985795
BCAD3A,BlockReference,"plspike",L-MON,4.9985795
BCAD3B,BlockReference,"fdspike",L-MON,4.9985795
BCAD3C,BlockReference,"fdspike",L-MON,4.9985795
BCAD3D,BlockReference,"fdspike",L-MON,4.9985795
BCAD3E,BlockReference,"fdspike",L-MON,4.9985795
BCAD40,BlockReference,"TEMP",L-MON,4.9985795
BCADEA,MText,"Obsidian 12-9 (Surface) MSL 10201",C-AR-T,9.997219999999992
BCAE5D,MText,"W/H 12-9",C-AR-T,9.997219999999992
BCAE5E,AlignedDimension,"Pembina  P/L R/W  752 0557  5248",F-RW-T,Compass 5 000
BCAE8E,AlignedDimension,"Obsidian  P/L R/W  5028 TR  4972",C-RW-T,Compass 5 000
BCAEBE,AlignedDimension,"Obsidian  A/R  171050",C-AR-T,Compass 5 000
BCB028,DBText,"350.85 (Tie)",L-BD,9.997159
BCB029,DBText,"244°53'45''",L-BD,9.997159
BCB02A,DBText,"350.85 (Tie)",L-BD,9.997159
BCB02B,DBText,"244°53'45''",L-BD,9.997159
BCB02D,DBText,"268°13'15''",L-BD,9.997159
BCB02F,DBText,"178°",L-BD,9.997159
BCB031,DBText,"15''",L-BD,9.997159
BCB033,DBText,"15''",L-BD,9.997159
BCB035,DBText,"88°",L-BD,9.997159
BCB037,DBText,"358°",L-BD,9.997159
BCB147,DBText,"72°",L-BD,9.997159
BCB259,DBText,"87°26'20''",L-BD,9.997159
BCB25D,DBText,"40''",L-BD,9.997159
BCB25F,DBText,"87°26'20''",L-BD,9.997159
BCB262,DBText,"87°26'20''",L-BD,9.997159
BCBC20,MText,"SEE DETAIL",DETAIL-T,15.9954544
BCBE36,MText,"DETAIL SCALE 1:1000",CG-NOTES,19.989386601408487
BCC05B,MText,"20.12 calc.",L-BD,9.997159
BCC1FC,DBText,"358°",L-BD,9.997159
BCC1FE,DBText,"25''",L-BD,9.997159
BCCC56,MText,"Fd.I. N.E. 8",L-MON,9.997533600000242
BCCDA6,MText,"Fd.I. Bent Accepted I. Hole",L-MON,9.997533600000242
BCCDB5,MText,"Fd.I. c.s.",L-MON,9.997533600000242
BCCDB7,MText,"Fd.I. c.s.",L-MON,9.997533600000242
BCEBD1,AlignedDimension,"Obsidian  A/R  3831  To Be",C-AR-T,Compass 5 000
BCED1E,DBText,"13'",L-BD,9.997159
BCEED9,BlockReference,"TEMP",L-MON,5
BCEF07,BlockReference,"TEMP",L-MON,4.9985795
BCEF13,DBText,"15''",L-BD,9.997159
BCEF18,BlockReference,"FDI",L-MON,4.9985795
BCEF2C,MText,"6.20 40''",L-BD,9.997158999999998
BCF106,MText,"Fd.I. (Top Broken)",L-MON,9.997533600000242
BCF1E5,DBText,"72°",L-BD,9.997159
BCF1E6,MText,"Culvert (660mm Dia. Length = 8.9m)",T-TEXT,9.997159
BCF2F0,MText,"Culvert (660mm Dia. Length = 9.7m)",T-TEXT,9.997159
BCF6FA,DBText,"13'",L-BD,9.997159
BCF6FB,DBText,"13'",L-BD,9.997159
BCF6FC,AlignedDimension,"Obsidian  A/R  3831  To Be",C-AR-T,Compass 5 000
BCF72C,DBText,"13'",L-BD,9.997159
BCF72D,DBText,"13'",L-BD,9.997159
BCF72E,DBText,"13'",L-BD,9.997159
BD1D8A,MText,"Re-Est. Position by MSL 10201",L-MON,9.997533600000242
BD1D8D,MText,"Re-Est. Position by MSL 10201",L-MON,9.997533600000242
