Handle,ObjType,Content,Layer,Extra
BC418D,BlockReference,"L-SECLBL",L-SECLBL,0.9995530000000034
BC4193,BlockReference,"L-SECLBL",L-SECLBL,0.9995530000000034
BC4199,MText,"L.S. 3",L-SECTION-LSD,9.995530000000064
BC419B,MText,"L.S. 4",L-SECTION-LSD,9.995530000000064
BC419D,MText,"L.S. 6",L-SECTION-LSD,9.995530000000064
BC419F,MText,"L.S. 5",L-SECTION-LSD,9.995530000000064
BC41A1,MText,"L.S. 1",L-SECTION-LSD,9.995530000000064
BC41A2,MText,"L.S. 2",L-SECTION-LSD,9.995530000000064
BC41A4,MText,"L.S. 8",L-SECTION-LSD,9.995530000000064
BC41A5,MText,"L.S. 7",L-SECTION-LSD,9.995530000000064
BC41A8,MText,"Brazeau County",L-33,11.994636000000037
BC41AA,DBText,"Government Road Allowance",L-ROAD-T,9.995530000000064
BC41AB,MText,"Yellowhead County",L-33,11.994636000000037
BC41AD,MText,"Rge. 12",D-TXT,13.993742000000072
BC41AE,MText,"Rge. 11",D-TXT,13.993742000000072
BC422A,MText,"S.E.1/4 Sec. 24-50-12-W.5M.",C-SYMBOL,19.99106000000013
BC422B,MText,"S.W.1/4 Sec. 19-50-11-W.5M.",C-SYMBOL,19.99106000000013
BC422E,DBText,"TPA 491",AS-TRAPPER-T,9.994150000000069
BC422F,DBText,"TPA 2327",AS-TRAPPER-T,9.994150000000069
BC424A,MText,"Fortis O/H Power Line",AS-POWER,9.998469049977263
BC424D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999964
BC424E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999964
BC424F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999964
BC4250,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999964
BC4251,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999964
BC4252,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999964
BC4253,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999964
BC4254,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.9999999999999964
BC426E,BlockReference,"RP",CG-NOTES,1
BC4275,BlockReference,"*U43",CG-NOTES,1
BC428B,AlignedDimension,"Obsidian  A/R  031649",C-AR-T,Compass 5 000
BC428C,AlignedDimension,"Obsidian  A/R  2273",C-AR-T,Compass 5 000
BC428E,AlignedDimension,"Obsidian  A/R  3150",C-AR-T,Compass 5 000
BC4290,AlignedDimension,"Obsidian  P/L R/W  780171",C-RW-T,Compass 5 000
BC4291,AlignedDimension,"Obsidian  P/L R/W  762 0516  5638",C-RW-T,Compass 5 000
BC4292,AlignedDimension,"Obsidian  P/L R/W  052 2439  022350",C-RW-T,Compass 5 000
BC4293,AlignedDimension,"Obsidian  P/L R/W  072 9849  032999",C-RW-T,Compass 5 000
BC4294,AlignedDimension,"Obsidian  P/L R/W  072 9819  042307",C-RW-T,Compass 5 000
BC4295,AlignedDimension,"Obsidian  P/L R/W  100430",C-RW-T,Compass 5 000
BC4296,AlignedDimension,"Obsidian  P/L R/W  100590",C-RW-T,Compass 5 000
