Handle,ObjType,Content,Layer,Extra
AF2C76,BlockReference,"L-SECLBL",L-SECLBL,1
AF2C81,BlockReference,"L-SECLBL",L-SECLBL,1
AF2D53,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE,Compass 5 000
AF2D54,AlignedDimension,"Fortis  Power Line R/W  060271",F-EZE,Compass 5 000
AF2D55,AlignedDimension,"Fortis  Power Line R/W  810032",F-EZE,Compass 5 000
AF2D56,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE,Compass 5 000
AF2D78,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996454199999956
AF2D79,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996454199999956
AF2D80,DBText,"Theor. N.E.1/4 Sec. 17-43-8-W.5M.",C-SYMBOL,19.992908399999912
AF2D81,DBText,"Theor. N.W.1/4 Sec. 17-43-8-W.5M.",C-SYMBOL,19.992908399999912
AF2D82,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994326719999913
AF2D84,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994326719999913
AF2D8C,MText,"L.S. 9",L-SECTION-LSD,9.996454199999956
AF2D8E,MText,"L.S. 10",L-SECTION-LSD,9.996454199999956
AF2D90,MText,"L.S. 16",L-SECTION-LSD,9.996454199999956
AF2D92,MText,"L.S. 15",L-SECTION-LSD,9.996454199999956
AF2D94,MText,"L.S. 11",L-SECTION-LSD,9.996454199999956
AF2D96,MText,"L.S. 12",L-SECTION-LSD,9.996454199999956
AF2D98,MText,"L.S. 14",L-SECTION-LSD,9.996454199999956
AF2D99,MText,"L.S. 13",L-SECTION-LSD,9.996454199999956
AF2D9B,MText,"L.S. 9",L-SECTION-LSD,9.996454199999956
AF2D9D,MText,"L.S. 10",L-SECTION-LSD,9.996454199999956
AF2D9F,MText,"L.S. 16",L-SECTION-LSD,9.996454199999956
AF2DA1,MText,"L.S. 15",L-SECTION-LSD,9.996454199999956
AF3103,AlignedDimension,"Fortis  Power Line R/W  790143",F-EZE,Compass 5 000
AF3104,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE-T,Compass 5 000
AF312F,MText,"Buried Pipe (Typ.)",AS-PIPE-UG-T,9.996454199999981
AF3152,MText,"Theor. N.E.1/4 Sec. 18-43-8-W.5M.",C-SYMBOL,19.992908399999912
AF3153,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994326719999913
AF3155,AlignedDimension,"Fortis  Vegetation Control R/W  880292",F-EZE,Compass 5 000
AF3157,AlignedDimension,"Fortis  Power Line R/W  100230",F-EZE,Compass 5 000
AF315B,BlockReference,"*U49",DETAIL-T,0.99964541
AF316D,BlockReference,"*U50",DETAIL-T,0.99964541
AF31A0,AlignedDimension,"Obsidian  A/R MSL 3531",C-AR-T,Compass 5 000
AF31BE,AlignedDimension,"Obsidian  A/R  791163",C-AR-T,Compass 5 000
AF31BF,AlignedDimension,"Obsidian  Flow Line R/W  2219  be Amended)",C-FLOWLINE-T,Compass 5 000
AF31C0,AlignedDimension,"Obsidian  Flow Line R/W  2075",C-FLOWLINE-T,Compass 5 000
AF31C1,AlignedDimension,"Obsidian  Flow Line R/W  2075",C-FLOWLINE-T,Compass 5 000
AF31C2,AlignedDimension,"Obsidian  P/L R/W PLA 5050",C-RW-T,Compass 5 000
AF31C3,AlignedDimension,"Obsidian  P/L R/W PLA 780283",C-RW-T,Compass 5 000
AF31C4,AlignedDimension,"Obsidian  P/L R/W  780287",C-RW-T,Compass 5 000
AF31C5,AlignedDimension,"Obsidian  A/R  3158",C-RW-T,Compass 5 000
AF31C6,AlignedDimension,"Obsidian  P/L R/W  3974",C-RW-T,Compass 5 000
AF31C7,AlignedDimension,"Obsidian  P/L R/W  3975",C-RW-T,Compass 5 000
AF31C8,AlignedDimension,"Obsidian  P/L R/W  791166",C-RW-T,Compass 5 000
AF31C9,AlignedDimension,"Obsidian  P/L R/W  3063",C-RW-T,Compass 5 000
AF31CA,AlignedDimension,"Obsidian  P/L R/W  091441  Cert. SW2-10-LC*07)",C-RW-T,Compass 5 000
AF31CB,AlignedDimension,"Obsidian  P/L R/W  091615",C-RW-T,Compass 5 000
AF31CC,AlignedDimension,"Obsidian  P/L R/W  780288",C-RW-T,Compass 5 000
AF31CD,AlignedDimension,"Obsidian  P/L R/W  780289",C-RW-T,Compass 5 000
AF31CE,AlignedDimension,"Obsidian  P/L R/W  892 3292  890473",C-RW-T,Compass 5 000
AF31CF,AlignedDimension,"Obsidian  P/L R/W  210421",C-RW-T,Compass 5 000
AF31D0,AlignedDimension,"Obsidian  P/L R/W  822 0881  810094",C-RW-T,Compass 5 000
AF31D1,AlignedDimension,"Obsidian  P/L R/W  4375",C-RW-T,Compass 5 000
AF31D3,AlignedDimension,"Obsidian  P/L R/W  780287",C-RW-T,Compass 5 000
AF31D4,AlignedDimension,"Obsidian  P/L R/W  790072",C-RW-T,Compass 5 000
AF31D5,AlignedDimension,"Obsidian  P/L R/W  210421",C-RW-T,Compass 5 000
AF31D6,AlignedDimension,"Obsidian  P/L R/W  4375",C-RW-T,Compass 5 000
AF31D7,AlignedDimension,"Obsidian  P/L R/W  822 0881  810094",C-RW-T,Compass 5 000
AF31D8,AlignedDimension,"Obsidian  P/L R/W  4505 NY  2272",C-RW-T,Compass 5 000
AF31D9,AlignedDimension,"Obsidian  P/L R/W  200558",C-RW-T,Compass 5 000
AF31DA,AlignedDimension,"Obsidian  P/L R/W  6560 NY  2802",C-RW-T,Compass 5 000
AF31DB,MText,"Obsidian 10-17 (Surface)MSL 230839",C-WS-T,9.996454199999956
AF31DD,MText,"Obsidian 16-17 (Surface)MSL 10062",C-WS-T,9.996454199999956
AF31DF,MText,"Obsidian 2-20 (Surface)MSL 11761",C-WS-T,9.996454199999956
AF31E1,MText,"Obsidian 9-17 (Surface)MSL 791291",C-WS-T,9.996454199999956
AF31E3,MText,"Obsidian 12-17 (Surface)MSL 10629 (To Be Cancelled)",C-WS-T,9.996454199999956
AF31E5,MText,"Obsidian 11-17 (Surface)MSL 780113",C-WS-T,9.996454199999956
AF31E7,MText,"Obsidian 13-17 (Surface)MSL 780114",C-WS-T,9.996454199999956
AF31E9,MText,"Obsidian 10-18 (Surface) MSL 3647 (Expired)",C-WS-T,9.996454199999956
AF31EB,MText,"Obsidian 12-16 (Surface)MSL 772018",C-WS-T,9.996454199999956
AF31EF,AlignedDimension,"Fortis  Power Line R/W  220012",F-EZE-T,Compass 5 000
AF31F0,AlignedDimension,"Obsidian  A/R  231074",C-AR-T,Compass 5 000
AF31F3,MText,"Riser",T-TEXT,9.996454199999981
AF31F4,MText,"Riser",T-TEXT,9.996454199999981
AF31F9,MText,"Fortis  O/H Power Line",AS-POWER-T,9.996454199999981
AF31FC,BlockReference,"GAS",AS-SYMBOL,4.99999999999997
AF3200,BlockReference,"GAS",C-WS-S,4.998227099999978
AF3201,BlockReference,"GAS",C-WS-S,4.998227099999978
AF3202,BlockReference,"GAS",C-WS-S,4.998227099999978
AF3203,BlockReference,"GAS",C-WS-S,4.998227099999978
AF3204,BlockReference,"GAS",C-WS-S,4.998227099999978
AF3206,BlockReference,"GAS",C-WS-S,4.998227099999978
AF3207,BlockReference,"GAS",C-WS-S,4.998227099999978
AF3209,BlockReference,"FDI",L-MON,4.99999999999997
AF320D,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99999999999997
AF320E,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99999999999997
AF320F,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99999999999997
AF3210,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99999999999997
AF3211,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99999999999997
AF3212,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99999999999997
