Handle,ObjType,Content,Layer,Extra
BC8C3F,BlockReference,"L-SECLBL",L-SECLBL,0.9996239999999994
BC8C45,DBText,"S.W.1/4 Sec. 16-49-9-W.5M.",C-SYMBOL,19.992479999999986
BC8C46,DBText,"Access Road = 0.156 ha  0.39 Ac.",L-AREAREQUIRED,10.99586399999998
BC8C48,DBText,"S.E.1/4 Sec. 16-49-9-W.5M.",C-SYMBOL,19.992479999999986
BC8C49,DBText,"Access Road = 0.125 ha  0.31 Ac.",L-AREAREQUIRED,10.99586399999998
BC8C4B,MText,"L.S. 3",L-SECTION-LSD,9.996239999999993
BC8C4D,MText,"L.S. 4",L-SECTION-LSD,9.996239999999993
BC8C4F,MText,"L.S. 5",L-SECTION-LSD,9.996239999999993
BC8C51,MText,"L.S. 1",L-SECTION-LSD,9.996239999999993
BC8C52,MText,"L.S. 2",L-SECTION-LSD,9.996239999999993
BC8C54,MText,"L.S. 8",L-SECTION-LSD,9.996239999999993
BC8C55,MText,"L.S. 7",L-SECTION-LSD,9.996239999999993
BC8C5D,DBText,"Government Road Allowance",L-ROAD-T,9.996239999999995
BC8C5E,DBText,"Government Road Allowance",L-ROAD-T,9.996239999999995
BC8C5F,DBText,"Government Road Allowance",L-ROAD-T,9.996239999999995
BC8C60,DBText,"Government Road Allowance",L-ROAD-T,9.996239999999995
BC8CCF,MText,"Fortis O/H Power Line",AS-POWER,9.99624
BC8CD5,AlignedDimension,"Obsidian  A/R  160169  To be",C-AR-T,Compass 5 000
BC8CD6,AlignedDimension,"Obsidian  A/R  796",C-AR-T,Compass 5 000
BC8CD7,AlignedDimension,"Obsidian  A/R  796",C-AR-T,Compass 5 000
BC8CD8,AlignedDimension,"Obsidian  A/R  796",C-AR-T,Compass 5 000
BC8CD9,AlignedDimension,"Obsidian  Flow Line R/W  796",C-FLOWLINE-T,Compass 5 000
BC8CDA,AlignedDimension,"Obsidian  Flow Line R/W  796",C-FLOWLINE-T,Compass 5 000
BC8CDB,AlignedDimension,"Obsidian  A/R  796",C-FLOWLINE-T,Compass 5 000
BC8CDC,AlignedDimension,"Obsidian  A/R  796",C-FLOWLINE-T,Compass 5 000
BC8CDD,AlignedDimension,"Obsidian  P/L R/W  050979",C-RW-T,Compass 5 000
BC8CDE,AlignedDimension,"Obsidian  P/L R/W  050917",C-RW-T,Compass 5 000
BC8CDF,AlignedDimension,"Obsidian  P/L R/W  5029 KS  1331  4930",C-RW-T,Compass 5 000
BC8CE0,AlignedDimension,"Obsidian  P/L R/W  5029 KS  1331  4930",C-RW-T,Compass 5 000
BC8CE1,AlignedDimension,"Obsidian  P/L R/W  1677",C-RW-T,Compass 5 000
BC8CE2,MText,"Obsidian 8-16 (Surface) MSL 796",C-WS-T,9.99624
BC8CE3,MText,"Obsidian 2-16 (Surface) MSL 796",C-WS-T,9.99624
BC8CE4,MText,"Obsidian 4-16 (Surface) MSL 796",C-WS-T,9.99624
BC8CE5,MText,"Obsidian 6-16 (Surface) MSL 796",C-WS-T,9.99624
BC8CE6,MText,"Obsidian 6-16 (Surface) MSL 042137",C-WS-T,9.99624
BC8CE7,MText,"Obsidian Riser Site PIL 160061 (Expired, To be Cancelled)",C-WS-T,9.99624
BC8CE9,MText,"4-16 (Abd.)",C-WS-T,9.99624
BC8CEA,MText,"2-16 (Abd.)",C-WS-T,9.99624
BC8CEB,MText,"8-16 (Abd.)",C-WS-T,9.99624
BC8CEC,MText,"6-16 (Abd.)",C-WS-T,9.99624
BC8CED,AlignedDimension,"Fortis  Power Line R/W  870408",F-EZE-T,Compass 5 000
BC8CEE,MText,"Fortis 3.05 Power Line R/W EZE 1738",F-EZE-T,9.99624
BC8CF1,AlignedDimension,"PMC  P/L R/W  5029 KS  5502",F-RW-T,Compass 5 000
BC8CF2,AlignedDimension,"PMC  P/L R/W  5029 KS  5503",F-RW-T,Compass 5 000
BC8CF3,AlignedDimension,"Pembina  P/L R/W  4380 KS  5044",F-RW-T,Compass 5 000
BC8CF4,MText,"102/6-16 (Abd.)",F-WS-T,9.99624
BC8CF5,DBText,"(Undeveloped)",T-TEXT,9.996239999999995
BC8CF6,DBText,"(Undeveloped)",T-TEXT,9.996239999999995
BC8CF7,DBText,"(Undeveloped)",T-TEXT,9.996239999999995
BC8CF8,DBText,"(Undeveloped)",T-TEXT,9.996239999999995
BC8CF9,BlockReference,"*U24",AS-OWNER,0.9996239999999994
BC8D08,BlockReference,"*U24",AS-OWNER,0.9996239999999994
BC8D17,BlockReference,"GABD",F-WS-S,4.999999999999997
BC8D18,BlockReference,"GABD",F-WS-S,4.999999999999997
BC8D19,BlockReference,"GABD",F-WS-S,4.999999999999997
BC8D1A,BlockReference,"GABD",F-WS-S,4.999999999999997
BC8D1B,BlockReference,"GABD",F-WS-S,4.999999999999997
BC8D1C,BlockReference,"GAS",C-WS-S,4.999999999999997
BC8D1D,BlockReference,"GAS",C-WS-S,4.999999999999997
BC8D1E,BlockReference,"GAS",C-WS-S,4.999999999999997
BC8D1F,MText,"L.S. 6",L-SECTION-LSD,9.996239999999993
BC974F,BlockReference,"FDI",L-MON,5
BC9754,BlockReference,"FDI",L-MON,5
BC9763,BlockReference,"FDI",L-MON,5
BC9768,BlockReference,"FDI",L-MON,4.9981353
BC976D,BlockReference,"plspike",L-MON,4.9981353
BC9772,BlockReference,"plspike",L-MON,4.9981353
BC9777,BlockReference,"plspike",L-MON,4.9981353
BC977C,BlockReference,"plspike",L-MON,4.9981353
BC9781,BlockReference,"plspike",L-MON,5
BC9786,BlockReference,"plspike",L-MON,5
BC97C7,BlockReference,"PIG",AS-SYMBOL,4.9981353
BC97D8,BlockReference,"RISER",AS-SYMBOL,4.9981353
BC9807,BlockReference,"VALVE",AS-SYMBOL,4.9981353
BC980C,BlockReference,"VALVE",AS-SYMBOL,4.9981353
BC9811,BlockReference,"VALVE",AS-SYMBOL,4.9981353
BC9816,BlockReference,"RISER",AS-SYMBOL,4.9981353
BC981B,BlockReference,"RISER",AS-SYMBOL,4.9981353
BCBC27,MText,"Grizzly Bear Support  Zone Boundary",AS-WILDLIFE,10
BCE680,BlockReference,"TEMP",L-MON,4.9981353
BD5C84,AlignedDimension,"Obsidian  A/R  160169  To be",C-AR-T,Compass 5 000
