Handle,ObjType,Content,Layer,Extra
BC4B20,BlockReference,"L-SECLBL",L-SECLBL,0.999613
BC4B26,MText,"L.S. 11",L-SECTION-LSD,9.996129999999994
BC4B28,MText,"L.S. 12",L-SECTION-LSD,9.996129999999994
BC4B2A,DBText,"Government Road Allowance",L-ROAD-T,9.996129999999994
BC4B2B,DBText,"Government Road Allowance",L-ROAD-T,9.996129999999994
BC4B2C,MText,"Rge. 10",D-TXT,13.999999999999995
BC4BB7,MText,"Rge. 9",D-TXT,13.999999999999995
BC4BB8,MText,"Twp. 49",D-TXT,13.999999999999995
BC4BB9,MText,"Twp. 48",D-TXT,13.999999999999995
BC4BBA,MText,"L.S. 14",L-SECTION-LSD,9.996129999999994
BC4BBB,MText,"L.S. 13",L-SECTION-LSD,9.996129999999994
BC4BBE,MText,"N.W.1/4 Sec. 31-48-9-W.5M.",C-SYMBOL,19.992259999999987
BC4BC9,MText,"Fortis O/H Power Line",AS-POWER,10.002928255364196
BC4BCC,BlockReference,"RP",CG-NOTES,1
BC4BD0,BlockReference,"*U36",CG-NOTES,0.999613
BC4BE6,AlignedDimension,"Obsidian  A/R  71",C-AR-T,Compass 5 000
BC4BE7,AlignedDimension,"Obsidian  A/R  2519",C-AR-T,Compass 5 000
BC4BE8,AlignedDimension,"Obsidian  Flow Line R/W  2519",C-FLOWLINE-T,Compass 5 000
BC4BEB,AlignedDimension,"Obsidian  P/L R/W  072 4011  042504",C-RW-T,Compass 5 000
BC4BEC,AlignedDimension,"Obsidian  P/L R/W  5023 KS  5247",C-RW-T,Compass 5 000
BC4BED,MText,"Obsidian 12-31 (Surface) MSL 71",C-WS-T,9.996129999999996
BC4BF2,MText,"Obsidian 14-31 (Surface) ROE 2519",C-WS-T,9.996129999999996
BC4BF4,AlignedDimension,"Pembina  A/R  241312",F-AR-T,Compass 5 000
BC4BF5,AlignedDimension,"Fortis  Vegetation Control R/W  870565",F-EZE-T,Compass 5 000
BC4BF7,AlignedDimension,"Pembina  P/L R/W  080534",F-RW-T,Compass 5 000
BC4BF8,AlignedDimension,"PMC  P/L R/W  812 0189  790157",F-RW-T,Compass 5 000
BC4BF9,AlignedDimension,"PMC  P/L R/W  862 1911  860169",F-RW-T,Compass 5 000
BC4BFA,AlignedDimension,"Pembina  P/L R/W  960789",F-RW-T,Compass 5 000
BC4BFB,AlignedDimension,"Gran Tierra  P/L R/W  970912",F-RW-T,Compass 5 000
BC4BFC,AlignedDimension,"Pembina  P/L R/W  1769 KS  2504",F-RW-T,Compass 5 000
BC4BFD,AlignedDimension,"Pembina  P/L R/W  2541",F-RW-T,Compass 5 000
BC4BFE,AlignedDimension,"Pembina  P/L R/W  1991 KS  2711",F-RW-T,Compass 5 000
BC4BFF,MText,"Pembina Riser Site PIL 000169",F-WS-T,9.996129999999996
BC4C02,AlignedDimension,"10.36 Road  3247 JY",L-TITLEDB-T,Compass 5 000
BC4C03,DBText,"(Paved)",T-TEXT,9.996129999999994
BC4C04,DBText,"(Undeveloped)",T-TEXT,9.996129999999994
BC4C05,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.002928255364196
BC4C07,BlockReference,"GAS",C-WS-S,4.999999999999998
BC4C08,BlockReference,"GAS",C-WS-S,4.999999999999998
BC4FF6,BlockReference,"FDI",L-MON,5
