Handle,ObjType,Content,Layer,Extra
BC5D7B,BlockReference,"RP",CG-NOTES,-1
BC5EE5,BlockReference,"L-SECLBL",L-SECLBL,0.99966016
BC5EED,DBText,"S.E.1/4 Sec. 29-51-8-W.5M.",C-SYMBOL,19.993203199999936
BC5EEE,DBText,"Well Site = 0.990 ha  2.45 Ac.",L-AREAREQUIRED,10.996261759999951
BC5EEF,DBText,"Access Road = 0.164 ha  0.40 Ac.",L-AREAWORK,10.996261759999951
BC5EF0,MText,"L.S. 1",L-SECTION-LSD,9.996601599999968
BC5EF1,MText,"L.S. 2",L-SECTION-LSD,9.996601599999968
BC5EF3,MText,"L.S. 8",L-SECTION-LSD,9.996601599999968
BC5EF4,MText,"L.S. 7",L-SECTION-LSD,9.996601599999968
BC5F03,DBText,"Government Road Allowance",L-ROAD-T,9.996601599999968
BC5F04,DBText,"(Undeveloped)",T-TEXT,9.996601599999968
BC5F05,DBText,"Government Road Allowance",L-ROAD-T,9.996601599999968
BC5F06,DBText,"(Undeveloped)",T-TEXT,9.996601599999968
BC6A7B,AlignedDimension,"Fortis  Power Line R/W  980196",F-EZE-T,Compass 5 000
BC6AAE,AlignedDimension,"Obsidian  A/R  030140",C-AR-T,Compass 5 000
BC6C2C,AlignedDimension,"Obsidian  A/R  800910",C-AR-T,Compass 5 000
BC6C65,MText,"Obsidian 7-29 (Surface) MSL 030167",C-WS-T,10.996261759999957
BC6C66,AlignedDimension,"Obsidian  P/L R/W  022495",C-RW-T,Compass 5 000
BC6CA0,AlignedDimension,"Obsidian  P/L R/W  082 2962  031160",C-RW-T,Compass 5 000
BC6CD1,AlignedDimension,"Obsidian  P/L R/W  052042",C-RW-T,Compass 5 000
BC6D02,AlignedDimension,"Inplay  P/L R/W  082335",F-RW-T,Compass 5 000
BC6ED5,BlockReference,"GABD",F-WS-S,4.999999999999986
BC6ED6,MText,"7-29 (Abd.)",C-WS-T,10.996261759999957
BC7004,BlockReference,"GAS",C-WS-S,4.999999999999986
BC714A,MText,"Fortis O/H Power Line",AS-POWER,9.996601599999975
BC735A,BlockReference,"FDI",L-MON,4.999999999999988
BC735F,BlockReference,"plspike",L-MON,4.999999999999988
BC7364,BlockReference,"FDI",L-MON,4.999999999999988
BC736E,BlockReference,"plspike",L-MON,4.999999999999988
BC7373,BlockReference,"plspike",L-MON,4.999999999999988
BC7378,BlockReference,"plspike",L-MON,4.999999999999988
BC789C,BlockReference,"TEMP",L-MON,4.998300799999991
BC789D,BlockReference,"TEMP",L-MON,4.998300799999991
BC79C1,MText,"Fd.I Mp. N.1/4 20",L-MON,9.999999999999982
BC79C2,MText,"Fd.I Mp. N.E. 20",L-MON,9.999999999999982
BC7B28,DBText,"268°24'45"",L-BD,9.996601599999986
BC7B2C,DBText,"88°24'45"",L-BD,9.996601599999986
BC7C44,DBText,"45''",L-BD,9.996601599999986
BC7D31,BlockReference,"RP",CG-NOTES,-0.99966016
BC7D39,BlockReference,"FDI",L-MON,4.998300799999993
BC7D3B,BlockReference,"plspike",L-MON,4.998300799999993
BC7D3C,BlockReference,"plspike",L-MON,4.998300799999993
BC7D3D,BlockReference,"TEMP",L-MON,4.998300799999993
BC7D3E,BlockReference,"TEMP",L-MON,4.998300799999993
BC7D6F,DBText,"268°24'45''",L-BD,9.996601599999986
BC7D7B,AlignedDimension,"Inplay  P/L R/W  082335",F-RW-T,Compass 5 000
BC7ED1,AlignedDimension,"Fortis  Power Line R/W  980196",F-EZE-T,Compass 5 000
BC802A,DBText,"268°24'45"",L-BD,9.996601599999986
BC802B,DBText,"358°24'45"",L-BD,9.996601599999986
BC802D,DBText,"178°24'45"",L-BD,9.996601599999986
BC813E,DBText,"88°24'45''",L-BD,9.996601599999986
BC8140,DBText,"179°16'50''",L-BD,9.996601599999986
BC814E,DBText,"24'",L-BD,9.996601599999986
BC8154,DBText,"268°",L-BD,9.996601599999986
BC8260,AlignedDimension,"15.00 A/R",P-TXT,Compass 5 000
BC828C,AlignedDimension,"15.00 A/R",P-TXT,Compass 5 000
BC8510,DBText,"Government Road Allowance",L-ROAD-T,9.996601599999968
BC8511,DBText,"(Undeveloped)",T-TEXT,9.996601599999968
BC8516,MText,"20.12 calc.",L-BD,9.996601599999986
BC8517,DBText,"Government Road Allowance",L-ROAD-T,9.996601599999968
BC8518,DBText,"(Undeveloped)",T-TEXT,9.996601599999968
BC8C8E,MText,"DETAIL SCALE 1:1000",DETAIL-T,19.99320319999997
BC8FDC,MText,"10.0x10.0 Corner Cut",P-TXT,9.996601599999986
BC8FFA,MText,"15.0x15.0 Corner Cut",P-TXT,9.996601599999986
BC9004,AlignedDimension,"3.00 Offset",P-TXT,Compass 5 000
BCA7C0,MText,"SEE DETAIL",DETAIL-T,15.999999999999972
BCBBDC,MText,"Fd.I N.E. 20",L-MON,9.999999999999982
BCBDBA,MText,"Fortis O/H Power Line",AS-POWER,9.996601599999975
BCCDED,AlignedDimension,"Obsidian  A/R  981082  To Be",C-AR-T,Compass 5 000
BCCE08,MText,"Obsidian 1-29 (Surface) MSL 981082 (Expired, To Be Cancelled)",C-WS-T,9.99660159999999
BCCE19,MText,"Obsidian 1-29 (Surface) MSL 981082 (Expired, To Be Cancelled)",C-WS-T,9.99660159999999
BCCF89,DBText,"668.34 (Tie)",L-BD,9.99660159999999
BCCF8A,DBText,"261°30'50''",L-BD,9.99660159999999
BCCFD2,BlockReference,"*U48",DETAIL-T,0.99966016
BCD010,BlockReference,"*U49",DETAIL-T,0.99966016
BCD0D1,DBText,"668.34 (Tie)",L-BD,9.99660159999999
BCD0D2,DBText,"261°30'50''",L-BD,9.99660159999999
BCD373,AlignedDimension,"Obsidian  A/R  3344",C-AR-T,Compass 5 000
BCD3A3,BlockReference,"*U51",DETAIL-T,0.99966016
BCD517,MText,"5m High Grade Gravel Road",T-TEXT,9.996601599999968
BCDE67,MText,"Fd. No Mk. Re-est. Position by MSL 981082",L-MON,9.999999999999982
BCDE77,MText,"Fd. No Mk. Re-est. Position by MSL 981082",L-MON,9.999999999999982
BCDE98,MText,"Fd. No Mk. Re-est. Position by MSL 981082",L-MON,9.999999999999982
BCDE99,MText,"Fd. No Mk. Re-est. Position by MSL 981082",L-MON,9.999999999999982
BD1B58,AlignedDimension,"Fortis  Power Line R/W  850185",F-EZE-T,Compass 5 000
BD1CB5,AlignedDimension,"Fortis  Power Line R/W  850185",F-EZE-T,Compass 5 000
