Handle,ObjType,Content,Layer,Extra
AFEB67,BlockReference,"L-SECLBL",L-SECLBL,0.99968032
AFFE8C,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000014
AFFE91,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000014
AFFE96,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000014
AFFE9B,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5.000000000000014
AFFFF4,BlockReference,"GAS",C-WS-S,5.000000000000014
B000E3,BlockReference,"RISER",AS-SYMBOL,5.000000000000014
B0020D,BlockReference,"FDI",L-MON,5.000000000000014
B00212,BlockReference,"FDI",L-MON,5.000000000000014
B00221,BlockReference,"fdspike",L-MON,5.000000000000014
B00226,BlockReference,"fdspike",L-MON,5.000000000000014
B00230,BlockReference,"fdspike",L-MON,5.000000000000014
B00235,BlockReference,"plspike",L-MON,5.000000000000014
B0023A,BlockReference,"plspike",L-MON,5.000000000000014
B00253,BlockReference,"plspike",L-MON,5.000000000000014
B00258,BlockReference,"plspike",L-MON,4.998401599999999
B0025D,BlockReference,"plspike",L-MON,5.000000000000014
B04FA1,BlockReference,"fdspike",L-MON,5.000000000000014
B087AA,MText,"L.S. 1",L-SECTION-LSD,10.000000000000027
B087AB,MText,"L.S. 2",L-SECTION-LSD,10.000000000000027
B087AD,MText,"L.S. 8",L-SECTION-LSD,10.000000000000027
B087AE,MText,"L.S. 7",L-SECTION-LSD,10.000000000000027
B0A3A2,AlignedDimension,"30.48 Road   2771 LZ",L-TITLEDB-T,Compass 5 000
B0A3AE,AlignedDimension,"40.24 Road  812 0951",L-TITLEDB-T,Compass 5 000
B0A3C8,AlignedDimension,"30.48 Road   5805 LZ",L-TITLEDB-T,Compass 5 000
B0B6BD,MText,"C. of T.",L-TITLEDB-T,9.996803200000052
B0CA0B,MText,"Approximate Location of Evergreen Gas Co-op Ltd.",AS-PIPE-UG-T,9.996803199999983
B0CA1C,BlockReference,"label_road_paved",AS-RESIDENCE,1.0000124241260517
B0CA1D,MText,"Hwy 621",L-TITLEDB-T,10.000124241260481
B18A35,MText,"Fd.I. Mp. R10",L-MON,9.998815561619942
B1CB17,BlockReference,"FDI",L-MON,5.000000000000014
B28255,AlignedDimension,"Obsidian  A/R",C-AR-T,Compass 5 000
B2956F,MText,"Lot 3 Block 1 Plan 092 8213",L-TITLEDB-T,9.996803200000052
B29620,DBText,"Government Road Allowance",L-ROAD-T,9.996803199999999
B29621,DBText,"(High Grade Gravel)",T-TEXT,9.996803199999999
B2B5D0,BlockReference,"GAS",C-WS-S,5.000000000000011
B2CA22,BlockReference,"GABD",F-WS-S,5.000000000000011
B2CA2B,MText,"Obsidian 7-1",C-WS-T,9.999999999999936
B3181E,DBText,"268°28'00''",L-BD,9.996803199999999
B38AD1,BlockReference,"res_occ",AS-RESIDENCE,4.998401599999999
B38AD4,BlockReference,"res_occ",AS-RESIDENCE,4.998401599999999
B3C146,MText,"Twp. 49",D-TXT,14.00000000000002
B3C147,MText,"Twp. 50",D-TXT,14.00000000000002
B3C150,MText,"Residence",AS-RESIDENCE,10.000000000000108
B3C152,MText,"Residence",AS-RESIDENCE,10.000000000000108
B3CAFE,MText,"Rge. 8",D-TXT,14.00000000000002
B3CAFF,MText,"Rge. 7",D-TXT,14.00000000000002
B40BA1,MText,"Dugout",T-WATER-T,9.998936699999993
B41548,BlockReference,"linebrk",L-SECQ,5000
B44791,MText,"Fd.I.  c.s.",L-MON,9.993644210188693
B44796,DBText,"585.66 (Tie)",L-TIE-T,9.996803199999999
B44797,DBText,"173°51'35''",L-TIE-T,9.996803199999999
B4A6A0,BlockReference,"*U52",35,0.99968032
B4A71B,BlockReference,"*U53",DETAIL-T,0.99968032
