Handle,ObjType,Content,Layer,Extra
AF5A3B,BlockReference,"L-SECLBL",L-SECLBL,1
AF5A44,MText,"L.S. 9",L-SECTION-LSD,9.9959387
AF5A46,MText,"L.S. 10",L-SECTION-LSD,9.9959387
AF5A48,MText,"L.S. 16",L-SECTION-LSD,9.9959387
AF5A4A,MText,"L.S. 15",L-SECTION-LSD,9.9959387
AF5A59,DBText,"Government Road Allowance",L-ROAD-T,9.995938699999998
AF5A5A,DBText,"(Undeveloped)",T-TEXT,9.995938699999998
AF5A61,DBText,"Government Road Allowance",L-ROAD-T,9.9959387
AF5A62,DBText,"(Undeveloped)",T-TEXT,9.9959387
AF5CF1,BlockReference,"*U40",L-SECLBL,0.99959387
AF5D13,AlignedDimension,"Fortis  Power Line R/W  030206",F-EZE-T,Compass 5 000
AF5D4F,AlignedDimension,"Fortis  Vegetation Control R/W  880081",F-EZE-T,Compass 5 000
AF5D9B,AlignedDimension,"Fortis  Power Line R/W  940112",F-EZE-T,Compass 5 000
AF6A9E,AlignedDimension,"Obsidian  A/R  980816",C-AR-T,Compass 5 000
AF6AD8,AlignedDimension,"Obsidian  A/R  520",C-AR-T,Compass 5 000
AF6B1C,MText,"Obsidian 10-33 (Surface) MSL 520",C-AR-T,9.9959387
AF6B1D,MText,"Obsidian 10-33 (Surface) MSL 852665",C-AR-T,9.9959387
AF6CAC,MText,"Obsidian 15-33 (Surface) MSL 981110 (Expired)",C-AR-T,9.9959387
AF6CAD,AlignedDimension,"Obsidian  P/L R/W  062 4232  042898",C-RW-T,Compass 5 000
AF6CF0,AlignedDimension,"I3 Energy  P/L R/W  082 7396  022710",F-RW-T,Compass 5 000
AF6D33,AlignedDimension,"Obsidian  P/L R/W  892 2941  890027",C-RW-T,Compass 5 000
AF6F0D,AlignedDimension,"PMC  P/L R/W  812 0189  790157",F-RW-T,Compass 5 000
AF6F59,AlignedDimension,"PMC  P/L R/W  862 1911  860169",F-RW-T,Compass 5 000
AF6F9C,AlignedDimension,"Pembina  P/L R/W  942 2990  930954",F-RW-T,Compass 5 000
AF714E,AlignedDimension,"Pembina  P/L R/W  982 4182  980417",F-RW-T,Compass 5 000
AF719E,AlignedDimension,"Obsidian  P/L R/W  982 3785  981078",C-RW-T,Compass 5 000
AF73B2,AlignedDimension,"Pembina  P/L R/W  1936 KS  3062",F-RW-T,Compass 5 000
AF7584,AlignedDimension,"Pembina  P/L R/W  1981 KS  3109",F-RW-T,Compass 5 000
AF75C7,AlignedDimension,"Obsidian  Flowline R/W  3225",C-AR-T,Compass 5 000
AF87EE,AlignedDimension,"Obsidian  Flowline R/W  3252",C-AR-T,Compass 5 000
AF881A,MText,"Obsidian 16-33 (Surface) ROE 3252",C-AR-T,9.9959387
AF9A06,AlignedDimension,"Obsidian  P/L R/W  5023 KS  5052",C-RW-T,Compass 5 000
AF9A40,MText,"Road Plan 002 0306",L-TITLEDB-T,9.9959387
AFA48C,BlockReference,"GAS",C-WS-S,4.99796935
AFA491,BlockReference,"GAS",C-WS-S,4.99796935
AFAF17,MText,"Road Plan 872 0721",L-TITLEDB-T,9.9959387
AFC116,MText,"Twp. 48",D-TXT,13.99431418
AFC117,MText,"Twp. 49",D-TXT,13.99431418
AFEC27,MText,"Road Plan 3400 JY",L-TITLEDB-T,9.9959387
B008CD,MText,"Fortis O/H Powerline",AS-POWER,9.9959387
B01286,BlockReference,"*U60",CG-NOTES,0.99959387
B012E0,MText,"N.E.1/4 Sec. 33 48-10-W.5M.",C-SYMBOL,19.9918774
B04537,BlockReference,"RISER",AS-SYMBOL,4.99796935
B0453C,BlockReference,"RISER",AS-SYMBOL,4.99796935
B0454B,BlockReference,"RISER",AS-SYMBOL,4.99796935
B0458C,BlockReference,"RISER",AS-SYMBOL,4.99796935
B04591,BlockReference,"RISER",AS-SYMBOL,4.99796935
B04596,BlockReference,"RISER",AS-SYMBOL,4.99796935
B0459B,BlockReference,"RISER",AS-SYMBOL,4.99796935
B045C0,BlockReference,"*U64",AS-SYMBOL,5
B045C5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99796935
B045CA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99796935
B045CF,BlockReference,"*U63",AS-SYMBOL,5
B045D4,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.99796935
B047D5,BlockReference,"RISER",AS-SYMBOL,4.99796935
B06A7B,BlockReference,"GAS",C-WS-S,4.99796935
B06A7C,BlockReference,"GAS",C-WS-S,4.99796935
B06A7D,BlockReference,"GAS",C-WS-S,4.99796935
B1384C,MText,"SEE PAD SITE DETAIL",DETAIL-T,15.99350192
B34909,BlockReference,"GAS",AS-SYMBOL,5
B3490E,BlockReference,"RISER",AS-SYMBOL,4.99796935
B34913,BlockReference,"RISER",AS-SYMBOL,4.99796935
B34918,BlockReference,"GAS",AS-SYMBOL,5
B3491D,BlockReference,"GAS",AS-SYMBOL,5
B34922,BlockReference,"RISER",AS-SYMBOL,4.99796935
B34963,BlockReference,"RISER",AS-SYMBOL,4.99796935
B34968,BlockReference,"RISER",AS-SYMBOL,4.99796935
B3496D,BlockReference,"RISER",AS-SYMBOL,4.99796935
B34972,BlockReference,"RISER",AS-SYMBOL,4.99796935
B34997,BlockReference,"*U67",AS-SYMBOL,5
B3499C,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
B349A1,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
